Date,Hires: Total Private
2000-12-01,5084.0
2001-01-01,5385.0
2001-02-01,4938.0
2001-03-01,5182.0
2001-04-01,4871.0
2001-05-01,5043.0
2001-06-01,4748.0
2001-07-01,4895.0
2001-08-01,4860.0
2001-09-01,4647.0
2001-10-01,4753.0
2001-11-01,4595.0
2001-12-01,4495.0
2002-01-01,4532.0
2002-02-01,4485.0
2002-03-01,4376.0
2002-04-01,4588.0
2002-05-01,4509.0
2002-06-01,4554.0
2002-07-01,4615.0
2002-08-01,4522.0
2002-09-01,4556.0
2002-10-01,4460.0
2002-11-01,4443.0
2002-12-01,4575.0
2003-01-01,4710.0
2003-02-01,4413.0
2003-03-01,4176.0
2003-04-01,4291.0
2003-05-01,4396.0
2003-06-01,4365.0
2003-07-01,4313.0
2003-08-01,4414.0
2003-09-01,4524.0
2003-10-01,4556.0
2003-11-01,4481.0
2003-12-01,4659.0
2004-01-01,4603.0
2004-02-01,4469.0
2004-03-01,4873.0
2004-04-01,4827.0
2004-05-01,4676.0
2004-06-01,4716.0
2004-07-01,4586.0
2004-08-01,4704.0
2004-09-01,4728.0
2004-10-01,4814.0
2004-11-01,4831.0
2004-12-01,4819.0
2005-01-01,4845.0
2005-02-01,4948.0
2005-03-01,4958.0
2005-04-01,5028.0
2005-05-01,4954.0
2005-06-01,5076.0
2005-07-01,4974.0
2005-08-01,5089.0
2005-09-01,5167.0
2005-10-01,4807.0
2005-11-01,5000.0
2005-12-01,4947.0
2006-01-01,4952.0
2006-02-01,5121.0
2006-03-01,5145.0
2006-04-01,4866.0
2006-05-01,5145.0
2006-06-01,5093.0
2006-07-01,5203.0
2006-08-01,5004.0
2006-09-01,4869.0
2006-10-01,5068.0
2006-11-01,5142.0
2006-12-01,4881.0
2007-01-01,5066.0
2007-02-01,4789.0
2007-03-01,5110.0
2007-04-01,4974.0
2007-05-01,5083.0
2007-06-01,4884.0
2007-07-01,4893.0
2007-08-01,4958.0
2007-09-01,4954.0
2007-10-01,5068.0
2007-11-01,4839.0
2007-12-01,4771.0
2008-01-01,4762.0
2008-02-01,4755.0
2008-03-01,4592.0
2008-04-01,4645.0
2008-05-01,4371.0
2008-06-01,4562.0
2008-07-01,4332.0
2008-08-01,4390.0
2008-09-01,4217.0
2008-10-01,4248.0
2008-11-01,3830.0
2008-12-01,4076.0
2009-01-01,3800.0
2009-02-01,3789.0
2009-03-01,3605.0
2009-04-01,3515.0
2009-05-01,3496.0
2009-06-01,3375.0
2009-07-01,3601.0
2009-08-01,3529.0
2009-09-01,3710.0
2009-10-01,3510.0
2009-11-01,3736.0
2009-12-01,3753.0
