Date,Hires: Construction
2000-12-01,414.0
2001-01-01,495.0
2001-02-01,486.0
2001-03-01,575.0
2001-04-01,458.0
2001-05-01,480.0
2001-06-01,451.0
2001-07-01,444.0
2001-08-01,410.0
2001-09-01,427.0
2001-10-01,458.0
2001-11-01,453.0
2001-12-01,455.0
2002-01-01,426.0
2002-02-01,427.0
2002-03-01,428.0
2002-04-01,431.0
2002-05-01,408.0
2002-06-01,438.0
2002-07-01,467.0
2002-08-01,421.0
2002-09-01,468.0
2002-10-01,449.0
2002-11-01,418.0
2002-12-01,444.0
2003-01-01,477.0
2003-02-01,363.0
2003-03-01,414.0
2003-04-01,461.0
2003-05-01,448.0
2003-06-01,462.0
2003-07-01,456.0
2003-08-01,505.0
2003-09-01,455.0
2003-10-01,442.0
2003-11-01,483.0
2003-12-01,474.0
2004-01-01,467.0
2004-02-01,448.0
2004-03-01,543.0
2004-04-01,457.0
2004-05-01,464.0
2004-06-01,484.0
2004-07-01,408.0
2004-08-01,444.0
2004-09-01,440.0
2004-10-01,496.0
2004-11-01,449.0
2004-12-01,462.0
2005-01-01,452.0
2005-02-01,506.0
2005-03-01,473.0
2005-04-01,506.0
2005-05-01,489.0
2005-06-01,485.0
2005-07-01,421.0
2005-08-01,535.0
2005-09-01,541.0
2005-10-01,504.0
2005-11-01,505.0
2005-12-01,491.0
2006-01-01,514.0
2006-02-01,483.0
2006-03-01,504.0
2006-04-01,465.0
2006-05-01,506.0
2006-06-01,448.0
2006-07-01,462.0
2006-08-01,425.0
2006-09-01,427.0
2006-10-01,419.0
2006-11-01,468.0
2006-12-01,444.0
2007-01-01,442.0
2007-02-01,325.0
2007-03-01,506.0
2007-04-01,408.0
2007-05-01,420.0
2007-06-01,437.0
2007-07-01,412.0
2007-08-01,426.0
2007-09-01,411.0
2007-10-01,406.0
2007-11-01,375.0
2007-12-01,381.0
2008-01-01,383.0
2008-02-01,384.0
2008-03-01,396.0
2008-04-01,399.0
2008-05-01,364.0
2008-06-01,379.0
2008-07-01,391.0
2008-08-01,403.0
2008-09-01,333.0
2008-10-01,396.0
2008-11-01,357.0
2008-12-01,350.0
2009-01-01,368.0
2009-02-01,343.0
2009-03-01,328.0
2009-04-01,331.0
2009-05-01,324.0
2009-06-01,277.0
2009-07-01,323.0
2009-08-01,264.0
2009-09-01,319.0
2009-10-01,317.0
2009-11-01,316.0
2009-12-01,347.0
2010-01-01,305.0
2010-02-01,282.0
2010-03-01,416.0
2010-04-01,361.0
2010-05-01,307.0
2010-06-01,279.0
2010-07-01,336.0
2010-08-01,338.0
2010-09-01,315.0
2010-10-01,358.0
2010-11-01,337.0
2010-12-01,378.0
2011-01-01,280.0
2011-02-01,345.0
2011-03-01,378.0
2011-04-01,372.0
2011-05-01,392.0
2011-06-01,396.0
2011-07-01,337.0
2011-08-01,339.0
2011-09-01,381.0
2011-10-01,333.0
2011-11-01,321.0
2011-12-01,322.0
2012-01-01,332.0
2012-02-01,345.0
2012-03-01,315.0
2012-04-01,279.0
2012-05-01,324.0
2012-06-01,356.0
2012-07-01,370.0
2012-08-01,337.0
2012-09-01,366.0
2012-10-01,319.0
2012-11-01,388.0
2012-12-01,320.0
2013-01-01,337.0
2013-02-01,378.0
2013-03-01,355.0
2013-04-01,294.0
2013-05-01,339.0
2013-06-01,340.0
2013-07-01,307.0
2013-08-01,303.0
2013-09-01,319.0
2013-10-01,372.0
2013-11-01,311.0
2013-12-01,270.0
2014-01-01,285.0
2014-02-01,282.0
2014-03-01,270.0
2014-04-01,299.0
2014-05-01,319.0
2014-06-01,284.0
2014-07-01,334.0
2014-08-01,340.0
2014-09-01,296.0
2014-10-01,328.0
2014-11-01,322.0
2014-12-01,399.0
2015-01-01,352.0
2015-02-01,334.0
2015-03-01,318.0
2015-04-01,346.0
2015-05-01,311.0
2015-06-01,342.0
2015-07-01,307.0
2015-08-01,325.0
2015-09-01,335.0
2015-10-01,333.0
2015-11-01,348.0
2015-12-01,335.0
2016-01-01,300.0
2016-02-01,356.0
2016-03-01,360.0
2016-04-01,356.0
2016-05-01,318.0
2016-06-01,264.0
2016-07-01,351.0
2016-08-01,340.0
2016-09-01,316.0
2016-10-01,351.0
2016-11-01,345.0
2016-12-01,399.0
2017-01-01,400.0
2017-02-01,380.0
2017-03-01,391.0
2017-04-01,383.0
2017-05-01,392.0
2017-06-01,379.0
2017-07-01,372.0
2017-08-01,390.0
2017-09-01,399.0
2017-10-01,393.0
2017-11-01,363.0
2017-12-01,320.0
2018-01-01,350.0
2018-02-01,420.0
2018-03-01,372.0
2018-04-01,350.0
2018-05-01,401.0
2018-06-01,374.0
2018-07-01,384.0
2018-08-01,381.0
2018-09-01,382.0
2018-10-01,357.0
2018-11-01,395.0
2018-12-01,375.0
2019-01-01,425.0
2019-02-01,368.0
2019-03-01,379.0
2019-04-01,415.0
2019-05-01,381.0
2019-06-01,436.0
2019-07-01,384.0
2019-08-01,411.0
2019-09-01,445.0
2019-10-01,493.0
2019-11-01,417.0
2019-12-01,447.0
2020-01-01,429.0
2020-02-01,377.0
2020-03-01,377.0
2020-04-01,243.0
2020-05-01,754.0
2020-06-01,521.0
2020-07-01,391.0
2020-08-01,379.0
2020-09-01,380.0
2020-10-01,387.0
2020-11-01,382.0
2020-12-01,389.0
2021-01-01,330.0
2021-02-01,360.0
2021-03-01,417.0
2021-04-01,348.0
2021-05-01,321.0
2021-06-01,366.0
2021-07-01,333.0
2021-08-01,367.0
2021-09-01,348.0
2021-10-01,378.0
2021-11-01,425.0
2021-12-01,378.0
2022-01-01,315.0
2022-02-01,397.0
2022-03-01,391.0
2022-04-01,358.0
2022-05-01,384.0
2022-06-01,376.0
2022-07-01,395.0
2022-08-01,382.0
2022-09-01,379.0
2022-10-01,351.0
2022-11-01,334.0
2022-12-01,370.0
2023-01-01,377.0
2023-02-01,354.0
2023-03-01,393.0
2023-04-01,392.0
2023-05-01,375.0
2023-06-01,379.0
2023-07-01,378.0
2023-08-01,366.0
2023-09-01,308.0
2023-10-01,381.0
2023-11-01,368.0
2023-12-01,358.0
2024-01-01,372.0
2024-02-01,374.0
2024-03-01,337.0
2024-04-01,328.0
2024-05-01,390.0
2024-06-01,307.0
2024-07-01,339.0
2024-08-01,335.0
2024-09-01,336.0
2024-10-01,323.0
2024-11-01,337.0
2024-12-01,327.0
2025-01-01,346.0
2025-02-01,347.0
2025-03-01,306.0
2025-04-01,364.0
2025-05-01,358.0
2025-06-01,348.0
2025-07-01,342.0
