Date,"Hires: Trade, Transportation, and Utilities"
2000-12-01,1276.0
2001-01-01,1181.0
2001-02-01,1083.0
2001-03-01,1093.0
2001-04-01,1148.0
2001-05-01,1288.0
2001-06-01,1086.0
2001-07-01,1118.0
2001-08-01,1127.0
2001-09-01,1117.0
2001-10-01,1142.0
2001-11-01,1068.0
2001-12-01,1024.0
2002-01-01,1026.0
2002-02-01,1029.0
2002-03-01,1010.0
2002-04-01,1048.0
2002-05-01,1049.0
2002-06-01,1088.0
2002-07-01,1100.0
2002-08-01,1058.0
2002-09-01,1069.0
2002-10-01,1026.0
2002-11-01,1042.0
2002-12-01,1044.0
2003-01-01,1027.0
2003-02-01,1017.0
2003-03-01,970.0
2003-04-01,971.0
2003-05-01,961.0
2003-06-01,981.0
2003-07-01,954.0
2003-08-01,990.0
2003-09-01,1036.0
2003-10-01,1086.0
2003-11-01,973.0
2003-12-01,1095.0
2004-01-01,1118.0
2004-02-01,1075.0
2004-03-01,1183.0
2004-04-01,1188.0
2004-05-01,1092.0
2004-06-01,1080.0
2004-07-01,1125.0
2004-08-01,1110.0
2004-09-01,1088.0
2004-10-01,1136.0
2004-11-01,1157.0
2004-12-01,1155.0
2005-01-01,1140.0
2005-02-01,1187.0
2005-03-01,1183.0
2005-04-01,1211.0
2005-05-01,1201.0
2005-06-01,1200.0
2005-07-01,1200.0
2005-08-01,1198.0
2005-09-01,1180.0
2005-10-01,1113.0
2005-11-01,1149.0
2005-12-01,1170.0
2006-01-01,1154.0
2006-02-01,1230.0
2006-03-01,1156.0
2006-04-01,1151.0
2006-05-01,1155.0
2006-06-01,1201.0
2006-07-01,1152.0
2006-08-01,1198.0
2006-09-01,1130.0
2006-10-01,1132.0
2006-11-01,1148.0
2006-12-01,1071.0
2007-01-01,1166.0
2007-02-01,1157.0
2007-03-01,1188.0
2007-04-01,1126.0
2007-05-01,1151.0
2007-06-01,1082.0
2007-07-01,1076.0
2007-08-01,1085.0
2007-09-01,1129.0
2007-10-01,1143.0
2007-11-01,1131.0
2007-12-01,1083.0
2008-01-01,1058.0
2008-02-01,1065.0
2008-03-01,1035.0
2008-04-01,1025.0
2008-05-01,925.0
2008-06-01,1056.0
2008-07-01,1007.0
2008-08-01,1000.0
2008-09-01,931.0
2008-10-01,944.0
2008-11-01,834.0
2008-12-01,865.0
2009-01-01,827.0
2009-02-01,791.0
2009-03-01,807.0
2009-04-01,818.0
2009-05-01,805.0
2009-06-01,727.0
2009-07-01,744.0
2009-08-01,768.0
2009-09-01,844.0
2009-10-01,727.0
2009-11-01,817.0
2009-12-01,769.0
2010-01-01,790.0
2010-02-01,786.0
2010-03-01,915.0
2010-04-01,815.0
2010-05-01,803.0
2010-06-01,860.0
2010-07-01,855.0
2010-08-01,776.0
2010-09-01,838.0
2010-10-01,822.0
2010-11-01,833.0
2010-12-01,794.0
2011-01-01,824.0
2011-02-01,901.0
2011-03-01,887.0
2011-04-01,871.0
2011-05-01,855.0
2011-06-01,887.0
2011-07-01,860.0
2011-08-01,832.0
2011-09-01,856.0
2011-10-01,852.0
2011-11-01,847.0
2011-12-01,824.0
2012-01-01,873.0
2012-02-01,859.0
2012-03-01,887.0
2012-04-01,892.0
2012-05-01,894.0
2012-06-01,892.0
2012-07-01,864.0
2012-08-01,929.0
2012-09-01,882.0
2012-10-01,907.0
2012-11-01,893.0
2012-12-01,894.0
2013-01-01,901.0
2013-02-01,957.0
2013-03-01,820.0
2013-04-01,905.0
2013-05-01,917.0
2013-06-01,882.0
2013-07-01,913.0
2013-08-01,991.0
2013-09-01,981.0
2013-10-01,969.0
2013-11-01,1014.0
2013-12-01,1008.0
2014-01-01,945.0
2014-02-01,1014.0
2014-03-01,1016.0
2014-04-01,1115.0
2014-05-01,1089.0
2014-06-01,1089.0
2014-07-01,1092.0
2014-08-01,1030.0
2014-09-01,1058.0
2014-10-01,1134.0
2014-11-01,1103.0
2014-12-01,1119.0
2015-01-01,1085.0
2015-02-01,1071.0
2015-03-01,1105.0
2015-04-01,1074.0
2015-05-01,1108.0
2015-06-01,1104.0
2015-07-01,1108.0
2015-08-01,1059.0
2015-09-01,1067.0
2015-10-01,1073.0
2015-11-01,1080.0
2015-12-01,1108.0
2016-01-01,1044.0
2016-02-01,1141.0
2016-03-01,1068.0
2016-04-01,1084.0
2016-05-01,1031.0
2016-06-01,1062.0
2016-07-01,1079.0
2016-08-01,1092.0
2016-09-01,1105.0
2016-10-01,1099.0
2016-11-01,992.0
2016-12-01,1038.0
2017-01-01,1056.0
2017-02-01,1098.0
2017-03-01,1082.0
2017-04-01,1000.0
2017-05-01,1065.0
2017-06-01,1105.0
2017-07-01,998.0
2017-08-01,1017.0
2017-09-01,1024.0
2017-10-01,1026.0
2017-11-01,1061.0
2017-12-01,1105.0
2018-01-01,1125.0
2018-02-01,1070.0
2018-03-01,1116.0
2018-04-01,1144.0
2018-05-01,1116.0
2018-06-01,1125.0
2018-07-01,1109.0
2018-08-01,1206.0
2018-09-01,1137.0
2018-10-01,1229.0
2018-11-01,1166.0
2018-12-01,1154.0
2019-01-01,1134.0
2019-02-01,1106.0
2019-03-01,1076.0
2019-04-01,1151.0
2019-05-01,1184.0
2019-06-01,1194.0
2019-07-01,1231.0
2019-08-01,1177.0
2019-09-01,1197.0
2019-10-01,1092.0
2019-11-01,1174.0
2019-12-01,1171.0
2020-01-01,1238.0
2020-02-01,1282.0
2020-03-01,1180.0
2020-04-01,1085.0
2020-05-01,1564.0
2020-06-01,1469.0
2020-07-01,1336.0
2020-08-01,1276.0
2020-09-01,1288.0
2020-10-01,1340.0
2020-11-01,1233.0
2020-12-01,1197.0
2021-01-01,1242.0
2021-02-01,1169.0
2021-03-01,1298.0
2021-04-01,1257.0
2021-05-01,1257.0
2021-06-01,1512.0
2021-07-01,1378.0
2021-08-01,1406.0
2021-09-01,1408.0
2021-10-01,1387.0
2021-11-01,1422.0
2021-12-01,1352.0
2022-01-01,1357.0
2022-02-01,1494.0
2022-03-01,1335.0
2022-04-01,1324.0
2022-05-01,1191.0
2022-06-01,1294.0
2022-07-01,1281.0
2022-08-01,1363.0
2022-09-01,1277.0
2022-10-01,1214.0
2022-11-01,1248.0
2022-12-01,1277.0
2023-01-01,1401.0
2023-02-01,1237.0
2023-03-01,1187.0
2023-04-01,1202.0
2023-05-01,1293.0
2023-06-01,1117.0
2023-07-01,1129.0
2023-08-01,1145.0
2023-09-01,1183.0
2023-10-01,1131.0
2023-11-01,1088.0
2023-12-01,1095.0
2024-01-01,981.0
2024-02-01,1110.0
2024-03-01,1012.0
2024-04-01,1095.0
2024-05-01,1061.0
2024-06-01,1106.0
2024-07-01,1108.0
2024-08-01,971.0
2024-09-01,1033.0
2024-10-01,1065.0
2024-11-01,1071.0
2024-12-01,1066.0
2025-01-01,1092.0
2025-02-01,1078.0
2025-03-01,1073.0
2025-04-01,979.0
2025-05-01,1000.0
2025-06-01,1041.0
2025-07-01,1025.0
