Date,Hires: Retail Trade
2000-12-01,981.0
2001-01-01,900.0
2001-02-01,758.0
2001-03-01,802.0
2001-04-01,827.0
2001-05-01,933.0
2001-06-01,812.0
2001-07-01,808.0
2001-08-01,823.0
2001-09-01,839.0
2001-10-01,853.0
2001-11-01,767.0
2001-12-01,750.0
2002-01-01,728.0
2002-02-01,723.0
2002-03-01,712.0
2002-04-01,738.0
2002-05-01,763.0
2002-06-01,780.0
2002-07-01,789.0
2002-08-01,735.0
2002-09-01,767.0
2002-10-01,733.0
2002-11-01,752.0
2002-12-01,760.0
2003-01-01,738.0
2003-02-01,755.0
2003-03-01,686.0
2003-04-01,714.0
2003-05-01,699.0
2003-06-01,708.0
2003-07-01,676.0
2003-08-01,716.0
2003-09-01,725.0
2003-10-01,769.0
2003-11-01,692.0
2003-12-01,774.0
2004-01-01,787.0
2004-02-01,763.0
2004-03-01,815.0
2004-04-01,852.0
2004-05-01,762.0
2004-06-01,742.0
2004-07-01,788.0
2004-08-01,766.0
2004-09-01,746.0
2004-10-01,806.0
2004-11-01,821.0
2004-12-01,817.0
2005-01-01,795.0
2005-02-01,828.0
2005-03-01,853.0
2005-04-01,856.0
2005-05-01,849.0
2005-06-01,840.0
2005-07-01,867.0
2005-08-01,852.0
2005-09-01,836.0
2005-10-01,765.0
2005-11-01,744.0
2005-12-01,798.0
2006-01-01,815.0
2006-02-01,881.0
2006-03-01,825.0
2006-04-01,818.0
2006-05-01,797.0
2006-06-01,859.0
2006-07-01,804.0
2006-08-01,811.0
2006-09-01,789.0
2006-10-01,800.0
2006-11-01,815.0
2006-12-01,749.0
2007-01-01,835.0
2007-02-01,827.0
2007-03-01,828.0
2007-04-01,774.0
2007-05-01,813.0
2007-06-01,740.0
2007-07-01,743.0
2007-08-01,776.0
2007-09-01,822.0
2007-10-01,804.0
2007-11-01,828.0
2007-12-01,814.0
2008-01-01,749.0
2008-02-01,748.0
2008-03-01,733.0
2008-04-01,714.0
2008-05-01,643.0
2008-06-01,741.0
2008-07-01,719.0
2008-08-01,701.0
2008-09-01,655.0
2008-10-01,658.0
2008-11-01,594.0
2008-12-01,625.0
2009-01-01,567.0
2009-02-01,549.0
2009-03-01,537.0
2009-04-01,593.0
2009-05-01,546.0
2009-06-01,506.0
2009-07-01,507.0
2009-08-01,538.0
2009-09-01,579.0
2009-10-01,503.0
2009-11-01,533.0
2009-12-01,527.0
2010-01-01,565.0
2010-02-01,549.0
2010-03-01,669.0
2010-04-01,563.0
2010-05-01,549.0
2010-06-01,584.0
2010-07-01,585.0
2010-08-01,556.0
2010-09-01,569.0
2010-10-01,583.0
2010-11-01,566.0
2010-12-01,508.0
2011-01-01,588.0
2011-02-01,608.0
2011-03-01,620.0
2011-04-01,612.0
2011-05-01,590.0
2011-06-01,605.0
2011-07-01,608.0
2011-08-01,565.0
2011-09-01,598.0
2011-10-01,569.0
2011-11-01,581.0
2011-12-01,522.0
2012-01-01,588.0
2012-02-01,578.0
2012-03-01,588.0
2012-04-01,587.0
2012-05-01,591.0
2012-06-01,590.0
2012-07-01,584.0
2012-08-01,617.0
2012-09-01,612.0
2012-10-01,604.0
2012-11-01,617.0
2012-12-01,593.0
2013-01-01,615.0
2013-02-01,668.0
2013-03-01,562.0
2013-04-01,630.0
2013-05-01,645.0
2013-06-01,620.0
2013-07-01,634.0
2013-08-01,700.0
2013-09-01,679.0
2013-10-01,691.0
2013-11-01,713.0
2013-12-01,750.0
2014-01-01,620.0
2014-02-01,718.0
2014-03-01,709.0
2014-04-01,793.0
2014-05-01,754.0
2014-06-01,749.0
2014-07-01,758.0
2014-08-01,712.0
2014-09-01,726.0
2014-10-01,780.0
2014-11-01,760.0
2014-12-01,783.0
2015-01-01,763.0
2015-02-01,737.0
2015-03-01,762.0
2015-04-01,748.0
2015-05-01,770.0
2015-06-01,763.0
2015-07-01,759.0
2015-08-01,748.0
2015-09-01,738.0
2015-10-01,750.0
2015-11-01,763.0
2015-12-01,781.0
2016-01-01,749.0
2016-02-01,812.0
2016-03-01,735.0
2016-04-01,723.0
2016-05-01,706.0
2016-06-01,728.0
2016-07-01,753.0
2016-08-01,730.0
2016-09-01,758.0
2016-10-01,755.0
2016-11-01,634.0
2016-12-01,701.0
2017-01-01,709.0
2017-02-01,756.0
2017-03-01,743.0
2017-04-01,677.0
2017-05-01,732.0
2017-06-01,754.0
2017-07-01,668.0
2017-08-01,681.0
2017-09-01,672.0
2017-10-01,679.0
2017-11-01,709.0
2017-12-01,706.0
2018-01-01,757.0
2018-02-01,706.0
2018-03-01,749.0
2018-04-01,779.0
2018-05-01,730.0
2018-06-01,745.0
2018-07-01,753.0
2018-08-01,788.0
2018-09-01,773.0
2018-10-01,775.0
2018-11-01,725.0
2018-12-01,786.0
2019-01-01,721.0
2019-02-01,718.0
2019-03-01,716.0
2019-04-01,751.0
2019-05-01,769.0
2019-06-01,798.0
2019-07-01,796.0
2019-08-01,774.0
2019-09-01,782.0
2019-10-01,678.0
2019-11-01,762.0
2019-12-01,769.0
2020-01-01,820.0
2020-02-01,854.0
2020-03-01,751.0
2020-04-01,736.0
2020-05-01,1003.0
2020-06-01,956.0
2020-07-01,830.0
2020-08-01,876.0
2020-09-01,758.0
