Date,Hires: Professional and Business Services
2000-12-01,966.0
2001-01-01,1129.0
2001-02-01,928.0
2001-03-01,946.0
2001-04-01,764.0
2001-05-01,949.0
2001-06-01,921.0
2001-07-01,946.0
2001-08-01,990.0
2001-09-01,850.0
2001-10-01,849.0
2001-11-01,806.0
2001-12-01,804.0
2002-01-01,869.0
2002-02-01,811.0
2002-03-01,850.0
2002-04-01,850.0
2002-05-01,850.0
2002-06-01,774.0
2002-07-01,828.0
2002-08-01,847.0
2002-09-01,811.0
2002-10-01,856.0
2002-11-01,830.0
2002-12-01,866.0
2003-01-01,859.0
2003-02-01,861.0
2003-03-01,691.0
2003-04-01,782.0
2003-05-01,795.0
2003-06-01,788.0
2003-07-01,797.0
2003-08-01,802.0
2003-09-01,810.0
2003-10-01,810.0
2003-11-01,813.0
2003-12-01,836.0
2004-01-01,822.0
2004-02-01,709.0
2004-03-01,804.0
2004-04-01,857.0
2004-05-01,806.0
2004-06-01,868.0
2004-07-01,808.0
2004-08-01,830.0
2004-09-01,890.0
2004-10-01,870.0
2004-11-01,907.0
2004-12-01,880.0
2005-01-01,871.0
2005-02-01,956.0
2005-03-01,915.0
2005-04-01,921.0
2005-05-01,903.0
2005-06-01,1037.0
2005-07-01,964.0
2005-08-01,955.0
2005-09-01,1022.0
2005-10-01,892.0
2005-11-01,905.0
2005-12-01,936.0
2006-01-01,937.0
2006-02-01,957.0
2006-03-01,1031.0
2006-04-01,866.0
2006-05-01,1084.0
2006-06-01,1018.0
2006-07-01,1070.0
2006-08-01,1020.0
2006-09-01,982.0
2006-10-01,1047.0
2006-11-01,1067.0
2006-12-01,988.0
2007-01-01,1046.0
2007-02-01,951.0
2007-03-01,1029.0
2007-04-01,1040.0
2007-05-01,1047.0
2007-06-01,881.0
2007-07-01,1005.0
2007-08-01,1019.0
2007-09-01,1041.0
2007-10-01,1102.0
2007-11-01,975.0
2007-12-01,991.0
2008-01-01,1016.0
2008-02-01,975.0
2008-03-01,922.0
2008-04-01,909.0
2008-05-01,802.0
2008-06-01,986.0
2008-07-01,847.0
2008-08-01,849.0
2008-09-01,857.0
2008-10-01,831.0
2008-11-01,784.0
2008-12-01,900.0
2009-01-01,711.0
2009-02-01,731.0
2009-03-01,680.0
2009-04-01,668.0
2009-05-01,643.0
2009-06-01,611.0
2009-07-01,722.0
2009-08-01,665.0
2009-09-01,711.0
2009-10-01,692.0
2009-11-01,783.0
2009-12-01,783.0
2010-01-01,770.0
2010-02-01,767.0
2010-03-01,771.0
2010-04-01,806.0
2010-05-01,791.0
2010-06-01,867.0
2010-07-01,815.0
2010-08-01,879.0
2010-09-01,791.0
2010-10-01,811.0
2010-11-01,838.0
2010-12-01,971.0
2011-01-01,860.0
2011-02-01,905.0
2011-03-01,990.0
2011-04-01,932.0
2011-05-01,964.0
2011-06-01,848.0
2011-07-01,914.0
2011-08-01,941.0
2011-09-01,965.0
2011-10-01,962.0
2011-11-01,926.0
2011-12-01,909.0
2012-01-01,944.0
2012-02-01,1012.0
2012-03-01,945.0
2012-04-01,914.0
2012-05-01,987.0
2012-06-01,906.0
2012-07-01,868.0
2012-08-01,825.0
2012-09-01,845.0
2012-10-01,882.0
2012-11-01,920.0
2012-12-01,907.0
2013-01-01,879.0
2013-02-01,862.0
2013-03-01,870.0
2013-04-01,928.0
2013-05-01,916.0
2013-06-01,956.0
2013-07-01,968.0
2013-08-01,1011.0
2013-09-01,963.0
2013-10-01,863.0
2013-11-01,949.0
2013-12-01,960.0
2014-01-01,985.0
2014-02-01,992.0
2014-03-01,1004.0
2014-04-01,1000.0
2014-05-01,927.0
2014-06-01,1026.0
2014-07-01,1055.0
2014-08-01,1071.0
2014-09-01,1094.0
2014-10-01,1079.0
2014-11-01,933.0
2014-12-01,1041.0
2015-01-01,1035.0
2015-02-01,1082.0
2015-03-01,1076.0
2015-04-01,1095.0
2015-05-01,1068.0
2015-06-01,1033.0
2015-07-01,1011.0
2015-08-01,1039.0
2015-09-01,1083.0
2015-10-01,1085.0
2015-11-01,1115.0
2015-12-01,1217.0
2016-01-01,1187.0
2016-02-01,1113.0
2016-03-01,1112.0
2016-04-01,1097.0
2016-05-01,1096.0
2016-06-01,1070.0
2016-07-01,1187.0
2016-08-01,1105.0
2016-09-01,1095.0
2016-10-01,1057.0
2016-11-01,1116.0
2016-12-01,1105.0
2017-01-01,1126.0
2017-02-01,1055.0
2017-03-01,1046.0
2017-04-01,1015.0
2017-05-01,1098.0
2017-06-01,1250.0
2017-07-01,1181.0
2017-08-01,1158.0
2017-09-01,1145.0
2017-10-01,1175.0
2017-11-01,1114.0
2017-12-01,1065.0
2018-01-01,1087.0
2018-02-01,1164.0
2018-03-01,1169.0
2018-04-01,1128.0
2018-05-01,1182.0
2018-06-01,1192.0
2018-07-01,1124.0
2018-08-01,1114.0
