Date,Hires: Private Education and Health Services
2000-12-01,515.0
2001-01-01,505.0
2001-02-01,527.0
2001-03-01,564.0
2001-04-01,486.0
2001-05-01,512.0
2001-06-01,487.0
2001-07-01,530.0
2001-08-01,527.0
2001-09-01,530.0
2001-10-01,529.0
2001-11-01,513.0
2001-12-01,480.0
2002-01-01,523.0
2002-02-01,487.0
2002-03-01,468.0
2002-04-01,500.0
2002-05-01,482.0
2002-06-01,515.0
2002-07-01,504.0
2002-08-01,462.0
2002-09-01,466.0
2002-10-01,466.0
2002-11-01,462.0
2002-12-01,496.0
2003-01-01,523.0
2003-02-01,468.0
2003-03-01,470.0
2003-04-01,470.0
2003-05-01,487.0
2003-06-01,481.0
2003-07-01,467.0
2003-08-01,466.0
2003-09-01,524.0
2003-10-01,510.0
2003-11-01,482.0
2003-12-01,472.0
2004-01-01,494.0
2004-02-01,498.0
2004-03-01,496.0
2004-04-01,486.0
2004-05-01,474.0
2004-06-01,440.0
2004-07-01,473.0
2004-08-01,491.0
2004-09-01,480.0
2004-10-01,515.0
2004-11-01,503.0
2004-12-01,509.0
2005-01-01,497.0
2005-02-01,499.0
2005-03-01,540.0
2005-04-01,537.0
2005-05-01,520.0
2005-06-01,526.0
2005-07-01,520.0
2005-08-01,510.0
2005-09-01,545.0
2005-10-01,514.0
2005-11-01,528.0
2005-12-01,525.0
2006-01-01,503.0
2006-02-01,513.0
2006-03-01,510.0
2006-04-01,526.0
2006-05-01,561.0
2006-06-01,504.0
2006-07-01,573.0
2006-08-01,538.0
2006-09-01,544.0
2006-10-01,556.0
2006-11-01,539.0
2006-12-01,540.0
2007-01-01,543.0
2007-02-01,534.0
2007-03-01,555.0
2007-04-01,541.0
2007-05-01,571.0
2007-06-01,565.0
2007-07-01,538.0
2007-08-01,552.0
2007-09-01,540.0
2007-10-01,557.0
2007-11-01,557.0
2007-12-01,508.0
2008-01-01,574.0
2008-02-01,571.0
2008-03-01,568.0
2008-04-01,576.0
2008-05-01,549.0
2008-06-01,538.0
2008-07-01,552.0
2008-08-01,540.0
2008-09-01,509.0
2008-10-01,542.0
2008-11-01,508.0
2008-12-01,513.0
2009-01-01,524.0
2009-02-01,532.0
2009-03-01,497.0
2009-04-01,491.0
2009-05-01,484.0
2009-06-01,501.0
2009-07-01,512.0
2009-08-01,532.0
2009-09-01,527.0
2009-10-01,513.0
2009-11-01,503.0
2009-12-01,500.0
2010-01-01,453.0
2010-02-01,475.0
2010-03-01,522.0
2010-04-01,474.0
2010-05-01,469.0
2010-06-01,505.0
2010-07-01,540.0
2010-08-01,465.0
2010-09-01,507.0
2010-10-01,505.0
2010-11-01,529.0
2010-12-01,506.0
2011-01-01,452.0
2011-02-01,479.0
2011-03-01,471.0
2011-04-01,502.0
2011-05-01,475.0
2011-06-01,515.0
2011-07-01,492.0
2011-08-01,508.0
2011-09-01,503.0
2011-10-01,489.0
2011-11-01,520.0
2011-12-01,520.0
2012-01-01,537.0
2012-02-01,564.0
2012-03-01,528.0
2012-04-01,494.0
2012-05-01,550.0
2012-06-01,524.0
2012-07-01,515.0
2012-08-01,514.0
2012-09-01,508.0
2012-10-01,522.0
2012-11-01,512.0
2012-12-01,532.0
2013-01-01,540.0
2013-02-01,520.0
2013-03-01,547.0
2013-04-01,571.0
2013-05-01,580.0
2013-06-01,479.0
2013-07-01,554.0
2013-08-01,588.0
2013-09-01,555.0
2013-10-01,516.0
2013-11-01,538.0
2013-12-01,551.0
2014-01-01,563.0
2014-02-01,541.0
2014-03-01,583.0
2014-04-01,580.0
2014-05-01,548.0
2014-06-01,551.0
2014-07-01,584.0
2014-08-01,515.0
2014-09-01,667.0
2014-10-01,600.0
2014-11-01,577.0
2014-12-01,603.0
2015-01-01,601.0
2015-02-01,627.0
2015-03-01,608.0
2015-04-01,606.0
2015-05-01,610.0
2015-06-01,594.0
2015-07-01,630.0
2015-08-01,617.0
2015-09-01,645.0
2015-10-01,661.0
2015-11-01,665.0
2015-12-01,650.0
2016-01-01,587.0
2016-02-01,650.0
2016-03-01,620.0
2016-04-01,630.0
2016-05-01,643.0
2016-06-01,670.0
2016-07-01,639.0
2016-08-01,658.0
2016-09-01,655.0
2016-10-01,637.0
2016-11-01,657.0
2016-12-01,647.0
2017-01-01,634.0
2017-02-01,628.0
2017-03-01,664.0
2017-04-01,666.0
2017-05-01,677.0
2017-06-01,647.0
2017-07-01,683.0
2017-08-01,692.0
2017-09-01,662.0
2017-10-01,673.0
2017-11-01,699.0
2017-12-01,681.0
2018-01-01,683.0
2018-02-01,669.0
2018-03-01,691.0
2018-04-01,664.0
2018-05-01,735.0
2018-06-01,724.0
2018-07-01,694.0
2018-08-01,726.0
2018-09-01,698.0
2018-10-01,739.0
2018-11-01,738.0
2018-12-01,771.0
2019-01-01,747.0
2019-02-01,728.0
2019-03-01,734.0
2019-04-01,735.0
2019-05-01,696.0
2019-06-01,686.0
2019-07-01,727.0
2019-08-01,698.0
2019-09-01,737.0
2019-10-01,729.0
2019-11-01,723.0
2019-12-01,725.0
2020-01-01,773.0
2020-02-01,767.0
2020-03-01,670.0
2020-04-01,514.0
2020-05-01,1145.0
2020-06-01,901.0
2020-07-01,853.0
2020-08-01,707.0
2020-09-01,757.0
2020-10-01,746.0
2020-11-01,733.0
2020-12-01,719.0
2021-01-01,679.0
2021-02-01,721.0
2021-03-01,788.0
2021-04-01,746.0
2021-05-01,740.0
2021-06-01,760.0
2021-07-01,752.0
2021-08-01,788.0
2021-09-01,837.0
2021-10-01,860.0
2021-11-01,868.0
2021-12-01,856.0
2022-01-01,831.0
2022-02-01,883.0
2022-03-01,819.0
2022-04-01,876.0
2022-05-01,866.0
2022-06-01,863.0
2022-07-01,888.0
2022-08-01,842.0
2022-09-01,839.0
2022-10-01,811.0
2022-11-01,864.0
2022-12-01,912.0
2023-01-01,914.0
2023-02-01,858.0
2023-03-01,876.0
2023-04-01,827.0
2023-05-01,968.0
2023-06-01,936.0
2023-07-01,873.0
2023-08-01,914.0
2023-09-01,862.0
2023-10-01,889.0
2023-11-01,938.0
2023-12-01,846.0
2024-01-01,858.0
2024-02-01,864.0
2024-03-01,834.0
2024-04-01,937.0
2024-05-01,879.0
2024-06-01,814.0
2024-07-01,882.0
2024-08-01,747.0
2024-09-01,874.0
2024-10-01,857.0
2024-11-01,830.0
2024-12-01,858.0
2025-01-01,833.0
2025-02-01,799.0
2025-03-01,824.0
2025-04-01,882.0
2025-05-01,770.0
2025-06-01,785.0
2025-07-01,787.0
