Date,Hires: Leisure and Hospitality
2000-12-01,890.0
2001-01-01,919.0
2001-02-01,878.0
2001-03-01,935.0
2001-04-01,998.0
2001-05-01,921.0
2001-06-01,873.0
2001-07-01,928.0
2001-08-01,870.0
2001-09-01,876.0
2001-10-01,830.0
2001-11-01,819.0
2001-12-01,810.0
2002-01-01,780.0
2002-02-01,826.0
2002-03-01,775.0
2002-04-01,828.0
2002-05-01,800.0
2002-06-01,782.0
2002-07-01,798.0
2002-08-01,821.0
2002-09-01,807.0
2002-10-01,786.0
2002-11-01,803.0
2002-12-01,828.0
2003-01-01,857.0
2003-02-01,801.0
2003-03-01,779.0
2003-04-01,787.0
2003-05-01,843.0
2003-06-01,807.0
2003-07-01,775.0
2003-08-01,815.0
2003-09-01,824.0
2003-10-01,843.0
2003-11-01,836.0
2003-12-01,872.0
2004-01-01,842.0
2004-02-01,854.0
2004-03-01,913.0
2004-04-01,886.0
2004-05-01,899.0
2004-06-01,875.0
2004-07-01,878.0
2004-08-01,876.0
2004-09-01,906.0
2004-10-01,874.0
2004-11-01,886.0
2004-12-01,861.0
2005-01-01,911.0
2005-02-01,872.0
2005-03-01,911.0
2005-04-01,900.0
2005-05-01,876.0
2005-06-01,939.0
2005-07-01,933.0
2005-08-01,947.0
2005-09-01,932.0
2005-10-01,867.0
2005-11-01,922.0
2005-12-01,918.0
2006-01-01,928.0
2006-02-01,957.0
2006-03-01,943.0
2006-04-01,923.0
2006-05-01,923.0
2006-06-01,941.0
2006-07-01,960.0
2006-08-01,894.0
2006-09-01,867.0
2006-10-01,935.0
2006-11-01,990.0
2006-12-01,926.0
2007-01-01,925.0
2007-02-01,919.0
2007-03-01,908.0
2007-04-01,964.0
2007-05-01,937.0
2007-06-01,968.0
2007-07-01,916.0
2007-08-01,933.0
2007-09-01,909.0
2007-10-01,935.0
2007-11-01,901.0
2007-12-01,890.0
2008-01-01,848.0
2008-02-01,920.0
2008-03-01,844.0
2008-04-01,848.0
2008-05-01,907.0
2008-06-01,802.0
2008-07-01,807.0
2008-08-01,838.0
2008-09-01,795.0
2008-10-01,773.0
2008-11-01,706.0
2008-12-01,738.0
2009-01-01,715.0
2009-02-01,692.0
2009-03-01,632.0
2009-04-01,617.0
2009-05-01,678.0
2009-06-01,630.0
2009-07-01,615.0
2009-08-01,653.0
2009-09-01,630.0
2009-10-01,614.0
2009-11-01,685.0
2009-12-01,651.0
2010-01-01,663.0
2010-02-01,613.0
2010-03-01,676.0
2010-04-01,678.0
2010-05-01,641.0
2010-06-01,637.0
2010-07-01,668.0
2010-08-01,643.0
2010-09-01,668.0
2010-10-01,659.0
2010-11-01,657.0
2010-12-01,670.0
2011-01-01,641.0
2011-02-01,666.0
2011-03-01,771.0
2011-04-01,679.0
2011-05-01,655.0
2011-06-01,733.0
2011-07-01,723.0
2011-08-01,729.0
2011-09-01,749.0
2011-10-01,739.0
2011-11-01,791.0
2011-12-01,750.0
2012-01-01,776.0
2012-02-01,771.0
2012-03-01,860.0
2012-04-01,758.0
2012-05-01,737.0
2012-06-01,722.0
2012-07-01,752.0
2012-08-01,802.0
2012-09-01,722.0
2012-10-01,762.0
2012-11-01,720.0
2012-12-01,814.0
2013-01-01,805.0
2013-02-01,792.0
2013-03-01,805.0
2013-04-01,859.0
2013-05-01,811.0
2013-06-01,810.0
2013-07-01,792.0
2013-08-01,772.0
2013-09-01,826.0
2013-10-01,803.0
2013-11-01,789.0
2013-12-01,800.0
2014-01-01,834.0
2014-02-01,853.0
2014-03-01,833.0
2014-04-01,864.0
2014-05-01,902.0
2014-06-01,909.0
2014-07-01,876.0
2014-08-01,847.0
2014-09-01,919.0
2014-10-01,893.0
2014-11-01,910.0
2014-12-01,936.0
2015-01-01,909.0
2015-02-01,927.0
2015-03-01,919.0
2015-04-01,953.0
2015-05-01,966.0
2015-06-01,918.0
2015-07-01,955.0
2015-08-01,1016.0
2015-09-01,1016.0
2015-10-01,1013.0
2015-11-01,1027.0
2015-12-01,1045.0
2016-01-01,955.0
2016-02-01,1050.0
2016-03-01,1031.0
2016-04-01,1007.0
2016-05-01,1035.0
2016-06-01,1044.0
2016-07-01,1033.0
2016-08-01,1043.0
2016-09-01,965.0
2016-10-01,973.0
2016-11-01,1063.0
2016-12-01,1019.0
2017-01-01,1032.0
2017-02-01,1014.0
2017-03-01,1013.0
2017-04-01,1021.0
2017-05-01,1009.0
2017-06-01,1037.0
2017-07-01,1014.0
2017-08-01,1014.0
2017-09-01,1010.0
2017-10-01,1022.0
2017-11-01,1029.0
2017-12-01,993.0
2018-01-01,1027.0
2018-02-01,1057.0
2018-03-01,1043.0
2018-04-01,1046.0
2018-05-01,1116.0
2018-06-01,1039.0
2018-07-01,1093.0
2018-08-01,1057.0
2018-09-01,1053.0
2018-10-01,1112.0
2018-11-01,1069.0
2018-12-01,1041.0
2019-01-01,1151.0
2019-02-01,1100.0
2019-03-01,1083.0
2019-04-01,1162.0
2019-05-01,1063.0
2019-06-01,1119.0
2019-07-01,1122.0
2019-08-01,1148.0
2019-09-01,1161.0
2019-10-01,1115.0
2019-11-01,1083.0
2019-12-01,1190.0
2020-01-01,1120.0
2020-02-01,1097.0
2020-03-01,642.0
2020-04-01,423.0
2020-05-01,1879.0
2020-06-01,2002.0
2020-07-01,1378.0
2020-08-01,988.0
2020-09-01,1052.0
2020-10-01,1120.0
2020-11-01,1047.0
2020-12-01,832.0
2021-01-01,881.0
2021-02-01,1083.0
2021-03-01,1073.0
2021-04-01,1342.0
2021-05-01,1270.0
2021-06-01,1279.0
2021-07-01,1453.0
2021-08-01,1200.0
2021-09-01,1210.0
2021-10-01,1170.0
2021-11-01,1200.0
2021-12-01,1193.0
2022-01-01,1172.0
2022-02-01,1143.0
2022-03-01,1175.0
2022-04-01,1214.0
2022-05-01,1240.0
2022-06-01,1222.0
2022-07-01,1182.0
2022-08-01,1204.0
2022-09-01,1142.0
2022-10-01,1184.0
2022-11-01,1115.0
2022-12-01,1106.0
2023-01-01,1168.0
2023-02-01,1143.0
2023-03-01,1070.0
2023-04-01,1064.0
2023-05-01,1108.0
2023-06-01,1133.0
2023-07-01,997.0
2023-08-01,1091.0
2023-09-01,1163.0
2023-10-01,1028.0
2023-11-01,1000.0
2023-12-01,1001.0
2024-01-01,1034.0
2024-02-01,1019.0
2024-03-01,1019.0
2024-04-01,978.0
2024-05-01,957.0
2024-06-01,762.0
2024-07-01,916.0
2024-08-01,959.0
2024-09-01,964.0
2024-10-01,935.0
2024-11-01,953.0
2024-12-01,959.0
2025-01-01,901.0
2025-02-01,888.0
2025-03-01,919.0
2025-04-01,1037.0
2025-05-01,1128.0
2025-06-01,1013.0
2025-07-01,973.0
