Date,Job Openings: Total Private
2000-12-01,4541.0
2001-01-01,4752.0
2001-02-01,4619.0
2001-03-01,4316.0
2001-04-01,4125.0
2001-05-01,3940.0
2001-06-01,3830.0
2001-07-01,3937.0
2001-08-01,3537.0
2001-09-01,3637.0
2001-10-01,3249.0
2001-11-01,3288.0
2001-12-01,3229.0
2002-01-01,3289.0
2002-02-01,2939.0
2002-03-01,3164.0
2002-04-01,3025.0
2002-05-01,3005.0
2002-06-01,3007.0
2002-07-01,2927.0
2002-08-01,3073.0
2002-09-01,2910.0
2002-10-01,3095.0
2002-11-01,3086.0
2002-12-01,2797.0
2003-01-01,3007.0
2003-02-01,2844.0
2003-03-01,2734.0
2003-04-01,2768.0
2003-05-01,2957.0
2003-06-01,2988.0
2003-07-01,2636.0
2003-08-01,2876.0
2003-09-01,2756.0
2003-10-01,2923.0
2003-11-01,3011.0
2003-12-01,3087.0
2004-01-01,3095.0
2004-02-01,3181.0
2004-03-01,3159.0
2004-04-01,3158.0
2004-05-01,3343.0
2004-06-01,3002.0
2004-07-01,3482.0
2004-08-01,3215.0
2004-09-01,3475.0
2004-10-01,3557.0
2004-11-01,3114.0
2004-12-01,3674.0
2005-01-01,3490.0
2005-02-01,3598.0
2005-03-01,3692.0
2005-04-01,3805.0
2005-05-01,3448.0
2005-06-01,3705.0
2005-07-01,3864.0
2005-08-01,3757.0
2005-09-01,3952.0
2005-10-01,3818.0
2005-11-01,3881.0
2005-12-01,3847.0
2006-01-01,4001.0
2006-02-01,3948.0
2006-03-01,4313.0
2006-04-01,4368.0
2006-05-01,4034.0
2006-06-01,4201.0
2006-07-01,3907.0
2006-08-01,4277.0
2006-09-01,4264.0
2006-10-01,4185.0
2006-11-01,4207.0
2006-12-01,4177.0
2007-01-01,4303.0
2007-02-01,4262.0
2007-03-01,4527.0
2007-04-01,4256.0
2007-05-01,4222.0
2007-06-01,4415.0
2007-07-01,4150.0
2007-08-01,4086.0
2007-09-01,4204.0
2007-10-01,4207.0
2007-11-01,4194.0
2007-12-01,4104.0
2008-01-01,4211.0
2008-02-01,3848.0
2008-03-01,3803.0
2008-04-01,3613.0
2008-05-01,3753.0
2008-06-01,3396.0
2008-07-01,3338.0
2008-08-01,3289.0
2008-09-01,2843.0
2008-10-01,2995.0
2008-11-01,2845.0
2008-12-01,2817.0
2009-01-01,2379.0
2009-02-01,2496.0
2009-03-01,2172.0
2009-04-01,1937.0
2009-05-01,2275.0
2009-06-01,2179.0
2009-07-01,1946.0
2009-08-01,2034.0
2009-09-01,2200.0
2009-10-01,2024.0
2009-11-01,2152.0
2009-12-01,2239.0
