Date,Job Openings: Construction
2000-12-01,233.0
2001-01-01,241.0
2001-02-01,253.0
2001-03-01,188.0
2001-04-01,226.0
2001-05-01,224.0
2001-06-01,174.0
2001-07-01,178.0
2001-08-01,127.0
2001-09-01,167.0
2001-10-01,141.0
2001-11-01,164.0
2001-12-01,124.0
2002-01-01,129.0
2002-02-01,110.0
2002-03-01,139.0
2002-04-01,120.0
2002-05-01,136.0
2002-06-01,140.0
2002-07-01,102.0
2002-08-01,114.0
2002-09-01,142.0
2002-10-01,126.0
2002-11-01,110.0
2002-12-01,111.0
2003-01-01,107.0
2003-02-01,92.0
2003-03-01,90.0
2003-04-01,138.0
2003-05-01,104.0
2003-06-01,112.0
2003-07-01,136.0
2003-08-01,112.0
2003-09-01,79.0
2003-10-01,105.0
2003-11-01,118.0
2003-12-01,135.0
2004-01-01,170.0
2004-02-01,125.0
2004-03-01,149.0
2004-04-01,146.0
2004-05-01,150.0
2004-06-01,116.0
2004-07-01,124.0
2004-08-01,148.0
2004-09-01,112.0
2004-10-01,148.0
2004-11-01,146.0
2004-12-01,175.0
2005-01-01,144.0
2005-02-01,166.0
2005-03-01,167.0
2005-04-01,134.0
2005-05-01,120.0
2005-06-01,134.0
2005-07-01,151.0
2005-08-01,156.0
2005-09-01,153.0
2005-10-01,182.0
2005-11-01,177.0
2005-12-01,158.0
2006-01-01,171.0
2006-02-01,163.0
2006-03-01,180.0
2006-04-01,183.0
2006-05-01,158.0
2006-06-01,170.0
2006-07-01,175.0
2006-08-01,189.0
2006-09-01,165.0
2006-10-01,163.0
2006-11-01,140.0
2006-12-01,139.0
2007-01-01,266.0
2007-02-01,261.0
2007-03-01,184.0
2007-04-01,182.0
2007-05-01,168.0
2007-06-01,174.0
2007-07-01,183.0
2007-08-01,163.0
2007-09-01,137.0
2007-10-01,166.0
2007-11-01,143.0
2007-12-01,145.0
2008-01-01,158.0
2008-02-01,136.0
2008-03-01,104.0
2008-04-01,101.0
2008-05-01,167.0
2008-06-01,134.0
2008-07-01,117.0
2008-08-01,79.0
2008-09-01,111.0
2008-10-01,73.0
2008-11-01,70.0
2008-12-01,64.0
2009-01-01,41.0
2009-02-01,82.0
2009-03-01,47.0
2009-04-01,24.0
2009-05-01,46.0
2009-06-01,61.0
2009-07-01,45.0
2009-08-01,58.0
2009-09-01,64.0
2009-10-01,55.0
2009-11-01,65.0
2009-12-01,77.0
2010-01-01,58.0
2010-02-01,73.0
2010-03-01,84.0
2010-04-01,85.0
2010-05-01,78.0
2010-06-01,74.0
2010-07-01,102.0
2010-08-01,52.0
2010-09-01,77.0
2010-10-01,67.0
2010-11-01,88.0
2010-12-01,46.0
2011-01-01,65.0
2011-02-01,51.0
2011-03-01,65.0
2011-04-01,77.0
2011-05-01,109.0
2011-06-01,68.0
2011-07-01,85.0
2011-08-01,98.0
2011-09-01,87.0
2011-10-01,82.0
2011-11-01,84.0
2011-12-01,79.0
2012-01-01,89.0
2012-02-01,68.0
2012-03-01,91.0
2012-04-01,113.0
2012-05-01,92.0
2012-06-01,62.0
2012-07-01,88.0
2012-08-01,117.0
2012-09-01,95.0
2012-10-01,106.0
2012-11-01,97.0
2012-12-01,129.0
2013-01-01,120.0
2013-02-01,137.0
2013-03-01,116.0
2013-04-01,113.0
2013-05-01,120.0
2013-06-01,131.0
2013-07-01,104.0
2013-08-01,112.0
2013-09-01,128.0
2013-10-01,137.0
2013-11-01,156.0
2013-12-01,119.0
2014-01-01,155.0
2014-02-01,139.0
2014-03-01,125.0
2014-04-01,116.0
2014-05-01,119.0
2014-06-01,155.0
2014-07-01,149.0
2014-08-01,127.0
2014-09-01,116.0
2014-10-01,149.0
2014-11-01,139.0
2014-12-01,139.0
2015-01-01,147.0
2015-02-01,171.0
2015-03-01,165.0
2015-04-01,152.0
2015-05-01,158.0
2015-06-01,145.0
2015-07-01,147.0
2015-08-01,143.0
2015-09-01,122.0
2015-10-01,136.0
2015-11-01,123.0
2015-12-01,158.0
2016-01-01,169.0
2016-02-01,193.0
2016-03-01,206.0
2016-04-01,178.0
2016-05-01,176.0
2016-06-01,178.0
2016-07-01,210.0
2016-08-01,186.0
2016-09-01,260.0
2016-10-01,219.0
2016-11-01,204.0
2016-12-01,183.0
2017-01-01,161.0
2017-02-01,190.0
2017-03-01,175.0
2017-04-01,207.0
2017-05-01,172.0
2017-06-01,203.0
2017-07-01,210.0
2017-08-01,206.0
2017-09-01,194.0
2017-10-01,204.0
2017-11-01,243.0
2017-12-01,232.0
2018-01-01,250.0
2018-02-01,218.0
2018-03-01,223.0
2018-04-01,223.0
2018-05-01,266.0
2018-06-01,289.0
2018-07-01,272.0
2018-08-01,286.0
2018-09-01,315.0
2018-10-01,275.0
2018-11-01,314.0
2018-12-01,394.0
2019-01-01,309.0
2019-02-01,287.0
2019-03-01,359.0
2019-04-01,405.0
2019-05-01,357.0
2019-06-01,302.0
2019-07-01,323.0
2019-08-01,328.0
2019-09-01,332.0
2019-10-01,326.0
2019-11-01,242.0
2019-12-01,257.0
2020-01-01,299.0
2020-02-01,291.0
2020-03-01,226.0
2020-04-01,211.0
2020-05-01,283.0
2020-06-01,228.0
2020-07-01,306.0
2020-08-01,254.0
2020-09-01,227.0
2020-10-01,242.0
2020-11-01,260.0
2020-12-01,253.0
2021-01-01,317.0
2021-02-01,248.0
2021-03-01,344.0
2021-04-01,321.0
2021-05-01,306.0
2021-06-01,327.0
2021-07-01,376.0
2021-08-01,386.0
2021-09-01,352.0
2021-10-01,403.0
2021-11-01,365.0
2021-12-01,390.0
2022-01-01,428.0
2022-02-01,387.0
2022-03-01,445.0
2022-04-01,441.0
2022-05-01,412.0
2022-06-01,401.0
2022-07-01,375.0
2022-08-01,334.0
2022-09-01,434.0
2022-10-01,397.0
2022-11-01,317.0
2022-12-01,422.0
2023-01-01,306.0
2023-02-01,389.0
2023-03-01,298.0
2023-04-01,379.0
2023-05-01,380.0
2023-06-01,420.0
2023-07-01,359.0
2023-08-01,379.0
2023-09-01,421.0
2023-10-01,415.0
2023-11-01,449.0
2023-12-01,453.0
2024-01-01,407.0
2024-02-01,429.0
2024-03-01,338.0
2024-04-01,326.0
2024-05-01,375.0
2024-06-01,285.0
2024-07-01,229.0
2024-08-01,304.0
2024-09-01,251.0
2024-10-01,249.0
2024-11-01,277.0
2024-12-01,205.0
2025-01-01,242.0
2025-02-01,286.0
2025-03-01,251.0
2025-04-01,242.0
2025-05-01,232.0
2025-06-01,242.0
2025-07-01,306.0
