Date,"Job Openings: Trade, Transportation, and Utilities"
2000-12-01,784.0
2001-01-01,955.0
2001-02-01,962.0
2001-03-01,687.0
2001-04-01,848.0
2001-05-01,721.0
2001-06-01,714.0
2001-07-01,677.0
2001-08-01,580.0
2001-09-01,606.0
2001-10-01,647.0
2001-11-01,630.0
2001-12-01,612.0
2002-01-01,616.0
2002-02-01,545.0
2002-03-01,623.0
2002-04-01,562.0
2002-05-01,527.0
2002-06-01,569.0
2002-07-01,567.0
2002-08-01,575.0
2002-09-01,507.0
2002-10-01,565.0
2002-11-01,504.0
2002-12-01,470.0
2003-01-01,555.0
2003-02-01,538.0
2003-03-01,509.0
2003-04-01,513.0
2003-05-01,536.0
2003-06-01,566.0
2003-07-01,485.0
2003-08-01,565.0
2003-09-01,533.0
2003-10-01,515.0
2003-11-01,554.0
2003-12-01,628.0
2004-01-01,546.0
2004-02-01,590.0
2004-03-01,629.0
2004-04-01,600.0
2004-05-01,650.0
2004-06-01,620.0
2004-07-01,702.0
2004-08-01,602.0
2004-09-01,758.0
2004-10-01,665.0
2004-11-01,532.0
2004-12-01,684.0
2005-01-01,643.0
2005-02-01,764.0
2005-03-01,747.0
2005-04-01,781.0
2005-05-01,710.0
2005-06-01,740.0
2005-07-01,757.0
2005-08-01,758.0
2005-09-01,784.0
2005-10-01,768.0
2005-11-01,784.0
2005-12-01,703.0
2006-01-01,718.0
2006-02-01,738.0
2006-03-01,918.0
2006-04-01,795.0
2006-05-01,826.0
2006-06-01,826.0
2006-07-01,699.0
2006-08-01,779.0
2006-09-01,854.0
2006-10-01,821.0
2006-11-01,796.0
2006-12-01,863.0
2007-01-01,897.0
2007-02-01,787.0
2007-03-01,860.0
2007-04-01,865.0
2007-05-01,736.0
2007-06-01,816.0
2007-07-01,813.0
2007-08-01,803.0
2007-09-01,786.0
2007-10-01,759.0
2007-11-01,781.0
2007-12-01,728.0
2008-01-01,788.0
2008-02-01,664.0
2008-03-01,647.0
2008-04-01,649.0
2008-05-01,706.0
2008-06-01,607.0
2008-07-01,630.0
2008-08-01,659.0
2008-09-01,471.0
2008-10-01,640.0
2008-11-01,584.0
2008-12-01,536.0
2009-01-01,509.0
2009-02-01,454.0
2009-03-01,444.0
2009-04-01,339.0
2009-05-01,547.0
2009-06-01,450.0
2009-07-01,301.0
2009-08-01,422.0
2009-09-01,376.0
2009-10-01,335.0
2009-11-01,366.0
2009-12-01,417.0
2010-01-01,454.0
2010-02-01,468.0
2010-03-01,501.0
2010-04-01,445.0
2010-05-01,486.0
2010-06-01,473.0
2010-07-01,481.0
2010-08-01,446.0
2010-09-01,433.0
2010-10-01,508.0
2010-11-01,492.0
2010-12-01,526.0
2011-01-01,560.0
2011-02-01,640.0
2011-03-01,569.0
2011-04-01,623.0
2011-05-01,640.0
2011-06-01,668.0
2011-07-01,678.0
2011-08-01,566.0
2011-09-01,630.0
2011-10-01,681.0
2011-11-01,744.0
2011-12-01,687.0
2012-01-01,666.0
2012-02-01,647.0
2012-03-01,696.0
2012-04-01,634.0
2012-05-01,624.0
2012-06-01,633.0
2012-07-01,671.0
2012-08-01,744.0
2012-09-01,774.0
2012-10-01,547.0
2012-11-01,683.0
2012-12-01,802.0
2013-01-01,745.0
2013-02-01,648.0
2013-03-01,734.0
2013-04-01,796.0
2013-05-01,817.0
2013-06-01,894.0
2013-07-01,727.0
2013-08-01,766.0
2013-09-01,810.0
2013-10-01,779.0
2013-11-01,800.0
2013-12-01,825.0
2014-01-01,816.0
2014-02-01,878.0
2014-03-01,942.0
2014-04-01,955.0
2014-05-01,937.0
2014-06-01,953.0
2014-07-01,937.0
2014-08-01,1180.0
2014-09-01,921.0
2014-10-01,946.0
2014-11-01,880.0
2014-12-01,911.0
2015-01-01,976.0
2015-02-01,1061.0
2015-03-01,908.0
2015-04-01,987.0
2015-05-01,1005.0
2015-06-01,958.0
2015-07-01,1257.0
2015-08-01,1034.0
2015-09-01,1050.0
2015-10-01,1080.0
2015-11-01,1025.0
2015-12-01,1050.0
2016-01-01,1065.0
2016-02-01,1080.0
2016-03-01,1063.0
2016-04-01,1095.0
2016-05-01,1081.0
2016-06-01,1077.0
2016-07-01,1060.0
2016-08-01,1013.0
2016-09-01,1032.0
2016-10-01,1012.0
2016-11-01,981.0
2016-12-01,1071.0
2017-01-01,981.0
2017-02-01,1037.0
2017-03-01,1097.0
2017-04-01,1018.0
2017-05-01,1052.0
2017-06-01,1107.0
2017-07-01,1141.0
2017-08-01,1255.0
2017-09-01,1205.0
2017-10-01,1170.0
2017-11-01,1279.0
2017-12-01,1407.0
2018-01-01,1374.0
2018-02-01,1302.0
2018-03-01,1406.0
2018-04-01,1511.0
2018-05-01,1491.0
2018-06-01,1492.0
2018-07-01,1481.0
2018-08-01,1287.0
2018-09-01,1523.0
2018-10-01,1430.0
2018-11-01,1593.0
2018-12-01,1412.0
2019-01-01,1446.0
2019-02-01,1273.0
2019-03-01,1311.0
2019-04-01,1350.0
2019-05-01,1312.0
2019-06-01,1358.0
2019-07-01,1286.0
2019-08-01,1294.0
2019-09-01,1263.0
2019-10-01,1424.0
2019-11-01,1253.0
2019-12-01,1189.0
2020-01-01,1253.0
2020-02-01,1214.0
2020-03-01,1087.0
2020-04-01,859.0
2020-05-01,1064.0
2020-06-01,1104.0
2020-07-01,1267.0
2020-08-01,1240.0
2020-09-01,1164.0
2020-10-01,1218.0
2020-11-01,1263.0
2020-12-01,1223.0
2021-01-01,1349.0
2021-02-01,1433.0
2021-03-01,1659.0
2021-04-01,1696.0
2021-05-01,1692.0
2021-06-01,1888.0
2021-07-01,1853.0
2021-08-01,2079.0
2021-09-01,2002.0
2021-10-01,2016.0
2021-11-01,1968.0
2021-12-01,1954.0
2022-01-01,1866.0
2022-02-01,1961.0
2022-03-01,2138.0
2022-04-01,1896.0
2022-05-01,1919.0
2022-06-01,1627.0
2022-07-01,1743.0
2022-08-01,1637.0
2022-09-01,1660.0
2022-10-01,1674.0
2022-11-01,1568.0
2022-12-01,1821.0
2023-01-01,1789.0
2023-02-01,1701.0
2023-03-01,1381.0
2023-04-01,1689.0
2023-05-01,1525.0
2023-06-01,1398.0
2023-07-01,1432.0
2023-08-01,1248.0
2023-09-01,1289.0
2023-10-01,1288.0
2023-11-01,1315.0
2023-12-01,1319.0
2024-01-01,1088.0
2024-02-01,1041.0
2024-03-01,994.0
2024-04-01,988.0
2024-05-01,985.0
2024-06-01,1071.0
2024-07-01,965.0
2024-08-01,1097.0
2024-09-01,923.0
2024-10-01,927.0
2024-11-01,1007.0
2024-12-01,1079.0
2025-01-01,1234.0
2025-02-01,1036.0
2025-03-01,1036.0
2025-04-01,1036.0
2025-05-01,951.0
2025-06-01,1102.0
2025-07-01,1083.0
