Date,Job Openings: Professional and Business Services
2000-12-01,871.0
2001-01-01,888.0
2001-02-01,1032.0
2001-03-01,901.0
2001-04-01,834.0
2001-05-01,750.0
2001-06-01,768.0
2001-07-01,756.0
2001-08-01,594.0
2001-09-01,644.0
2001-10-01,576.0
2001-11-01,604.0
2001-12-01,585.0
2002-01-01,592.0
2002-02-01,418.0
2002-03-01,548.0
2002-04-01,541.0
2002-05-01,567.0
2002-06-01,514.0
2002-07-01,543.0
2002-08-01,617.0
2002-09-01,572.0
2002-10-01,645.0
2002-11-01,590.0
2002-12-01,559.0
2003-01-01,684.0
2003-02-01,623.0
2003-03-01,575.0
2003-04-01,523.0
2003-05-01,640.0
2003-06-01,660.0
2003-07-01,538.0
2003-08-01,609.0
2003-09-01,583.0
2003-10-01,585.0
2003-11-01,627.0
2003-12-01,634.0
2004-01-01,556.0
2004-02-01,620.0
2004-03-01,570.0
2004-04-01,624.0
2004-05-01,676.0
2004-06-01,584.0
2004-07-01,686.0
2004-08-01,642.0
2004-09-01,679.0
2004-10-01,777.0
2004-11-01,673.0
2004-12-01,881.0
2005-01-01,732.0
2005-02-01,750.0
2005-03-01,736.0
2005-04-01,714.0
2005-05-01,663.0
2005-06-01,764.0
2005-07-01,837.0
2005-08-01,777.0
2005-09-01,818.0
2005-10-01,705.0
2005-11-01,783.0
2005-12-01,750.0
2006-01-01,748.0
2006-02-01,770.0
2006-03-01,853.0
2006-04-01,923.0
2006-05-01,855.0
2006-06-01,919.0
2006-07-01,949.0
2006-08-01,948.0
2006-09-01,911.0
2006-10-01,844.0
2006-11-01,861.0
2006-12-01,795.0
2007-01-01,957.0
2007-02-01,861.0
2007-03-01,1004.0
2007-04-01,953.0
2007-05-01,909.0
2007-06-01,959.0
2007-07-01,814.0
2007-08-01,742.0
2007-09-01,845.0
2007-10-01,1049.0
2007-11-01,995.0
2007-12-01,1036.0
2008-01-01,988.0
2008-02-01,967.0
2008-03-01,920.0
2008-04-01,838.0
2008-05-01,821.0
2008-06-01,736.0
2008-07-01,665.0
2008-08-01,659.0
2008-09-01,631.0
2008-10-01,577.0
2008-11-01,527.0
2008-12-01,578.0
2009-01-01,536.0
2009-02-01,533.0
2009-03-01,452.0
2009-04-01,438.0
2009-05-01,446.0
2009-06-01,405.0
2009-07-01,449.0
2009-08-01,420.0
2009-09-01,464.0
2009-10-01,413.0
2009-11-01,435.0
2009-12-01,432.0
2010-01-01,457.0
2010-02-01,430.0
2010-03-01,390.0
2010-04-01,513.0
2010-05-01,603.0
2010-06-01,582.0
2010-07-01,621.0
2010-08-01,641.0
2010-09-01,634.0
2010-10-01,652.0
2010-11-01,700.0
2010-12-01,579.0
2011-01-01,538.0
2011-02-01,610.0
2011-03-01,641.0
2011-04-01,590.0
2011-05-01,585.0
2011-06-01,676.0
2011-07-01,790.0
2011-08-01,669.0
2011-09-01,891.0
2011-10-01,708.0
2011-11-01,667.0
2011-12-01,847.0
2012-01-01,948.0
2012-02-01,747.0
2012-03-01,837.0
2012-04-01,772.0
2012-05-01,750.0
2012-06-01,774.0
2012-07-01,740.0
2012-08-01,730.0
2012-09-01,694.0
2012-10-01,755.0
2012-11-01,749.0
2012-12-01,697.0
2013-01-01,776.0
2013-02-01,757.0
2013-03-01,750.0
2013-04-01,761.0
2013-05-01,788.0
2013-06-01,749.0
2013-07-01,696.0
2013-08-01,809.0
2013-09-01,751.0
2013-10-01,819.0
2013-11-01,745.0
2013-12-01,774.0
2014-01-01,713.0
2014-02-01,848.0
2014-03-01,773.0
2014-04-01,842.0
2014-05-01,857.0
2014-06-01,916.0
2014-07-01,908.0
2014-08-01,967.0
2014-09-01,941.0
2014-10-01,956.0
2014-11-01,970.0
2014-12-01,1041.0
2015-01-01,1028.0
2015-02-01,1082.0
2015-03-01,1101.0
2015-04-01,1239.0
2015-05-01,1235.0
2015-06-01,1109.0
2015-07-01,1146.0
2015-08-01,1091.0
2015-09-01,1110.0
2015-10-01,1212.0
2015-11-01,1285.0
2015-12-01,1199.0
2016-01-01,1310.0
2016-02-01,1236.0
2016-03-01,1471.0
2016-04-01,1049.0
2016-05-01,1163.0
2016-06-01,1143.0
2016-07-01,1248.0
2016-08-01,1105.0
2016-09-01,1204.0
2016-10-01,985.0
2016-11-01,1227.0
2016-12-01,1081.0
2017-01-01,984.0
2017-02-01,986.0
2017-03-01,1009.0
2017-04-01,1047.0
2017-05-01,1010.0
2017-06-01,1237.0
2017-07-01,1131.0
2017-08-01,1110.0
2017-09-01,1113.0
2017-10-01,1323.0
2017-11-01,1034.0
2017-12-01,971.0
2018-01-01,1118.0
2018-02-01,1108.0
2018-03-01,1185.0
2018-04-01,1196.0
2018-05-01,1239.0
2018-06-01,1268.0
2018-07-01,1253.0
2018-08-01,1331.0
2018-09-01,1342.0
2018-10-01,1344.0
2018-11-01,1343.0
2018-12-01,1351.0
2019-01-01,1391.0
2019-02-01,1387.0
2019-03-01,1347.0
2019-04-01,1169.0
2019-05-01,1277.0
2019-06-01,1279.0
2019-07-01,1252.0
2019-08-01,1282.0
2019-09-01,1241.0
2019-10-01,1205.0
2019-11-01,1202.0
2019-12-01,1237.0
2020-01-01,1293.0
2020-02-01,1288.0
2020-03-01,1095.0
2020-04-01,817.0
2020-05-01,1001.0
2020-06-01,1079.0
2020-07-01,1149.0
2020-08-01,1152.0
2020-09-01,1262.0
2020-10-01,1259.0
2020-11-01,1343.0
2020-12-01,1448.0
2021-01-01,1419.0
2021-02-01,1477.0
