Date,Job Openings: Private Education and Health Services
2000-12-01,919.0
2001-01-01,842.0
2001-02-01,808.0
2001-03-01,818.0
2001-04-01,708.0
2001-05-01,812.0
2001-06-01,765.0
2001-07-01,804.0
2001-08-01,847.0
2001-09-01,772.0
2001-10-01,758.0
2001-11-01,733.0
2001-12-01,746.0
2002-01-01,756.0
2002-02-01,766.0
2002-03-01,718.0
2002-04-01,702.0
2002-05-01,654.0
2002-06-01,760.0
2002-07-01,689.0
2002-08-01,710.0
2002-09-01,712.0
2002-10-01,657.0
2002-11-01,762.0
2002-12-01,635.0
2003-01-01,640.0
2003-02-01,594.0
2003-03-01,582.0
2003-04-01,611.0
2003-05-01,651.0
2003-06-01,603.0
2003-07-01,540.0
2003-08-01,562.0
2003-09-01,551.0
2003-10-01,612.0
2003-11-01,582.0
2003-12-01,565.0
2004-01-01,613.0
2004-02-01,611.0
2004-03-01,634.0
2004-04-01,625.0
2004-05-01,625.0
2004-06-01,538.0
2004-07-01,611.0
2004-08-01,601.0
2004-09-01,603.0
2004-10-01,671.0
2004-11-01,626.0
2004-12-01,656.0
2005-01-01,610.0
2005-02-01,632.0
2005-03-01,689.0
2005-04-01,666.0
2005-05-01,697.0
2005-06-01,695.0
2005-07-01,699.0
2005-08-01,693.0
2005-09-01,719.0
2005-10-01,689.0
2005-11-01,679.0
2005-12-01,691.0
2006-01-01,735.0
2006-02-01,746.0
2006-03-01,723.0
2006-04-01,728.0
2006-05-01,691.0
2006-06-01,719.0
2006-07-01,630.0
2006-08-01,766.0
2006-09-01,765.0
2006-10-01,776.0
2006-11-01,810.0
2006-12-01,767.0
2007-01-01,757.0
2007-02-01,725.0
2007-03-01,768.0
2007-04-01,779.0
2007-05-01,815.0
2007-06-01,819.0
2007-07-01,735.0
2007-08-01,802.0
2007-09-01,871.0
2007-10-01,745.0
2007-11-01,768.0
2007-12-01,781.0
2008-01-01,746.0
2008-02-01,806.0
2008-03-01,795.0
2008-04-01,715.0
2008-05-01,734.0
2008-06-01,761.0
2008-07-01,765.0
2008-08-01,700.0
2008-09-01,611.0
2008-10-01,665.0
2008-11-01,673.0
2008-12-01,621.0
2009-01-01,587.0
2009-02-01,554.0
2009-03-01,514.0
2009-04-01,513.0
2009-05-01,527.0
2009-06-01,526.0
2009-07-01,533.0
2009-08-01,540.0
2009-09-01,546.0
2009-10-01,527.0
2009-11-01,514.0
2009-12-01,547.0
2010-01-01,618.0
2010-02-01,524.0
2010-03-01,535.0
2010-04-01,514.0
2010-05-01,507.0
2010-06-01,461.0
2010-07-01,536.0
2010-08-01,491.0
2010-09-01,522.0
2010-10-01,627.0
2010-11-01,557.0
2010-12-01,551.0
2011-01-01,547.0
2011-02-01,574.0
2011-03-01,606.0
2011-04-01,604.0
2011-05-01,583.0
2011-06-01,619.0
2011-07-01,632.0
2011-08-01,645.0
2011-09-01,618.0
2011-10-01,633.0
2011-11-01,642.0
2011-12-01,635.0
2012-01-01,679.0
2012-02-01,681.0
2012-03-01,693.0
2012-04-01,680.0
2012-05-01,724.0
2012-06-01,762.0
2012-07-01,681.0
2012-08-01,662.0
2012-09-01,718.0
2012-10-01,704.0
2012-11-01,735.0
2012-12-01,712.0
2013-01-01,628.0
2013-02-01,692.0
2013-03-01,713.0
2013-04-01,716.0
2013-05-01,686.0
2013-06-01,684.0
2013-07-01,644.0
2013-08-01,753.0
2013-09-01,677.0
2013-10-01,683.0
2013-11-01,662.0
2013-12-01,618.0
2014-01-01,705.0
2014-02-01,733.0
2014-03-01,759.0
2014-04-01,723.0
2014-05-01,817.0
2014-06-01,849.0
2014-07-01,869.0
2014-08-01,930.0
2014-09-01,885.0
2014-10-01,891.0
2014-11-01,800.0
