Date,Job Openings: Health Care and Social Assistance
2000-12-01,864.0
2001-01-01,801.0
2001-02-01,751.0
2001-03-01,761.0
2001-04-01,645.0
2001-05-01,740.0
2001-06-01,716.0
2001-07-01,749.0
2001-08-01,791.0
2001-09-01,717.0
2001-10-01,704.0
2001-11-01,682.0
2001-12-01,697.0
2002-01-01,696.0
2002-02-01,704.0
2002-03-01,673.0
2002-04-01,650.0
2002-05-01,612.0
2002-06-01,658.0
2002-07-01,635.0
2002-08-01,657.0
2002-09-01,660.0
2002-10-01,614.0
2002-11-01,715.0
2002-12-01,584.0
2003-01-01,590.0
2003-02-01,554.0
2003-03-01,539.0
2003-04-01,565.0
2003-05-01,600.0
2003-06-01,548.0
2003-07-01,488.0
2003-08-01,521.0
2003-09-01,513.0
2003-10-01,561.0
2003-11-01,533.0
2003-12-01,521.0
2004-01-01,568.0
2004-02-01,560.0
2004-03-01,578.0
2004-04-01,577.0
2004-05-01,574.0
2004-06-01,496.0
2004-07-01,555.0
2004-08-01,546.0
2004-09-01,552.0
2004-10-01,586.0
2004-11-01,570.0
2004-12-01,590.0
2005-01-01,554.0
2005-02-01,589.0
2005-03-01,622.0
2005-04-01,600.0
2005-05-01,626.0
2005-06-01,601.0
2005-07-01,635.0
2005-08-01,625.0
2005-09-01,636.0
2005-10-01,610.0
2005-11-01,602.0
2005-12-01,620.0
2006-01-01,654.0
2006-02-01,671.0
2006-03-01,627.0
2006-04-01,653.0
2006-05-01,612.0
2006-06-01,670.0
2006-07-01,565.0
2006-08-01,696.0
2006-09-01,686.0
2006-10-01,711.0
2006-11-01,736.0
2006-12-01,698.0
2007-01-01,694.0
2007-02-01,656.0
2007-03-01,695.0
2007-04-01,707.0
2007-05-01,749.0
2007-06-01,733.0
2007-07-01,668.0
2007-08-01,723.0
2007-09-01,795.0
2007-10-01,674.0
2007-11-01,696.0
2007-12-01,712.0
2008-01-01,680.0
2008-02-01,740.0
2008-03-01,727.0
2008-04-01,644.0
2008-05-01,668.0
2008-06-01,699.0
2008-07-01,670.0
2008-08-01,633.0
2008-09-01,559.0
2008-10-01,592.0
2008-11-01,606.0
2008-12-01,548.0
2009-01-01,521.0
2009-02-01,501.0
2009-03-01,467.0
2009-04-01,466.0
2009-05-01,487.0
2009-06-01,470.0
2009-07-01,492.0
2009-08-01,487.0
2009-09-01,505.0
2009-10-01,483.0
2009-11-01,474.0
2009-12-01,493.0
2010-01-01,589.0
2010-02-01,461.0
2010-03-01,450.0
2010-04-01,456.0
2010-05-01,435.0
2010-06-01,408.0
2010-07-01,470.0
2010-08-01,436.0
2010-09-01,469.0
2010-10-01,562.0
2010-11-01,495.0
2010-12-01,493.0
2011-01-01,473.0
2011-02-01,505.0
2011-03-01,547.0
2011-04-01,533.0
2011-05-01,534.0
2011-06-01,544.0
2011-07-01,565.0
2011-08-01,577.0
2011-09-01,545.0
2011-10-01,569.0
2011-11-01,579.0
2011-12-01,579.0
2012-01-01,625.0
2012-02-01,615.0
2012-03-01,625.0
2012-04-01,619.0
2012-05-01,656.0
2012-06-01,702.0
2012-07-01,596.0
2012-08-01,596.0
