Date,Job Openings: Leisure and Hospitality
2000-12-01,566.0
2001-01-01,654.0
2001-02-01,601.0
2001-03-01,695.0
2001-04-01,582.0
2001-05-01,527.0
2001-06-01,447.0
2001-07-01,588.0
2001-08-01,544.0
2001-09-01,540.0
2001-10-01,375.0
2001-11-01,452.0
2001-12-01,434.0
2002-01-01,356.0
2002-02-01,414.0
2002-03-01,410.0
2002-04-01,376.0
2002-05-01,399.0
2002-06-01,342.0
2002-07-01,376.0
2002-08-01,395.0
2002-09-01,351.0
2002-10-01,382.0
2002-11-01,406.0
2002-12-01,377.0
2003-01-01,392.0
2003-02-01,362.0
2003-03-01,352.0
2003-04-01,371.0
2003-05-01,430.0
2003-06-01,424.0
2003-07-01,338.0
2003-08-01,389.0
2003-09-01,396.0
2003-10-01,458.0
2003-11-01,438.0
2003-12-01,446.0
2004-01-01,454.0
2004-02-01,467.0
2004-03-01,443.0
2004-04-01,410.0
2004-05-01,429.0
2004-06-01,466.0
2004-07-01,516.0
2004-08-01,465.0
2004-09-01,524.0
2004-10-01,486.0
2004-11-01,428.0
2004-12-01,471.0
2005-01-01,541.0
2005-02-01,525.0
2005-03-01,558.0
2005-04-01,625.0
2005-05-01,535.0
2005-06-01,577.0
2005-07-01,536.0
2005-08-01,514.0
2005-09-01,485.0
2005-10-01,505.0
2005-11-01,529.0
2005-12-01,587.0
2006-01-01,634.0
2006-02-01,594.0
2006-03-01,563.0
2006-04-01,676.0
2006-05-01,545.0
2006-06-01,539.0
2006-07-01,589.0
2006-08-01,571.0
2006-09-01,575.0
2006-10-01,588.0
2006-11-01,616.0
2006-12-01,580.0
2007-01-01,512.0
2007-02-01,554.0
2007-03-01,625.0
2007-04-01,563.0
2007-05-01,584.0
2007-06-01,633.0
2007-07-01,629.0
2007-08-01,635.0
2007-09-01,676.0
2007-10-01,608.0
2007-11-01,635.0
2007-12-01,582.0
2008-01-01,574.0
2008-02-01,552.0
2008-03-01,583.0
2008-04-01,549.0
2008-05-01,555.0
2008-06-01,471.0
2008-07-01,440.0
2008-08-01,431.0
2008-09-01,410.0
2008-10-01,409.0
2008-11-01,349.0
2008-12-01,348.0
2009-01-01,241.0
2009-02-01,326.0
2009-03-01,263.0
2009-04-01,273.0
2009-05-01,296.0
2009-06-01,283.0
2009-07-01,259.0
2009-08-01,198.0
2009-09-01,286.0
2009-10-01,261.0
2009-11-01,279.0
2009-12-01,258.0
2010-01-01,279.0
2010-02-01,266.0
2010-03-01,239.0
2010-04-01,283.0
2010-05-01,312.0
2010-06-01,329.0
2010-07-01,323.0
2010-08-01,364.0
2010-09-01,317.0
2010-10-01,417.0
2010-11-01,319.0
2010-12-01,352.0
2011-01-01,366.0
2011-02-01,389.0
2011-03-01,393.0
2011-04-01,331.0
2011-05-01,319.0
2011-06-01,406.0
2011-07-01,363.0
2011-08-01,392.0
2011-09-01,428.0
2011-10-01,429.0
2011-11-01,434.0
2011-12-01,441.0
2012-01-01,453.0
2012-02-01,379.0
2012-03-01,447.0
2012-04-01,481.0
2012-05-01,458.0
2012-06-01,483.0
2012-07-01,489.0
2012-08-01,423.0
2012-09-01,422.0
2012-10-01,483.0
2012-11-01,499.0
2012-12-01,481.0
2013-01-01,470.0
2013-02-01,520.0
2013-03-01,514.0
2013-04-01,478.0
2013-05-01,469.0
2013-06-01,489.0
2013-07-01,503.0
2013-08-01,523.0
2013-09-01,550.0
2013-10-01,540.0
2013-11-01,543.0
2013-12-01,585.0
2014-01-01,596.0
2014-02-01,558.0
2014-03-01,571.0
2014-04-01,662.0
2014-05-01,710.0
2014-06-01,674.0
2014-07-01,630.0
2014-08-01,705.0
2014-09-01,708.0
2014-10-01,671.0
2014-11-01,631.0
2014-12-01,707.0
2015-01-01,802.0
2015-02-01,750.0
2015-03-01,719.0
2015-04-01,720.0
2015-05-01,703.0
2015-06-01,666.0
2015-07-01,761.0
2015-08-01,695.0
2015-09-01,705.0
2015-10-01,785.0
2015-11-01,764.0
2015-12-01,747.0
2016-01-01,759.0
2016-02-01,758.0
