Date,Job Openings: Accommodation and Food Services
2000-12-01,525.0
2001-01-01,597.0
2001-02-01,558.0
2001-03-01,568.0
2001-04-01,533.0
2001-05-01,470.0
2001-06-01,384.0
2001-07-01,509.0
2001-08-01,482.0
2001-09-01,463.0
2001-10-01,316.0
2001-11-01,387.0
2001-12-01,368.0
2002-01-01,313.0
2002-02-01,355.0
2002-03-01,330.0
2002-04-01,319.0
2002-05-01,339.0
2002-06-01,298.0
2002-07-01,332.0
2002-08-01,345.0
2002-09-01,316.0
2002-10-01,332.0
2002-11-01,341.0
2002-12-01,334.0
2003-01-01,358.0
2003-02-01,326.0
2003-03-01,320.0
2003-04-01,331.0
2003-05-01,364.0
2003-06-01,359.0
2003-07-01,289.0
2003-08-01,332.0
2003-09-01,350.0
2003-10-01,394.0
2003-11-01,387.0
2003-12-01,387.0
2004-01-01,376.0
2004-02-01,389.0
2004-03-01,387.0
2004-04-01,372.0
2004-05-01,374.0
2004-06-01,408.0
2004-07-01,465.0
2004-08-01,412.0
2004-09-01,454.0
2004-10-01,432.0
2004-11-01,346.0
2004-12-01,358.0
2005-01-01,462.0
2005-02-01,444.0
2005-03-01,461.0
2005-04-01,524.0
2005-05-01,464.0
2005-06-01,486.0
2005-07-01,436.0
2005-08-01,424.0
2005-09-01,412.0
2005-10-01,431.0
2005-11-01,469.0
2005-12-01,517.0
2006-01-01,511.0
2006-02-01,512.0
2006-03-01,500.0
2006-04-01,589.0
2006-05-01,487.0
2006-06-01,473.0
2006-07-01,522.0
2006-08-01,514.0
2006-09-01,467.0
2006-10-01,496.0
2006-11-01,530.0
2006-12-01,496.0
2007-01-01,429.0
2007-02-01,478.0
2007-03-01,537.0
2007-04-01,486.0
2007-05-01,520.0
2007-06-01,520.0
2007-07-01,559.0
2007-08-01,572.0
2007-09-01,609.0
2007-10-01,532.0
2007-11-01,532.0
2007-12-01,525.0
2008-01-01,517.0
2008-02-01,486.0
2008-03-01,509.0
2008-04-01,488.0
2008-05-01,483.0
2008-06-01,417.0
2008-07-01,385.0
2008-08-01,354.0
2008-09-01,354.0
2008-10-01,355.0
2008-11-01,295.0
2008-12-01,298.0
2009-01-01,206.0
2009-02-01,296.0
2009-03-01,239.0
2009-04-01,247.0
2009-05-01,268.0
2009-06-01,264.0
2009-07-01,223.0
2009-08-01,173.0
2009-09-01,260.0
2009-10-01,244.0
2009-11-01,251.0
2009-12-01,239.0
2010-01-01,257.0
2010-02-01,239.0
2010-03-01,211.0
2010-04-01,255.0
2010-05-01,260.0
2010-06-01,267.0
2010-07-01,285.0
2010-08-01,319.0
2010-09-01,283.0
2010-10-01,382.0
2010-11-01,291.0
2010-12-01,312.0
2011-01-01,331.0
2011-02-01,342.0
2011-03-01,352.0
2011-04-01,289.0
2011-05-01,279.0
2011-06-01,325.0
2011-07-01,288.0
2011-08-01,343.0
2011-09-01,362.0
2011-10-01,366.0
2011-11-01,380.0
2011-12-01,402.0
2012-01-01,380.0
2012-02-01,320.0
2012-03-01,398.0
2012-04-01,404.0
2012-05-01,393.0
2012-06-01,411.0
2012-07-01,424.0
2012-08-01,364.0
2012-09-01,368.0
2012-10-01,429.0
2012-11-01,442.0
2012-12-01,415.0
2013-01-01,415.0
2013-02-01,468.0
2013-03-01,451.0
2013-04-01,430.0
2013-05-01,422.0
2013-06-01,438.0
2013-07-01,451.0
2013-08-01,429.0
2013-09-01,482.0
2013-10-01,450.0
2013-11-01,462.0
2013-12-01,504.0
2014-01-01,505.0
2014-02-01,485.0
2014-03-01,518.0
2014-04-01,570.0
2014-05-01,621.0
2014-06-01,598.0
2014-07-01,566.0
2014-08-01,621.0
2014-09-01,632.0
2014-10-01,604.0
2014-11-01,573.0
2014-12-01,621.0
2015-01-01,716.0
2015-02-01,653.0
2015-03-01,630.0
2015-04-01,648.0
2015-05-01,632.0
2015-06-01,599.0
2015-07-01,692.0
2015-08-01,637.0
2015-09-01,631.0
2015-10-01,708.0
2015-11-01,678.0
2015-12-01,670.0
2016-01-01,668.0
2016-02-01,685.0
2016-03-01,708.0
2016-04-01,650.0
2016-05-01,651.0
2016-06-01,700.0
2016-07-01,651.0
2016-08-01,708.0
2016-09-01,659.0
2016-10-01,652.0
2016-11-01,658.0
2016-12-01,654.0
2017-01-01,644.0
2017-02-01,805.0
2017-03-01,653.0
2017-04-01,759.0
2017-05-01,776.0
2017-06-01,735.0
2017-07-01,749.0
2017-08-01,812.0
2017-09-01,685.0
2017-10-01,708.0
2017-11-01,790.0
2017-12-01,797.0
2018-01-01,843.0
2018-02-01,789.0
2018-03-01,829.0
2018-04-01,853.0
2018-05-01,847.0
2018-06-01,903.0
2018-07-01,918.0
2018-08-01,895.0
2018-09-01,982.0
2018-10-01,921.0
2018-11-01,925.0
2018-12-01,960.0
2019-01-01,1018.0
2019-02-01,893.0
2019-03-01,904.0
2019-04-01,905.0
2019-05-01,884.0
2019-06-01,836.0
2019-07-01,845.0
2019-08-01,833.0
2019-09-01,881.0
2019-10-01,857.0
2019-11-01,854.0
2019-12-01,789.0
2020-01-01,751.0
2020-02-01,801.0
2020-03-01,544.0
2020-04-01,270.0
2020-05-01,608.0
2020-06-01,749.0
2020-07-01,699.0
2020-08-01,683.0
2020-09-01,711.0
2020-10-01,720.0
2020-11-01,729.0
2020-12-01,700.0
2021-01-01,642.0
2021-02-01,825.0
2021-03-01,950.0
2021-04-01,1137.0
2021-05-01,1248.0
2021-06-01,1368.0
2021-07-01,1579.0
2021-08-01,1534.0
2021-09-01,1416.0
2021-10-01,1451.0
2021-11-01,1401.0
2021-12-01,1477.0
2022-01-01,1405.0
2022-02-01,1513.0
2022-03-01,1478.0
2022-04-01,1461.0
2022-05-01,1433.0
2022-06-01,1430.0
2022-07-01,1417.0
2022-08-01,1277.0
2022-09-01,1326.0
2022-10-01,1367.0
2022-11-01,1347.0
2022-12-01,1465.0
2023-01-01,1331.0
2023-02-01,1199.0
2023-03-01,1211.0
2023-04-01,1148.0
2023-05-01,1154.0
2023-06-01,1067.0
2023-07-01,1051.0
2023-08-01,1031.0
2023-09-01,1192.0
2023-10-01,989.0
2023-11-01,1003.0
2023-12-01,759.0
2024-01-01,917.0
2024-02-01,918.0
2024-03-01,1012.0
2024-04-01,898.0
2024-05-01,732.0
2024-06-01,777.0
2024-07-01,813.0
2024-08-01,844.0
2024-09-01,831.0
2024-10-01,1068.0
2024-11-01,896.0
2024-12-01,963.0
2025-01-01,901.0
2025-02-01,900.0
2025-03-01,825.0
2025-04-01,727.0
2025-05-01,1062.0
2025-06-01,864.0
2025-07-01,878.0
