Date,Job Openings: Government
2000-12-01,548.0
2001-01-01,482.0
2001-02-01,479.0
2001-03-01,445.0
2001-04-01,490.0
2001-05-01,486.0
2001-06-01,531.0
2001-07-01,509.0
2001-08-01,487.0
2001-09-01,434.0
2001-10-01,458.0
2001-11-01,486.0
2001-12-01,449.0
2002-01-01,410.0
2002-02-01,498.0
2002-03-01,448.0
2002-04-01,446.0
2002-05-01,452.0
2002-06-01,405.0
2002-07-01,440.0
2002-08-01,444.0
2002-09-01,390.0
2002-10-01,384.0
2002-11-01,427.0
2002-12-01,372.0
2003-01-01,435.0
2003-02-01,386.0
2003-03-01,365.0
2003-04-01,340.0
2003-05-01,333.0
2003-06-01,401.0
2003-07-01,345.0
2003-08-01,314.0
2003-09-01,335.0
2003-10-01,382.0
2003-11-01,313.0
2003-12-01,326.0
2004-01-01,329.0
2004-02-01,351.0
2004-03-01,366.0
2004-04-01,353.0
2004-05-01,367.0
2004-06-01,335.0
2004-07-01,332.0
2004-08-01,326.0
2004-09-01,346.0
2004-10-01,386.0
2004-11-01,358.0
2004-12-01,400.0
2005-01-01,314.0
2005-02-01,368.0
2005-03-01,352.0
2005-04-01,353.0
2005-05-01,349.0
2005-06-01,357.0
2005-07-01,392.0
2005-08-01,384.0
2005-09-01,399.0
2005-10-01,365.0
2005-11-01,368.0
2005-12-01,435.0
2006-01-01,397.0
2006-02-01,376.0
2006-03-01,419.0
2006-04-01,422.0
2006-05-01,429.0
2006-06-01,413.0
2006-07-01,488.0
2006-08-01,432.0
2006-09-01,473.0
2006-10-01,407.0
2006-11-01,438.0
2006-12-01,442.0
2007-01-01,460.0
2007-02-01,438.0
2007-03-01,435.0
2007-04-01,434.0
2007-05-01,435.0
2007-06-01,444.0
2007-07-01,449.0
2007-08-01,460.0
2007-09-01,448.0
2007-10-01,429.0
2007-11-01,452.0
2007-12-01,441.0
2008-01-01,413.0
2008-02-01,430.0
2008-03-01,422.0
2008-04-01,422.0
2008-05-01,441.0
2008-06-01,434.0
2008-07-01,411.0
2008-08-01,384.0
2008-09-01,379.0
2008-10-01,382.0
2008-11-01,385.0
2008-12-01,329.0
2009-01-01,359.0
2009-02-01,368.0
2009-03-01,362.0
2009-04-01,358.0
2009-05-01,274.0
2009-06-01,324.0
2009-07-01,286.0
2009-08-01,304.0
2009-09-01,287.0
2009-10-01,382.0
2009-11-01,351.0
2009-12-01,330.0
2010-01-01,404.0
2010-02-01,343.0
2010-03-01,408.0
2010-04-01,623.0
2010-05-01,385.0
2010-06-01,301.0
2010-07-01,324.0
2010-08-01,346.0
2010-09-01,337.0
2010-10-01,345.0
2010-11-01,337.0
2010-12-01,399.0
2011-01-01,338.0
2011-02-01,316.0
2011-03-01,323.0
2011-04-01,341.0
2011-05-01,298.0
2011-06-01,359.0
2011-07-01,332.0
2011-08-01,329.0
2011-09-01,397.0
2011-10-01,367.0
2011-11-01,357.0
2011-12-01,364.0
2012-01-01,349.0
2012-02-01,395.0
2012-03-01,396.0
2012-04-01,367.0
2012-05-01,397.0
2012-06-01,387.0
2012-07-01,379.0
2012-08-01,420.0
2012-09-01,383.0
2012-10-01,380.0
2012-11-01,364.0
2012-12-01,408.0
2013-01-01,456.0
2013-02-01,421.0
2013-03-01,395.0
2013-04-01,421.0
2013-05-01,410.0
2013-06-01,400.0
2013-07-01,376.0
2013-08-01,393.0
2013-09-01,396.0
2013-10-01,395.0
2013-11-01,405.0
2013-12-01,347.0
2014-01-01,389.0
2014-02-01,402.0
2014-03-01,425.0
2014-04-01,435.0
2014-05-01,441.0
2014-06-01,514.0
2014-07-01,475.0
2014-08-01,438.0
2014-09-01,468.0
2014-10-01,435.0
2014-11-01,472.0
2014-12-01,505.0
2015-01-01,526.0
2015-02-01,515.0
2015-03-01,501.0
2015-04-01,521.0
2015-05-01,523.0
2015-06-01,471.0
2015-07-01,548.0
2015-08-01,494.0
2015-09-01,470.0
2015-10-01,527.0
2015-11-01,523.0
2015-12-01,541.0
2016-01-01,515.0
2016-02-01,488.0
2016-03-01,496.0
2016-04-01,502.0
2016-05-01,538.0
2016-06-01,479.0
2016-07-01,587.0
2016-08-01,511.0
2016-09-01,527.0
2016-10-01,484.0
2016-11-01,577.0
2016-12-01,560.0
2017-01-01,497.0
2017-02-01,505.0
2017-03-01,506.0
2017-04-01,543.0
2017-05-01,551.0
2017-06-01,574.0
2017-07-01,548.0
2017-08-01,503.0
2017-09-01,563.0
2017-10-01,553.0
2017-11-01,535.0
2017-12-01,578.0
2018-01-01,591.0
2018-02-01,596.0
2018-03-01,628.0
2018-04-01,593.0
2018-05-01,596.0
2018-06-01,646.0
2018-07-01,646.0
2018-08-01,725.0
2018-09-01,617.0
2018-10-01,616.0
2018-11-01,676.0
2018-12-01,680.0
2019-01-01,693.0
2019-02-01,687.0
2019-03-01,715.0
2019-04-01,735.0
2019-05-01,674.0
2019-06-01,745.0
2019-07-01,649.0
2019-08-01,747.0
2019-09-01,740.0
2019-10-01,785.0
2019-11-01,764.0
2019-12-01,748.0
2020-01-01,820.0
2020-02-01,771.0
2020-03-01,713.0
2020-04-01,651.0
2020-05-01,621.0
2020-06-01,665.0
2020-07-01,818.0
2020-08-01,707.0
2020-09-01,708.0
2020-10-01,732.0
2020-11-01,676.0
2020-12-01,664.0
2021-01-01,759.0
2021-02-01,695.0
2021-03-01,863.0
2021-04-01,966.0
2021-05-01,898.0
2021-06-01,935.0
2021-07-01,944.0
2021-08-01,856.0
2021-09-01,957.0
2021-10-01,980.0
2021-11-01,980.0
2021-12-01,1090.0
2022-01-01,1016.0
2022-02-01,1061.0
2022-03-01,1029.0
2022-04-01,1066.0
2022-05-01,1063.0
2022-06-01,984.0
2022-07-01,1227.0
2022-08-01,954.0
2022-09-01,1066.0
2022-10-01,991.0
2022-11-01,1035.0
2022-12-01,1027.0
2023-01-01,1073.0
2023-02-01,1010.0
2023-03-01,1038.0
2023-04-01,1064.0
2023-05-01,1075.0
2023-06-01,1134.0
2023-07-01,1004.0
2023-08-01,1050.0
2023-09-01,1001.0
2023-10-01,969.0
2023-11-01,1020.0
2023-12-01,981.0
2024-01-01,891.0
2024-02-01,924.0
2024-03-01,992.0
2024-04-01,855.0
2024-05-01,1049.0
2024-06-01,957.0
2024-07-01,919.0
2024-08-01,1011.0
2024-09-01,862.0
2024-10-01,900.0
2024-11-01,869.0
2024-12-01,874.0
2025-01-01,902.0
2025-02-01,892.0
2025-03-01,858.0
2025-04-01,833.0
2025-05-01,836.0
2025-06-01,821.0
2025-07-01,783.0
