Date,Job Openings: State and Local
2000-12-01,481.0
2001-01-01,413.0
2001-02-01,416.0
2001-03-01,388.0
2001-04-01,425.0
2001-05-01,417.0
2001-06-01,468.0
2001-07-01,458.0
2001-08-01,432.0
2001-09-01,380.0
2001-10-01,398.0
2001-11-01,433.0
2001-12-01,402.0
2002-01-01,363.0
2002-02-01,446.0
2002-03-01,395.0
2002-04-01,396.0
2002-05-01,399.0
2002-06-01,375.0
2002-07-01,391.0
2002-08-01,393.0
2002-09-01,342.0
2002-10-01,353.0
2002-11-01,378.0
2002-12-01,330.0
2003-01-01,377.0
2003-02-01,339.0
2003-03-01,314.0
2003-04-01,311.0
2003-05-01,289.0
2003-06-01,344.0
2003-07-01,283.0
2003-08-01,258.0
2003-09-01,287.0
2003-10-01,329.0
2003-11-01,265.0
2003-12-01,272.0
2004-01-01,272.0
2004-02-01,298.0
2004-03-01,313.0
2004-04-01,298.0
2004-05-01,336.0
2004-06-01,286.0
2004-07-01,292.0
2004-08-01,289.0
2004-09-01,296.0
2004-10-01,339.0
2004-11-01,306.0
2004-12-01,343.0
2005-01-01,280.0
2005-02-01,321.0
2005-03-01,310.0
2005-04-01,313.0
2005-05-01,305.0
2005-06-01,315.0
2005-07-01,344.0
2005-08-01,328.0
2005-09-01,346.0
2005-10-01,321.0
2005-11-01,327.0
2005-12-01,385.0
2006-01-01,349.0
2006-02-01,332.0
2006-03-01,379.0
2006-04-01,374.0
2006-05-01,382.0
2006-06-01,368.0
2006-07-01,435.0
2006-08-01,394.0
2006-09-01,438.0
2006-10-01,372.0
2006-11-01,402.0
2006-12-01,409.0
2007-01-01,428.0
2007-02-01,401.0
2007-03-01,395.0
2007-04-01,394.0
2007-05-01,393.0
2007-06-01,409.0
2007-07-01,413.0
2007-08-01,412.0
2007-09-01,392.0
2007-10-01,381.0
2007-11-01,405.0
2007-12-01,380.0
2008-01-01,372.0
2008-02-01,388.0
2008-03-01,369.0
2008-04-01,379.0
2008-05-01,394.0
2008-06-01,378.0
2008-07-01,354.0
2008-08-01,340.0
2008-09-01,343.0
2008-10-01,332.0
2008-11-01,338.0
2008-12-01,292.0
2009-01-01,298.0
2009-02-01,310.0
2009-03-01,261.0
2009-04-01,307.0
2009-05-01,249.0
2009-06-01,279.0
2009-07-01,235.0
2009-08-01,273.0
2009-09-01,223.0
2009-10-01,271.0
2009-11-01,257.0
2009-12-01,260.0
2010-01-01,255.0
2010-02-01,222.0
2010-03-01,259.0
2010-04-01,249.0
2010-05-01,242.0
2010-06-01,214.0
2010-07-01,240.0
2010-08-01,245.0
2010-09-01,251.0
2010-10-01,271.0
2010-11-01,265.0
2010-12-01,308.0
2011-01-01,277.0
2011-02-01,258.0
2011-03-01,269.0
2011-04-01,288.0
2011-05-01,235.0
2011-06-01,298.0
2011-07-01,263.0
2011-08-01,277.0
2011-09-01,332.0
2011-10-01,291.0
2011-11-01,297.0
2011-12-01,298.0
2012-01-01,283.0
2012-02-01,323.0
2012-03-01,317.0
2012-04-01,289.0
2012-05-01,330.0
2012-06-01,309.0
2012-07-01,314.0
2012-08-01,326.0
2012-09-01,309.0
2012-10-01,312.0
2012-11-01,310.0
2012-12-01,333.0
2013-01-01,365.0
2013-02-01,356.0
2013-03-01,340.0
2013-04-01,342.0
2013-05-01,361.0
2013-06-01,351.0
2013-07-01,324.0
2013-08-01,352.0
2013-09-01,344.0
2013-10-01,349.0
2013-11-01,346.0
2013-12-01,303.0
2014-01-01,338.0
2014-02-01,349.0
2014-03-01,365.0
2014-04-01,376.0
2014-05-01,371.0
2014-06-01,447.0
2014-07-01,413.0
2014-08-01,364.0
2014-09-01,396.0
2014-10-01,360.0
2014-11-01,392.0
2014-12-01,428.0
2015-01-01,441.0
2015-02-01,429.0
2015-03-01,418.0
2015-04-01,427.0
2015-05-01,439.0
2015-06-01,380.0
2015-07-01,449.0
