,Accounting,Administrative Assistance,Architecture,Arts & Entertainment,Banking & Finance,Childcare,Civil Engineering,Cleaning & Sanitation,Community & Social Service,Construction,Customer Service,Data & Analytics,Dental,Driving,Education & Instruction,Electrical Engineering,Food Preparation & Service,Headline,Hospitality & Tourism,Human Resources,"IT Infrastructure, Operations & Support",IT Systems & Solutions,Industrial Engineering,Installation & Maintenance,Legal,Loading & Stocking,Logistic Support,Management,Marketing,Media & Communications,Medical Information,Medical Technician,Nursing,Personal Care & Home Health,Pharmacy,Physicians & Surgeons,Production & Manufacturing,Project Management,Retail,Sales,Scientific Research & Development,Security & Public Safety,Software Development,Sports,Therapy,Veterinary
Accounting,1.0,0.9547743656005105,0.9324724746032343,0.9236731623523933,0.9060195918009909,0.8517697283175265,0.7169897600333395,0.8456799416613121,0.8865164514704319,0.7553563283134307,0.8336248609525665,0.8267428195091959,0.699281441688256,0.7619667536035025,0.7597304472544046,0.9192514792664481,0.8797800475820264,0.9482713093712885,0.8694165792295,0.8729513548322143,0.8794016067197955,0.849558125877118,0.9523137989750039,0.8856817209719409,0.9267115461683016,0.8000711316789471,0.9367957854314134,0.9547862985375484,0.8128921747305727,0.8735022871530695,0.93983298774809,0.9432870777372433,0.9526494134003882,0.8655252525194312,0.9024109471443862,0.6997893219187266,0.9019615430979768,0.9504881712467657,0.8899576214756827,0.8746551932084242,0.9098088753893383,0.899361831653949,0.7796253694869658,0.6517378247331282,0.6869642229480911,0.8321465416143305
Administrative Assistance,0.9547743656005105,1.0,0.9469771125941742,0.9685190675396154,0.9335687593061265,0.8971920387965636,0.66958766405303,0.950243995355634,0.930939053318523,0.8609956920654064,0.9296485020071047,0.8629898440964882,0.740868971011977,0.7794114181974987,0.7955390469119605,0.9000984535587164,0.9514424316711655,0.9929362009349308,0.9387423817382292,0.9316438032511861,0.9163155639605359,0.8859064324911355,0.9653818979456282,0.9341985358684634,0.963740472877446,0.8821730313700592,0.9798493031504242,0.9896599598120809,0.8897246406920681,0.9287482455689955,0.9818459549822693,0.9492346285568951,0.9553978266656146,0.9075890320996558,0.8772006116639919,0.662531481112018,0.9750899473841169,0.976870524733513,0.9359996240847032,0.9613016565965753,0.9563058545497518,0.9689303163409636,0.8217638240478771,0.6549769099608322,0.6901777862124658,0.8749139497987899
Architecture,0.9324724746032343,0.9469771125941742,1.0,0.9271843592934016,0.8735908178339972,0.8920886494709412,0.7990767429543145,0.8557200572599103,0.9533324104297656,0.8094208741693356,0.7947061996466784,0.7896719664623122,0.7471173097408871,0.75892729082069,0.8901134039803832,0.964071778247499,0.9073212109918526,0.9508022082946452,0.946362585011911,0.8448418822595364,0.8538479139135811,0.8231222858052271,0.9471042521190147,0.9135357753258788,0.9692663187479745,0.7142149359329236,0.9347815658064854,0.95232934359665,0.7828537530847482,0.8550594190191164,0.8909289216127237,0.9366375905341664,0.9358163836149277,0.880602286888816,0.8411821195700262,0.7712855824045767,0.8822674748222995,0.9742447951348526,0.830020802735474,0.8810735946982966,0.878922508094591,0.9401910715620497,0.7333894525832101,0.7666221296070607,0.766776630894752,0.8397489201375921
Arts & Entertainment,0.9236731623523933,0.9685190675396154,0.9271843592934016,1.0,0.9730910286278504,0.8022461857006302,0.562868235529614,0.9087971666309366,0.8570167908771906,0.7795141058461647,0.9334743370536434,0.9321423135680346,0.5985754381894682,0.6672798413478574,0.7126419757234562,0.8361735883552981,0.8949070418890452,0.9544139220333593,0.894678596710333,0.9712829493671905,0.9593366694564046,0.9504063097429892,0.9749144747006089,0.8471832280514979,0.9325034806387759,0.8789824922355762,0.9663988762303092,0.9671624164656598,0.9488937544446187,0.9778615607776545,0.9527387183519949,0.8689334984810104,0.8765256783566144,0.7985856134997016,0.8001244975448109,0.5495976675719725,0.9417738752571182,0.9745500736131141,0.8925157922155523,0.9697900001203775,0.9717025519523236,0.9150125450146794,0.9010313853725007,0.5565326096384692,0.5712053313588887,0.7634672987900679
Banking & Finance,0.9060195918009909,0.9335687593061265,0.8735908178339972,0.9730910286278504,1.0,0.7122547412095372,0.4524443106233962,0.8725822634456536,0.7757573746284021,0.7181402541838947,0.912404949626961,0.9769099239854925,0.507814989921805,0.5707636783313496,0.6198355632389505,0.7705474613824222,0.8189253125710632,0.9107412265476886,0.8076049646295742,0.9784251521658277,0.986086472986147,0.9843815711243028,0.9720583056646004,0.7809709382914084,0.8795551106144855,0.8956531715687316,0.9277826580944214,0.9281994074274321,0.9598752884226666,0.9849794260531783,0.9445882879642065,0.8162852789681385,0.8357107653099877,0.7196418824629641,0.7362661041495541,0.4482948471699167,0.9189189907225126,0.9447733740935065,0.8508687202340157,0.9404521342904415,0.9808814377731864,0.8656556761541193,0.9571896643148378,0.43734416467587406,0.45356915700658373,0.6984526874598606
Childcare,0.8517697283175265,0.8971920387965636,0.8920886494709412,0.8022461857006302,0.7122547412095372,1.0,0.8492288661630776,0.8742346186692708,0.9660971839827124,0.9087286564104842,0.7726490089280943,0.5729814322425671,0.9375447213387377,0.8967187417910618,0.9147943213842037,0.9277097206090679,0.9602214615010027,0.9275089322648093,0.9536163717535918,0.700017284405643,0.6725746527652177,0.6142751885380607,0.7943793221139533,0.9806603894423551,0.9266856342040227,0.7001898365033392,0.8707433400450584,0.9029784719993271,0.6303328416861981,0.6946315923833235,0.8411813151928237,0.949770425840888,0.9284920532189274,0.9639383009759193,0.8714382315059043,0.8536831793091452,0.8629007736436122,0.8623219960005933,0.8796078150946366,0.8285764327941366,0.7419210389567152,0.9305242494069742,0.5077963518192228,0.8647391919500055,0.8950171886606093,0.9655641503367195
Civil Engineering,0.7169897600333395,0.66958766405303,0.7990767429543145,0.562868235529614,0.4524443106233962,0.8492288661630776,1.0,0.5527051569531152,0.8654058060281179,0.6512340287782606,0.4006164531523737,0.29155985719683924,0.8458290608115081,0.8165956725384393,0.9281378085473868,0.9083025081111364,0.7409967991671845,0.7169707527548714,0.7862131682898297,0.41298406512555014,0.398821605095729,0.3512955305605606,0.6067259562101864,0.8066226879922271,0.7847814194194681,0.3034932728587871,0.6668900661013337,0.7041707700094934,0.2985631752456676,0.40526982622980356,0.5651713540832531,0.8364947067208687,0.7976276671249791,0.8421207513630954,0.782162260840113,0.9818943369349833,0.5644441502997963,0.6998965049327572,0.6028414595636141,0.5167621121484943,0.46398651745737757,0.7342626532876888,0.21433414612174606,0.951591992524071,0.9591775641157815,0.7976294747499383
Cleaning & Sanitation,0.8456799416613121,0.950243995355634,0.8557200572599103,0.9087971666309366,0.8725822634456536,0.8742346186692708,0.5527051569531152,1.0,0.8767710093825846,0.9452141893283506,0.959588550868494,0.8078564638620684,0.759990704893346,0.7746907736996756,0.7322723719095747,0.8029051409795465,0.9537794753680404,0.9537896835092581,0.9135795724404745,0.8846765582761628,0.8671992825486186,0.8222152014318038,0.889843736384718,0.9267723279760222,0.8935841088103478,0.9326339204995671,0.9221692365905251,0.9326130359815824,0.8603531528281703,0.8809366947429474,0.9438901043571267,0.869249408949974,0.8826483268163973,0.871701853588262,0.7920722354281802,0.5546591303119559,0.9837839469341759,0.8969885753196252,0.9406509786265765,0.95601766713211,0.910152308959656,0.9525085863315186,0.7739768698537504,0.5799253297251749,0.6179045293192045,0.881300205103118
Community & Social Service,0.8865164514704319,0.930939053318523,0.9533324104297656,0.8570167908771906,0.7757573746284021,0.9660971839827124,0.8654058060281179,0.8767710093825846,1.0,0.8841044181568107,0.7776401711976809,0.655881183291429,0.8773111850177472,0.8644442581801345,0.9533824735025479,0.9672568957695736,0.953953856936841,0.9529895276192386,0.9720428827447245,0.7678193767620407,0.7423107564380732,0.6984044811564851,0.8645844228481641,0.971258293734962,0.9694634489710081,0.6967954530920962,0.9149248719111841,0.9375439626801982,0.6946038244923449,0.7603494332974426,0.8682760724813116,0.97202970441251,0.9555286164579925,0.9696676752442285,0.8787213509162352,0.8628435297988403,0.8828331849546434,0.9261192880371488,0.8547127291199311,0.8530864803694298,0.8047008307824114,0.9628147242388942,0.5957931485880984,0.8646172396802968,0.888458869351085,0.9252551196687002
Construction,0.7553563283134307,0.8609956920654064,0.8094208741693356,0.7795141058461647,0.7181402541838947,0.9087286564104842,0.6512340287782606,0.9452141893283506,0.8841044181568107,1.0,0.8389109724339066,0.6102102005919544,0.8781981910097818,0.8429275404298431,0.7994042028508751,0.8098403599811776,0.9354103609558916,0.8926379844818403,0.8974316095461915,0.7129673163896723,0.6968070956323342,0.6333401252842342,0.7712840635589328,0.9483924962874356,0.8516237381098926,0.807995131496427,0.8277437894882016,0.8531762875492611,0.6752215885577557,0.7096728691440143,0.829964647403262,0.8444694921247705,0.8479086349000209,0.8895928690660807,0.7676470861036606,0.6575999817718858,0.9094056961087719,0.8062035398757159,0.8717760486014695,0.8529265703102183,0.7608762627338037,0.9128447468338273,0.5638822671129211,0.6917036754845108,0.7251953322491831,0.9259656536194201
