col1,col2,abs_corr
Data & Analytics,IT Systems & Solutions,0.9954112214234502
Data & Analytics,Software Development,0.9949337069415011
Headline,Management,0.994265535838992
Administrative Assistance,Headline,0.9890111645668599
IT Systems & Solutions,Software Development,0.9881305521636394
"IT Infrastructure, Operations & Support",Media & Communications,0.9873958817167532
Human Resources,Marketing,0.9872442130434227
Human Resources,Media & Communications,0.9864164103734684
IT Systems & Solutions,Media & Communications,0.9860616147971932
Cleaning & Sanitation,Production & Manufacturing,0.9858146914625218
Data & Analytics,"IT Infrastructure, Operations & Support",0.9854866933049647
Administrative Assistance,Management,0.9852216124029465
Management,Project Management,0.9848027696522544
Physicians & Surgeons,Therapy,0.9834263884008284
Sports,Therapy,0.9828665608987996
Data & Analytics,Media & Communications,0.9823093820689578
Human Resources,IT Systems & Solutions,0.9822231197285097
Administrative Assistance,Medical Information,0.9817809859133013
Headline,Security & Public Safety,0.9817657090811127
"IT Infrastructure, Operations & Support",Scientific Research & Development,0.9816270419048228
"IT Infrastructure, Operations & Support",IT Systems & Solutions,0.9816046572827639
Logistic Support,Management,0.9811013777354117
Media & Communications,Scientific Research & Development,0.9807023591586334
Marketing,Media & Communications,0.9804939388643809
Banking & Finance,IT Systems & Solutions,0.9788478748654023
Childcare,Installation & Maintenance,0.9782689305539715
Banking & Finance,Human Resources,0.978054634613196
Customer Service,Loading & Stocking,0.9773650483830966
Medical Information,Production & Manufacturing,0.9770177776520542
Medical Technician,Nursing,0.9768187113404843
Food Preparation & Service,Installation & Maintenance,0.975901087003555
Headline,Project Management,0.9758087033369229
Architecture,Project Management,0.975055044753587
Food Preparation & Service,Hospitality & Tourism,0.97428890133933
Administrative Assistance,Project Management,0.9741477153811628
IT Systems & Solutions,Marketing,0.9740213767040119
Logistic Support,Project Management,0.9738693671810947
Arts & Entertainment,Media & Communications,0.9734387629574157
Headline,Logistic Support,0.9733806567741331
Arts & Entertainment,Project Management,0.9733013291424826
Arts & Entertainment,Industrial Engineering,0.9732126581245374
Physicians & Surgeons,Sports,0.9728434794633543
Food Preparation & Service,Headline,0.9727337940861873
Arts & Entertainment,Human Resources,0.9726408855854816
Data & Analytics,Human Resources,0.9717089698065486
Administrative Assistance,Arts & Entertainment,0.9714434608272532
