,count,mean,std,min,25%,50%,75%,max
Accounting,2058.0,131.9262876579203,39.59321686599386,50.87,104.0425,128.20999999999998,167.505,204.88
Administrative Assistance,2058.0,127.61506802721088,33.81346859111919,52.49,101.2925,124.13,156.05,187.47
Architecture,2058.0,111.90340621963072,31.053226098963215,55.26,94.0425,110.605,138.1825,174.91
Arts & Entertainment,2058.0,101.63317298347911,27.119587720026978,50.12,84.76,97.345,120.71,157.87
Banking & Finance,2058.0,116.929120505345,34.8647081827597,55.89,95.15,103.515,136.0525,193.78
Childcare,2058.0,135.51055879494655,33.31337983690915,42.75,114.71249999999999,143.37,162.73,180.96
Civil Engineering,2058.0,148.5409669582119,43.008537634614335,62.92,110.0625,163.47,182.7125,204.97
Cleaning & Sanitation,2058.0,136.59897473275026,31.64027784299405,64.1,110.05499999999999,130.39499999999998,169.3675,189.28
Community & Social Service,2058.0,133.76592322643342,27.46216248672325,70.66,119.585,139.43,156.735,174.87
Construction,2058.0,161.18716229348883,32.326615398385215,78.25,139.5325,162.09,188.185,213.81
Customer Service,2058.0,110.36521865889213,22.766511457049553,60.0,93.905,102.955,135.3825,148.25
Data & Analytics,2058.0,104.43068999028182,45.388642074565055,56.52,69.855,82.05,132.77499999999998,207.45
Dental,2058.0,148.95820213799806,29.251386909749346,43.04,144.555,153.585,167.62,194.24
Driving,2058.0,144.59828474246842,21.413496793885187,77.66,138.3775,149.60500000000002,157.865,197.43
Education & Instruction,2058.0,138.3748202137998,30.65927381672827,75.91,128.105,145.195,162.9225,185.3
Electrical Engineering,2058.0,133.3527599611273,33.864366088562406,66.5,116.015,131.055,161.3075,186.74
Food Preparation & Service,2058.0,120.39117589893101,22.32992924931033,56.9,108.71,122.59,139.3125,155.54
Headline,2058.0,125.68041788143829,25.10425428486446,65.44,110.3625,123.255,142.7725,167.66
Hospitality & Tourism,2058.0,106.65541788143831,27.835108214970987,41.18,92.525,110.11,129.365,153.06
Human Resources,2058.0,126.15891642371236,52.90823173992137,46.52,90.48,104.225,161.5575,246.39
"IT Infrastructure, Operations & Support",2058.0,101.74739552964043,30.023392118519872,66.03,77.365,90.62,124.94500000000001,160.75
IT Systems & Solutions,2058.0,104.65304664723031,39.85888438922108,57.3,77.38,86.205,125.38,197.62
Industrial Engineering,2058.0,120.89179300291545,36.85750972307795,66.45,90.1725,112.36,147.7425,196.57
Installation & Maintenance,2058.0,135.3557094266278,25.064380401423485,65.96,123.3175,136.715,154.945,169.64
Legal,2058.0,131.60332361516035,32.54159586561524,55.48,123.35249999999999,133.70499999999998,149.17000000000002,192.38
Loading & Stocking,2058.0,148.43769193391643,39.79308827114235,67.97,118.395,142.195,196.325,223.81
Logistic Support,2058.0,140.8609378036929,40.52778010306836,54.07,119.5425,139.03,163.78750000000002,227.61
Management,2058.0,116.28521379980563,20.45131659073735,67.78,103.75,115.315,129.35,153.24
Marketing,2058.0,105.15684159378038,37.87820159905161,47.31,79.4225,87.25,133.8075,190.91
Media & Communications,2058.0,102.2528765792031,34.78818273679524,52.93,73.8925,90.12,126.2125,178.29
Medical Information,2058.0,133.01033041788145,36.72236813743698,52.67,104.0025,122.7,165.49,193.16
Medical Technician,2058.0,146.6862730806608,31.9267517948875,62.66,132.415,147.39,174.725,190.01
Nursing,2058.0,137.20043731778426,26.82614191306531,76.2,118.0425,135.45999999999998,163.7875,177.7
Personal Care & Home Health,2058.0,158.01457240038872,25.911476243266293,89.87,152.70749999999998,164.695,177.3,189.85
Pharmacy,2058.0,140.67130709426627,30.043721947859098,68.96,121.5425,141.275,164.1975,193.24
Physicians & Surgeons,2058.0,160.7501263362488,39.52720144461711,78.27,123.4325,185.22,188.6775,200.35
Production & Manufacturing,2058.0,149.86120019436345,38.66445125849864,72.24,118.61,139.39,189.3725,214.87
Project Management,2058.0,123.72778425655979,33.79473784089272,61.64,102.07749999999999,118.85499999999999,145.5575,192.79
Retail,2058.0,118.10268707482993,19.275106149730078,64.21,101.5275,117.565,135.38,157.97
Sales,2058.0,104.77011175898932,19.522514460679137,53.98,94.515,99.47999999999999,123.1925,139.23
Scientific Research & Development,2058.0,119.38684645286686,35.39726743374579,65.79,91.74249999999999,109.925,145.97500000000002,193.92
Security & Public Safety,2058.0,138.69997084548103,26.070709020608998,81.34,120.88,138.86,162.07750000000001,189.47
Software Development,2058.0,111.19805636540329,53.76200590440312,62.31,69.5925,83.845,142.95000000000002,237.49
Sports,2058.0,133.8122886297376,35.3708253042424,54.52,120.4025,152.815,159.53,171.25
Therapy,2058.0,164.01549076773566,44.60905505804586,56.69,145.665,187.255,196.3175,202.99
Veterinary,2058.0,145.89402332361516,22.445369300956816,59.62,141.7425,150.735,161.2875,179.18
