,count,mean,std,min,25%,50%,75%,max
Accounting,1693.0,136.6120023626698,41.53094281447383,50.87,107.53,136.53,178.39,204.88
Administrative Assistance,1693.0,132.92248670998228,34.98382676670577,52.49,112.55,134.16,166.14,187.47
Architecture,1693.0,115.71719432959243,32.889768356034864,55.26,100.36,116.07,140.9,174.91
Arts & Entertainment,1693.0,105.64161842882457,28.251432405425685,50.12,88.4,101.28,130.02,157.87
Banking & Finance,1693.0,121.32532191376256,36.97727345567883,55.89,94.94,108.23,151.23,193.78
Childcare,1693.0,139.4775014766686,35.42747498933733,42.75,126.16,152.74,165.76,180.96
Civil Engineering,1693.0,146.5040460720614,46.769423256694466,62.92,102.39,168.7,185.94,204.97
Cleaning & Sanitation,1693.0,142.36582988777317,32.05447294146278,64.1,119.05,150.36,171.42,189.28
Community & Social Service,1693.0,136.2537212049616,29.599783507015385,70.66,120.16,144.74,160.07,174.87
Construction,1693.0,165.3969049025399,34.063152011081954,78.25,144.54,174.68,192.24,213.81
Customer Service,1693.0,114.83396928529238,22.691875491317962,60.0,98.57,112.24,137.21,148.25
Data & Analytics,1693.0,112.83000590667453,45.86664535591892,56.52,73.0,98.3,150.83,207.45
Dental,1693.0,148.93136444181926,32.190274754031456,43.04,137.93,155.96,170.29,194.24
Driving,1693.0,145.1875664500886,23.42595302316646,77.66,138.09,152.15,159.49,197.43
Education & Instruction,1693.0,138.6461252215003,33.50599090411414,75.91,111.06,148.24,164.88,185.3
Electrical Engineering,1693.0,136.19962787950385,36.67151658661193,66.5,106.72,144.02,165.27,186.74
Food Preparation & Service,1693.0,122.40385115180153,24.101359447969788,56.9,113.83,130.37,141.79,155.54
Headline,1693.0,128.69751919669227,26.71094197415999,65.44,116.98,134.01,151.3,167.66
Hospitality & Tourism,1693.0,109.37337271116361,29.960255280598272,41.18,99.09,120.11,130.74,153.06
Human Resources,1693.0,134.04142941523924,55.22588647404814,46.52,97.58,112.4,176.94,246.39
"IT Infrastructure, Operations & Support",1693.0,108.21269344359126,29.293838945892404,66.19,82.22,99.56,135.46,160.75
IT Systems & Solutions,1693.0,111.36517424689899,40.89529878471671,57.3,79.08,98.26,143.64,197.62
Industrial Engineering,1693.0,127.55437684583579,37.41295437102059,66.45,98.73,122.33,158.79,196.57
Installation & Maintenance,1693.0,137.69216184288246,27.029524524728384,65.96,128.09,148.5,157.22,169.64
Legal,1693.0,132.41238629651505,35.80094044487116,55.48,115.59,136.82,153.89,192.38
Loading & Stocking,1693.0,155.9140578854105,40.00062289868371,67.97,125.27,147.73,199.76,223.81
Logistic Support,1693.0,143.9873301831069,43.890516226370295,54.07,124.77,144.11,175.49,227.61
Management,1693.0,118.59518606024808,21.83671154724609,67.78,107.38,120.7,137.06,153.24
Marketing,1693.0,110.95372711163616,39.410434188432376,47.31,81.16,101.15,145.36,190.91
Media & Communications,1693.0,109.13208505611341,34.63112718264815,52.93,81.9,101.78,140.35,178.29
Medical Information,1693.0,139.76125221500294,37.13793970392417,52.67,112.45,138.8,176.94,193.16
Medical Technician,1693.0,149.0695510927348,34.7152486257928,62.66,127.2,154.82,180.93,190.01
Nursing,1693.0,141.20499113998818,27.984688053294942,76.2,124.78,145.84,167.85,177.7
Personal Care & Home Health,1693.0,158.682516243355,28.480663641604206,89.87,149.15,168.82,179.54,189.85
Pharmacy,1693.0,144.17329001772003,31.95591344712756,68.96,130.06,154.28,167.4,193.24
Physicians & Surgeons,1693.0,154.55015948021264,40.9994201211439,78.27,111.03,178.18,187.93,200.35
Production & Manufacturing,1693.0,156.8688245717661,39.18556098479645,72.24,128.07,163.75,193.83,214.87
Project Management,1693.0,127.59132309509745,36.04389748793442,61.64,108.87,126.28,155.86,192.79
Retail,1693.0,121.0297755463674,19.814845908795434,64.21,107.35,124.65,136.84,157.97
Sales,1693.0,106.69074424099232,21.002719322728762,53.98,95.14,106.29,125.66,139.23
Scientific Research & Development,1693.0,127.76893089190784,33.35324246366137,65.79,102.09,121.47,155.81,193.92
Security & Public Safety,1693.0,141.96179562906084,27.622369302778974,81.34,127.4,147.98,163.61,189.47
Software Development,1693.0,120.93253987005315,54.57575936774975,65.17,73.44,99.86,160.67,237.49
Sports,1693.0,128.4902421736562,36.8632679072841,54.52,100.53,147.43,158.45,171.25
Therapy,1693.0,157.29133490844657,46.49985639790167,56.69,118.28,182.03,194.91,202.99
Veterinary,1693.0,146.30172474896634,24.669256982112117,59.62,139.03,154.24,162.7,179.18
