sectorName,Accounting,Administrative Assistance,Architecture,Arts & Entertainment,Banking & Finance,Childcare,Civil Engineering,Cleaning & Sanitation,Community & Social Service,Construction,Customer Service,Data & Analytics,Dental,Driving,Education & Instruction,Electrical Engineering,Food Preparation & Service,Headline,Hospitality & Tourism,Human Resources,"IT Infrastructure, Operations & Support",IT Systems & Solutions,Industrial Engineering,Installation & Maintenance,Legal,Loading & Stocking,Logistic Support,Management,Marketing,Media & Communications,Medical Information,Medical Technician,Nursing,Personal Care & Home Health,Pharmacy,Physicians & Surgeons,Production & Manufacturing,Project Management,Retail,Sales,Scientific Research & Development,Security & Public Safety,Software Development,Sports,Therapy,Veterinary
Accounting,1.0,0.949188749282698,0.9289670126906314,0.9221235171923089,0.8969937476141406,0.8500381095920396,0.6665089687064093,0.8386085787953369,0.8772435508486375,0.7489080175992697,0.8283897769168892,0.8270069850506592,0.657778363873448,0.7324834019426139,0.707167955573237,0.9104394418450215,0.872937380566875,0.9409858434332863,0.8576683093647007,0.8718319057422993,0.8642223626616199,0.8522130609047637,0.9366784005489822,0.8728026596884861,0.8958098261824585,0.8030056841890496,0.9289197112597569,0.9493025515490089,0.8156671732067072,0.8675326501173125,0.9267819240955958,0.9312968987387718,0.9442509286736189,0.8412695047225666,0.8994227463380121,0.5370135150349513,0.8842189789045364,0.9463305589578198,0.8900651349036599,0.858508535203856,0.8841541695567673,0.8937492051265506,0.7840303898076686,0.5009005353990279,0.5323583835702543,0.8021573722208606
Administrative Assistance,0.949188749282698,1.0,0.9483987383570184,0.9714434608272532,0.933491442673791,0.9012422449709466,0.5941613897590301,0.9519914052897278,0.9236037032880493,0.8630238399047091,0.9321525766918625,0.879073665193075,0.6918986925262245,0.7480347149360744,0.7447515327325926,0.8927328531200375,0.9416965060806219,0.9890111645668599,0.9305498682728498,0.9378655705443704,0.9205088177987021,0.8993919843684592,0.9669176387143708,0.9240889379936617,0.9223610037068566,0.8932683307165915,0.9637212904895266,0.9852216124029465,0.9001481174102383,0.934707600676548,0.9817809859133013,0.9353381016972357,0.9592775067023901,0.8711753282766765,0.8816128457001904,0.46926397975906936,0.971148454538384,0.9741477153811628,0.9370789649253523,0.9494271164781791,0.9461218726321194,0.9672123224550505,0.8424367874079762,0.47078795430970244,0.5013557646102483,0.8318496815959057
Architecture,0.9289670126906314,0.9483987383570184,1.0,0.9313679930267121,0.8780112290103911,0.8971677899207303,0.739549601876316,0.859138906687414,0.952604867994336,0.8131269170969341,0.8013199013244869,0.8029487112551387,0.7151880634047085,0.7448464942106627,0.8540113675343817,0.9595041273511539,0.9062367015985923,0.9523778641070925,0.944025065555876,0.8552171093444532,0.8516074090692566,0.8345787845818262,0.941946293070404,0.9102161906629369,0.9460950496388365,0.734248563233351,0.9303893420320131,0.9540244285479732,0.7984452881592661,0.8581623594848838,0.8924416263788705,0.9325065446355962,0.9377736343182497,0.861372813624946,0.847662925612394,0.6061810655237198,0.8802977394954693,0.975055044753587,0.8360055564573174,0.880138969120554,0.8633030603019601,0.9418248280727696,0.7522606077907895,0.6100682870143713,0.6089789390719641,0.813382163701553
Arts & Entertainment,0.9221235171923089,0.9714434608272532,0.9313679930267121,1.0,0.9698678246456565,0.8147930813273415,0.501411448935125,0.9136335060952359,0.8575038018477482,0.7885660433615758,0.93226510565137,0.936180295834467,0.5622445943970994,0.6472653365191988,0.6718496460290481,0.8354543530671705,0.8913506141497237,0.9548182578144188,0.8919149893408048,0.9726408855854816,0.952457751325909,0.9543490637908109,0.9732126581245374,0.8451565512016477,0.8981445138707725,0.8875114723141743,0.9537510129511962,0.9658654199990364,0.9519136010687744,0.9734387629574157,0.9543391422629572,0.8633448383180312,0.8880964561179764,0.7731618201780338,0.8111371523146419,0.37964530752130865,0.9399177233195133,0.9733013291424826,0.897281654044891,0.9590568799036511,0.9535863123763757,0.919321791055372,0.9084798329963912,0.39302464323849795,0.4054991908932836,0.7314365153715127
Banking & Finance,0.8969937476141406,0.933491442673791,0.8780112290103911,0.9698678246456565,1.0,0.7305475651660563,0.3998507642064559,0.8785497966444414,0.7814158119057412,0.7384040988390252,0.9091325098225291,0.9693229409239145,0.4871308910501943,0.5599419092122431,0.5955042377336706,0.7775798546525865,0.8242099537915044,0.9156976380420775,0.8160857866760739,0.978054634613196,0.9650525820893942,0.9788478748654023,0.9667743794772082,0.7906270589637004,0.8585554481473484,0.896470791407531,0.9205183658581378,0.9303149565872175,0.9609007902822952,0.970604570013458,0.9405071035565187,0.8177587539364356,0.847607739616895,0.704676921467853,0.7520592345820922,0.3144722091378137,0.9198154517341955,0.945364965447821,0.851756523390914,0.9412228978975375,0.9434357642558212,0.8734983548201025,0.9537094043315205,0.3100573067601297,0.3246421496506275,0.6807820201977968
Childcare,0.8500381095920396,0.9012422449709466,0.8971677899207303,0.8147930813273415,0.7305475651660563,1.0,0.785615864064136,0.877181958781303,0.963927116379465,0.9107451615546709,0.7835003758318759,0.610106168338725,0.902132330685782,0.8752832744745926,0.8815115654658714,0.9272831968045926,0.959092723809906,0.9319519578987436,0.9531314583167696,0.7226950623510839,0.6948275438408645,0.6452369093960763,0.8062621634619963,0.9782689305539715,0.9070218118690864,0.7218792142786191,0.8681814945239773,0.9082465415328443,0.6587491398271365,0.716451313529774,0.8476751276121055,0.9465735430354764,0.93160090147885,0.9436063973270634,0.8785773270482548,0.6878474794165171,0.8660986965628875,0.8699005530647695,0.8814383267406593,0.8347266658364695,0.7456677289754856,0.9345044397921056,0.5514556762431948,0.7066990864896826,0.7330537487634642,0.9393216376050104
Civil Engineering,0.6665089687064093,0.5941613897590301,0.739549601876316,0.501411448935125,0.3998507642064559,0.785615864064136,1.0,0.4608081457148274,0.8202846945605318,0.5782083310108008,0.3160641904665385,0.2268055834129946,0.82903177072215,0.7959748844933545,0.9008451578382278,0.8654967264292676,0.6997466159429023,0.6601836609673442,0.734656136347268,0.3559637223153364,0.305694557818275,0.2911972258995823,0.5136867039899891,0.7553112056164074,0.769898367839333,0.23543238873417474,0.6367357987073635,0.6541420397007937,0.24568332931759695,0.3244563339310209,0.47585348444656805,0.801750802092684,0.7156208907641286,0.8282087323044136,0.7237221037686007,0.9429666395450951,0.4685447500169028,0.6502224923684619,0.5355686908341196,0.47113648405094005,0.351236832266856,0.6727088835887749,0.15596267296325106,0.9190891202014819,0.9251619535788074,0.7810171935866538
Cleaning & Sanitation,0.8386085787953369,0.9519914052897278,0.859138906687414,0.9136335060952359,0.8785497966444414,0.877181958781303,0.4608081457148274,1.0,0.8643982566450821,0.942842856258884,0.9646768241875857,0.8372199092063428,0.6958943229539392,0.729398737271503,0.6753587212048277,0.7969143882958077,0.9358429115943431,0.9483182414186849,0.903093979773257,0.8958329330459106,0.8876323311627214,0.8449305254996661,0.9061145655894172,0.9135538063320475,0.8404831633555695,0.9421531234629781,0.896357299408744,0.9259489608862588,0.8753885734447132,0.8985151153970238,0.9514241613845543,0.8512409075155452,0.8940218301549933,0.8207008154346744,0.8028274986655257,0.34719254200968946,0.9858146914625218,0.8941739843537899,0.9375575883646414,0.9414531798648844,0.915019265579378,0.9482355207856551,0.8081068814904272,0.3775346022345703,0.40960753698180347,0.823461402717448
Community & Social Service,0.8772435508486375,0.9236037032880493,0.952604867994336,0.8575038018477482,0.7814158119057412,0.963927116379465,0.8202846945605318,0.8643982566450821,1.0,0.8783191492242687,0.7679895298685959,0.6668195577332433,0.8567216048062919,0.8571172920455197,0.933535842752637,0.9648110622122491,0.9519807192134977,0.9514213356596081,0.9706444645840254,0.7745749901069384,0.7347933700854355,0.7075134931298995,0.8546034431448776,0.9671295799059431,0.95874278286858,0.7000953937225827,0.9132565650699965,0.9375186507888149,0.7063356810769298,0.7565688074804471,0.8575922025136045,0.9703704914325417,0.9480755948456596,0.9585995665391317,0.877913708659606,0.7267510221716206,0.8681714544003544,0.9268501184927879,0.8456451397251059,0.8549403488185217,0.7761108454236392,0.9596856264919225,0.6123853841178193,0.7361408529999001,0.7570191198731766,0.9074431677972182
Construction,0.7489080175992697,0.8630238399047091,0.8131269170969341,0.7885660433615758,0.7384040988390252,0.9107451615546709,0.5782083310108008,0.942842856258884,0.8783191492242687,1.0,0.8457166390126214,0.6453178027392162,0.8382889698485916,0.8138116653136708,0.7654593795419683,0.8115801272049498,0.9311312506888703,0.8957928017981293,0.8985056194424361,0.7342534207171568,0.7180051007163752,0.6616241670062203,0.787726557220711,0.9470925386093269,0.8261492061141165,0.8197054401609251,0.8183762930274586,0.8561180420930032,0.7007763732347558,0.7295633558951715,0.8372929277289822,0.8398821061288496,0.8560064301019852,0.8615681308299036,0.7800791435577697,0.4983384770097389,0.9128121011145491,0.8115626160222374,0.8682439288627974,0.8587807472015601,0.7594377513438753,0.914684835878841,0.6055178031036464,0.5363867862443954,0.565846396862862,0.894530048209342
