dateString,Accounting,Administrative Assistance,Architecture,Arts & Entertainment,Banking & Finance,Childcare,Civil Engineering,Cleaning & Sanitation,Community & Social Service,Construction,Customer Service,Data & Analytics,Dental,Driving,Education & Instruction,Electrical Engineering,Food Preparation & Service,Headline,Hospitality & Tourism,Human Resources,"IT Infrastructure, Operations & Support",IT Systems & Solutions,Industrial Engineering,Installation & Maintenance,Legal,Loading & Stocking,Logistic Support,Management,Marketing,Media & Communications,Medical Information,Medical Technician,Nursing,Personal Care & Home Health,Pharmacy,Physicians & Surgeons,Production & Manufacturing,Project Management,Retail,Sales,Scientific Research & Development,Security & Public Safety,Software Development,Sports,Therapy,Veterinary
2020-02-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-02-02,99.97,99.96,100.2,100.06,99.98,99.69,100.08,99.93,100.26,99.95,100.08,100.09,100.34,99.88,100.27,100.04,100.0,100.06,100.1,99.73,99.9,99.64,100.02,100.09,100.12,99.77,99.85,100.47,100.14,100.21,100.04,100.01,99.87,100.02,100.19,100.26,99.9,100.12,99.67,99.85,100.04,100.08,99.92,99.96,100.25,99.9
2020-02-03,99.89,100.08,100.36,100.13,99.97,99.35,100.25,99.92,100.52,99.96,100.2,100.06,100.61,99.88,100.43,100.03,100.03,100.09,100.23,99.74,99.82,99.55,100.03,100.27,100.25,99.61,99.66,100.93,100.28,100.35,100.08,100.05,99.74,100.05,97.02,100.39,99.82,100.23,99.09,99.74,100.02,100.14,99.88,99.88,100.45,99.83
2020-02-04,99.81,100.09,100.49,100.04,99.82,99.52,100.37,99.72,100.73,99.9,100.28,100.07,100.88,100.26,100.65,100.02,100.03,100.18,100.49,99.79,99.66,99.37,99.95,100.46,100.41,99.53,99.39,101.38,100.4,100.33,100.07,100.06,99.65,100.17,96.93,100.33,99.75,100.28,98.85,99.65,100.0,100.29,99.79,99.77,100.49,99.65
2020-02-05,99.82,100.14,100.75,100.1,99.87,99.7,100.54,99.48,100.85,100.1,100.38,100.13,101.11,100.07,100.89,100.05,100.02,100.29,101.04,99.94,99.62,99.35,100.02,100.72,100.45,99.48,99.41,101.93,100.55,100.51,100.03,99.99,99.56,100.26,96.83,100.46,99.71,100.37,98.7,99.63,99.96,100.47,99.86,99.9,100.34,99.76
2020-02-06,99.95,100.23,101.0,100.14,99.92,99.88,100.71,99.24,101.02,100.25,100.53,100.13,101.32,99.91,101.12,100.13,100.06,100.44,101.42,100.06,99.6,99.3,100.1,100.97,100.47,99.49,99.43,102.54,100.69,100.8,100.03,100.01,99.59,100.37,96.81,100.57,99.65,100.5,98.42,99.59,99.94,100.54,99.93,99.98,100.51,100.42
2020-02-07,99.92,100.3,101.04,100.17,99.96,99.96,100.82,99.0,101.2,100.4,100.42,100.22,101.37,99.86,101.33,100.2,100.07,100.44,101.29,100.17,99.55,99.31,100.21,100.84,100.58,99.51,99.4,102.53,100.86,101.07,100.04,100.0,99.55,100.71,96.66,100.64,99.67,100.58,98.12,99.56,100.03,100.59,100.03,100.05,100.62,101.04
2020-02-08,100.68,100.53,101.22,100.29,100.17,100.03,101.02,98.77,101.39,100.62,100.5,100.48,101.4,99.42,101.56,100.44,100.04,100.54,101.19,100.44,99.61,99.47,100.5,100.92,100.8,99.6,99.48,102.72,101.13,101.43,100.09,100.03,99.56,101.01,96.58,100.69,99.72,100.76,98.09,99.66,100.14,100.83,100.3,100.12,100.63,101.37
2020-02-09,100.95,100.71,101.41,100.42,100.17,99.96,101.23,98.56,101.43,100.83,100.44,100.7,101.2,99.43,101.71,100.65,100.01,100.61,101.09,100.67,99.68,99.6,100.76,101.01,100.99,99.68,99.41,102.86,101.38,101.78,100.09,100.07,99.53,101.23,96.31,100.69,99.74,100.88,98.03,99.8,100.27,100.93,100.56,100.22,100.59,101.68
2020-02-10,101.34,100.93,101.66,100.57,100.9,99.86,101.4,98.33,101.54,100.9,100.45,101.11,101.05,99.39,101.91,100.91,99.98,100.76,101.01,100.97,99.77,99.78,101.05,101.05,101.19,99.78,99.36,103.06,101.79,102.22,100.11,100.12,99.55,101.5,99.43,100.76,99.76,101.07,98.28,99.91,100.39,101.14,100.85,100.4,100.58,102.02
