sectorName,VIF
Project Management,37373.314405930505
Installation & Maintenance,37177.12902521837
Community & Social Service,30891.005292634443
Medical Technician,27810.50560426008
Administrative Assistance,21352.28477198414
Industrial Engineering,19862.867655473376
Production & Manufacturing,19583.337038234673
Nursing,18106.274028535245
Cleaning & Sanitation,17744.665211775675
Management,16504.04793823882
Data & Analytics,13931.492125511182
"IT Infrastructure, Operations & Support",13797.5301068132
Marketing,12918.636794228518
Electrical Engineering,12209.211286517962
Construction,12088.877698101121
Food Preparation & Service,11543.32701776631
Architecture,10691.100396592725
Human Resources,10617.689570032173
Scientific Research & Development,10559.367539043544
IT Systems & Solutions,10459.995706966396
Legal,10445.221627429486
Customer Service,9912.069809235145
Software Development,9828.70701631784
Physicians & Surgeons,9021.85322161139
Therapy,8858.113291535947
Sales,8838.685934344463
Medical Information,8019.977571239323
Personal Care & Home Health,7634.071106898615
Media & Communications,7064.596324867691
Civil Engineering,6649.981186947796
Banking & Finance,5972.1382495059415
Retail,5624.659229115346
Arts & Entertainment,5207.694911739973
Loading & Stocking,5066.655169908032
Security & Public Safety,4984.7514577186
Education & Instruction,4976.654044398935
Dental,3681.361393655276
Hospitality & Tourism,3511.90626725847
Sports,3233.7491879164013
Veterinary,2960.3232611081144
Childcare,2189.3594015890512
Logistic Support,1912.7745979496278
Driving,1657.613854937005
Accounting,1401.4705160740161
Pharmacy,802.0821706320532
