sectorName,VIF
Headline,1879993.9478309848
Installation & Maintenance,46663.43154579678
Management,44496.770843564285
Project Management,38325.83319064242
Community & Social Service,34606.328964761466
Medical Technician,33946.92813596567
Food Preparation & Service,32172.459628479402
Administrative Assistance,22493.34935667037
Nursing,22200.63626615411
Industrial Engineering,20152.000507793353
Production & Manufacturing,19613.5935211063
Cleaning & Sanitation,18057.834172599138
Sales,16814.997054958567
Data & Analytics,13944.46039488911
"IT Infrastructure, Operations & Support",13804.840238850402
Retail,13772.931773531647
Marketing,13330.476012154415
Software Development,12759.75123142411
Construction,12570.742037583474
Electrical Engineering,12553.437521469255
Customer Service,11617.406110633501
Scientific Research & Development,11206.678372399307
Legal,10908.70939312114
Architecture,10726.511965529564
Human Resources,10617.974512749059
IT Systems & Solutions,10529.76450088287
Physicians & Surgeons,9468.314201913196
Therapy,9354.245511209843
Medical Information,8661.979592065623
Personal Care & Home Health,7857.971360447401
Media & Communications,7816.589503493947
Civil Engineering,7230.226763764057
Education & Instruction,6292.2169343001015
Banking & Finance,6119.742804376541
Loading & Stocking,5555.680656070076
Security & Public Safety,5270.5861617630235
Arts & Entertainment,5221.257460009096
Driving,4721.905791103716
Dental,3695.9416922617356
Hospitality & Tourism,3605.562182250336
Sports,3233.9689580132763
Veterinary,3168.6407645918557
Childcare,2189.3597016968697
Logistic Support,1991.8616709743847
Accounting,1741.376224096677
Pharmacy,876.7628221016528
