DateTime,Construction,Education and health services,Financial activities,Information,Leisure and hospitality,Manufacturing,Natural resources and mining,Other services,Professional and business services,"Trade, transportation, and utilities"
1/1/10 0:00,5390000,18825000,7553000,2752000,13419000,11457000,1634000,4400000,16632000,24821000
2/1/10 0:00,5359000,18795000,7517000,2739000,13334000,11434000,1655000,4382000,16616000,24571000
3/1/10 0:00,5319000,18757000,7481000,2735000,13254000,11423000,1669000,4366000,16575000,24356000
4/1/10 0:00,5302000,18781000,7473000,2729000,13278000,11434000,1684000,4374000,16624000,24350000
5/1/10 0:00,5297000,18806000,7471000,2723000,13315000,11471000,1700000,4381000,16658000,24367000
6/1/10 0:00,5294000,18835000,7454000,2720000,13330000,11482000,1706000,4382000,16674000,24381000
7/1/10 0:00,5287000,18886000,7457000,2716000,13356000,11508000,1697000,4383000,16714000,24404000
8/1/10 0:00,5278000,18917000,7456000,2709000,13389000,11499000,1691000,4386000,16743000,24439000
9/1/10 0:00,5277000,18937000,7452000,2707000,13419000,11527000,1694000,4391000,16812000,24468000
10/1/10 0:00,5272000,18971000,7447000,2699000,13439000,11534000,1704000,4401000,16882000,24466000
11/1/10 0:00,5264000,19006000,7451000,2692000,13454000,11551000,1705000,4409000,16939000,24472000
12/1/10 0:00,5239000,19027000,7442000,2687000,13476000,11567000,1719000,4389000,16998000,24504000
1/1/11 0:00,5263000,19055000,7453000,2689000,13487000,11597000,1741000,4393000,17076000,24552000
2/1/11 0:00,5263000,19096000,7456000,2697000,13527000,11622000,1748000,4399000,17142000,24631000
3/1/11 0:00,5270000,19141000,7462000,2697000,13552000,11643000,1755000,4419000,17225000,24677000
4/1/11 0:00,5287000,19208000,7470000,2697000,13575000,11668000,1774000,4443000,17294000,24746000
5/1/11 0:00,5295000,19245000,7467000,2700000,13556000,11671000,1778000,4456000,17360000,24798000
6/1/11 0:00,5317000,19246000,7477000,2697000,13558000,11706000,1790000,4465000,17434000,24826000
7/1/11 0:00,5333000,19285000,7476000,2704000,13582000,11712000,1791000,4466000,17523000,24863000
8/1/11 0:00,5346000,19324000,7474000,2707000,13605000,11747000,1792000,4470000,17595000,24886000
9/1/11 0:00,5351000,19381000,7483000,2708000,13646000,11763000,1828000,4481000,17661000,24921000
10/1/11 0:00,5359000,19381000,7483000,2712000,13708000,11789000,1844000,4491000,17614000,24970000
11/1/11 0:00,5371000,19390000,7484000,2715000,13760000,11808000,1862000,4507000,17630000,25011000
12/1/11 0:00,5386000,19405000,7484000,2718000,13806000,11821000,1867000,4515000,17647000,25016000
1/1/12 0:00,5402000,19451000,7505000,2714000,13888000,11829000,1876000,4518000,17738000,25062000
2/1/12 0:00,5417000,19504000,7528000,2703000,13962000,11850000,1888000,4536000,17785000,25124000
3/1/12 0:00,5426000,19543000,7535000,2696000,14010000,11873000,1901000,4555000,17838000,25157000
4/1/12 0:00,5439000,19602000,7547000,2694000,14068000,11896000,1913000,4528000,17902000,25178000
5/1/12 0:00,5443000,19650000,7557000,2695000,14083000,11911000,1915000,4490000,17948000,25182000
6/1/12 0:00,5433000,19765000,7558000,2698000,14114000,11913000,1923000,4441000,18001000,25239000
7/1/12 0:00,5440000,19816000,7560000,2692000,14118000,11933000,1922000,4389000,17995000,25235000
8/1/12 0:00,5458000,19855000,7582000,2687000,14117000,11947000,1936000,4336000,18032000,25273000
9/1/12 0:00,5475000,19919000,7596000,2692000,14142000,11951000,1937000,4300000,18083000,25282000
10/1/12 0:00,5493000,20016000,7615000,2697000,14178000,11957000,1946000,4284000,18198000,25298000
11/1/12 0:00,5513000,20107000,7619000,2700000,14243000,11954000,1947000,4285000,18276000,25334000
12/1/12 0:00,5509000,20070000,7616000,2695000,14231000,11943000,1932000,4244000,18277000,25329000
1/1/13 0:00,5548000,20222000,7622000,2695000,14342000,11967000,1936000,4223000,18343000,25407000
2/1/13 0:00,5588000,20285000,7634000,2707000,14379000,11983000,1931000,4182000,18383000,25414000
3/1/13 0:00,5613000,20333000,7647000,2713000,14410000,11988000,1932000,4169000,18412000,25435000
4/1/13 0:00,5630000,20331000,7654000,2709000,14411000,11989000,1926000,4172000,18417000,25457000
5/1/13 0:00,5653000,20359000,7657000,2703000,14456000,11994000,1930000,4184000,18435000,25512000
6/1/13 0:00,5674000,20327000,7676000,2692000,14479000,12010000,1928000,4183000,18435000,25533000
7/1/13 0:00,5696000,20339000,7688000,2689000,14515000,12010000,1936000,4179000,18473000,25587000
8/1/13 0:00,5720000,20408000,7682000,2696000,14588000,12019000,1932000,4181000,18486000,25650000
9/1/13 0:00,5741000,20423000,7681000,2694000,14630000,12016000,1934000,4191000,18528000,25698000
10/1/13 0:00,5744000,20422000,7685000,2693000,14637000,12028000,1935000,4179000,18560000,25743000
11/1/13 0:00,5761000,20443000,7690000,2695000,14672000,12064000,1939000,4204000,18620000,25758000
12/1/13 0:00,5814000,20586000,7712000,2703000,14766000,12096000,1958000,4238000,18707000,25845000
1/1/14 0:00,5821000,20571000,7695000,2732000,14787000,12093000,1959000,4237000,18764000,25841000
2/1/14 0:00,5839000,20602000,7694000,2736000,14817000,12098000,1970000,4245000,18838000,25880000
3/1/14 0:00,5854000,20632000,7690000,2739000,14849000,12113000,1976000,4240000,18904000,25911000
4/1/14 0:00,5864000,20677000,7693000,2754000,14919000,12127000,1968000,4247000,18973000,25959000
5/1/14 0:00,5889000,20727000,7714000,2759000,14953000,12152000,1957000,4256000,19055000,25988000
6/1/14 0:00,5925000,20779000,7717000,2768000,15000000,12157000,1963000,4263000,19129000,26034000
7/1/14 0:00,5947000,20837000,7727000,2777000,15009000,12167000,1984000,4275000,19185000,26075000
8/1/14 0:00,5979000,20870000,7746000,2789000,15050000,12188000,1984000,4288000,19269000,26111000
9/1/14 0:00,5993000,20879000,7754000,2799000,15079000,12242000,1991000,4287000,19278000,26119000
