__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,accounting,Accounting,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,admin,Administrative Assistance,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,arch,Architecture,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,arts,Arts & Entertainment,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,childcare,Childcare,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,engcivil,Civil Engineering,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,finance,Banking & Finance,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,accounting,Accounting,TOTAL,100.21
HiringLabSectoralPosting,2020-02-02,US,United States,admin,Administrative Assistance,TOTAL,99.9
HiringLabSectoralPosting,2020-02-02,US,United States,arch,Architecture,TOTAL,99.99
HiringLabSectoralPosting,2020-02-02,US,United States,arts,Arts & Entertainment,TOTAL,99.72
HiringLabSectoralPosting,2020-02-02,US,United States,childcare,Childcare,TOTAL,99.51
HiringLabSectoralPosting,2020-02-02,US,United States,engcivil,Civil Engineering,TOTAL,99.93
HiringLabSectoralPosting,2020-02-02,US,United States,finance,Banking & Finance,TOTAL,99.91
HiringLabSectoralPosting,2020-02-03,US,United States,accounting,Accounting,TOTAL,100.4
HiringLabSectoralPosting,2020-02-03,US,United States,admin,Administrative Assistance,TOTAL,99.96
HiringLabSectoralPosting,2020-02-03,US,United States,arch,Architecture,TOTAL,100
HiringLabSectoralPosting,2020-02-03,US,United States,arts,Arts & Entertainment,TOTAL,99.44
HiringLabSectoralPosting,2020-02-03,US,United States,childcare,Childcare,TOTAL,98.94
HiringLabSectoralPosting,2020-02-03,US,United States,engcivil,Civil Engineering,TOTAL,99.96
HiringLabSectoralPosting,2020-02-03,US,United States,finance,Banking & Finance,TOTAL,99.86
HiringLabSectoralPosting,2020-02-04,US,United States,accounting,Accounting,TOTAL,100.37
HiringLabSectoralPosting,2020-02-04,US,United States,admin,Administrative Assistance,TOTAL,99.93
HiringLabSectoralPosting,2020-02-04,US,United States,arch,Architecture,TOTAL,99.99
HiringLabSectoralPosting,2020-02-04,US,United States,arts,Arts & Entertainment,TOTAL,99.02
