__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,education,Education & Instruction,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,engelectric,Electrical Engineering,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,food,Food Preparation & Service,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,hospitality,Hospitality & Tourism,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,hr,Human Resources,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,techinfo,IT Systems & Solutions,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,education,Education & Instruction,TOTAL,100.15
HiringLabSectoralPosting,2020-02-02,US,United States,engelectric,Electrical Engineering,TOTAL,99.96
HiringLabSectoralPosting,2020-02-02,US,United States,food,Food Preparation & Service,TOTAL,99.95
HiringLabSectoralPosting,2020-02-02,US,United States,hospitality,Hospitality & Tourism,TOTAL,99.9
HiringLabSectoralPosting,2020-02-02,US,United States,hr,Human Resources,TOTAL,99.71
HiringLabSectoralPosting,2020-02-02,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.83
HiringLabSectoralPosting,2020-02-02,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.62
HiringLabSectoralPosting,2020-02-03,US,United States,education,Education & Instruction,TOTAL,100.19
HiringLabSectoralPosting,2020-02-03,US,United States,engelectric,Electrical Engineering,TOTAL,99.96
HiringLabSectoralPosting,2020-02-03,US,United States,food,Food Preparation & Service,TOTAL,99.9
HiringLabSectoralPosting,2020-02-03,US,United States,hospitality,Hospitality & Tourism,TOTAL,99.87
HiringLabSectoralPosting,2020-02-03,US,United States,hr,Human Resources,TOTAL,99.68
HiringLabSectoralPosting,2020-02-03,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.69
HiringLabSectoralPosting,2020-02-03,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.47
