__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,engid,Industrial Engineering,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,install,Installation & Maintenance,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,legal,Legal,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,management,Management,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,marketing,Marketing,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,transport,Logistic Support,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,warehouse,Loading & Stocking,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,engid,Industrial Engineering,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,install,Installation & Maintenance,TOTAL,100.04
HiringLabSectoralPosting,2020-02-02,US,United States,legal,Legal,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,management,Management,TOTAL,100.3
HiringLabSectoralPosting,2020-02-02,US,United States,marketing,Marketing,TOTAL,100.02
HiringLabSectoralPosting,2020-02-02,US,United States,transport,Logistic Support,TOTAL,99.92
HiringLabSectoralPosting,2020-02-02,US,United States,warehouse,Loading & Stocking,TOTAL,99.87
HiringLabSectoralPosting,2020-02-03,US,United States,engid,Industrial Engineering,TOTAL,99.97
HiringLabSectoralPosting,2020-02-03,US,United States,install,Installation & Maintenance,TOTAL,100.16
HiringLabSectoralPosting,2020-02-03,US,United States,legal,Legal,TOTAL,100.03
HiringLabSectoralPosting,2020-02-03,US,United States,management,Management,TOTAL,100.54
HiringLabSectoralPosting,2020-02-03,US,United States,marketing,Marketing,TOTAL,100.05
HiringLabSectoralPosting,2020-02-03,US,United States,transport,Logistic Support,TOTAL,99.82
HiringLabSectoralPosting,2020-02-03,US,United States,warehouse,Loading & Stocking,TOTAL,99.73
HiringLabSectoralPosting,2020-02-04,US,United States,engid,Industrial Engineering,TOTAL,99.89
HiringLabSectoralPosting,2020-02-04,US,United States,install,Installation & Maintenance,TOTAL,100.29
HiringLabSectoralPosting,2020-02-04,US,United States,legal,Legal,TOTAL,100.07
HiringLabSectoralPosting,2020-02-04,US,United States,management,Management,TOTAL,100.75
HiringLabSectoralPosting,2020-02-04,US,United States,marketing,Marketing,TOTAL,100.07
HiringLabSectoralPosting,2020-02-04,US,United States,transport,Logistic Support,TOTAL,99.58
HiringLabSectoralPosting,2020-02-04,US,United States,warehouse,Loading & Stocking,TOTAL,99.64
HiringLabSectoralPosting,2020-02-05,US,United States,engid,Industrial Engineering,TOTAL,99.88
HiringLabSectoralPosting,2020-02-05,US,United States,install,Installation & Maintenance,TOTAL,100.47
HiringLabSectoralPosting,2020-02-05,US,United States,legal,Legal,TOTAL,100
HiringLabSectoralPosting,2020-02-05,US,United States,management,Management,TOTAL,101.11
HiringLabSectoralPosting,2020-02-05,US,United States,marketing,Marketing,TOTAL,100.11
HiringLabSectoralPosting,2020-02-05,US,United States,transport,Logistic Support,TOTAL,99.57
HiringLabSectoralPosting,2020-02-05,US,United States,warehouse,Loading & Stocking,TOTAL,99.63
HiringLabSectoralPosting,2020-02-06,US,United States,engid,Industrial Engineering,TOTAL,99.94
HiringLabSectoralPosting,2020-02-06,US,United States,install,Installation & Maintenance,TOTAL,100.67
HiringLabSectoralPosting,2020-02-06,US,United States,legal,Legal,TOTAL,99.93
HiringLabSectoralPosting,2020-02-06,US,United States,management,Management,TOTAL,101.58
HiringLabSectoralPosting,2020-02-06,US,United States,marketing,Marketing,TOTAL,100.18
HiringLabSectoralPosting,2020-02-06,US,United States,transport,Logistic Support,TOTAL,99.51
HiringLabSectoralPosting,2020-02-06,US,United States,warehouse,Loading & Stocking,TOTAL,99.64
HiringLabSectoralPosting,2020-02-07,US,United States,engid,Industrial Engineering,TOTAL,99.99
HiringLabSectoralPosting,2020-02-07,US,United States,install,Installation & Maintenance,TOTAL,100.54
HiringLabSectoralPosting,2020-02-07,US,United States,legal,Legal,TOTAL,99.89
HiringLabSectoralPosting,2020-02-07,US,United States,management,Management,TOTAL,101.54
HiringLabSectoralPosting,2020-02-07,US,United States,marketing,Marketing,TOTAL,100.23
HiringLabSectoralPosting,2020-02-07,US,United States,transport,Logistic Support,TOTAL,99.3
HiringLabSectoralPosting,2020-02-07,US,United States,warehouse,Loading & Stocking,TOTAL,99.64
HiringLabSectoralPosting,2020-02-08,US,United States,engid,Industrial Engineering,TOTAL,100.11
HiringLabSectoralPosting,2020-02-08,US,United States,install,Installation & Maintenance,TOTAL,100.52
HiringLabSectoralPosting,2020-02-08,US,United States,legal,Legal,TOTAL,99.9
HiringLabSectoralPosting,2020-02-08,US,United States,management,Management,TOTAL,101.63
HiringLabSectoralPosting,2020-02-08,US,United States,marketing,Marketing,TOTAL,100.29
HiringLabSectoralPosting,2020-02-08,US,United States,transport,Logistic Support,TOTAL,99.14
HiringLabSectoralPosting,2020-02-08,US,United States,warehouse,Loading & Stocking,TOTAL,99.45
HiringLabSectoralPosting,2020-02-09,US,United States,engid,Industrial Engineering,TOTAL,100.22
HiringLabSectoralPosting,2020-02-09,US,United States,install,Installation & Maintenance,TOTAL,100.49
HiringLabSectoralPosting,2020-02-09,US,United States,legal,Legal,TOTAL,99.88
HiringLabSectoralPosting,2020-02-09,US,United States,management,Management,TOTAL,101.62
HiringLabSectoralPosting,2020-02-09,US,United States,marketing,Marketing,TOTAL,100.34
HiringLabSectoralPosting,2020-02-09,US,United States,transport,Logistic Support,TOTAL,98.97
HiringLabSectoralPosting,2020-02-09,US,United States,warehouse,Loading & Stocking,TOTAL,99.36
HiringLabSectoralPosting,2020-02-10,US,United States,engid,Industrial Engineering,TOTAL,100.34
HiringLabSectoralPosting,2020-02-10,US,United States,install,Installation & Maintenance,TOTAL,100.46
HiringLabSectoralPosting,2020-02-10,US,United States,legal,Legal,TOTAL,99.88
HiringLabSectoralPosting,2020-02-10,US,United States,management,Management,TOTAL,101.83
HiringLabSectoralPosting,2020-02-10,US,United States,marketing,Marketing,TOTAL,100.49
HiringLabSectoralPosting,2020-02-10,US,United States,transport,Logistic Support,TOTAL,98.78
HiringLabSectoralPosting,2020-02-10,US,United States,warehouse,Loading & Stocking,TOTAL,99.33
HiringLabSectoralPosting,2020-02-11,US,United States,engid,Industrial Engineering,TOTAL,100.4
HiringLabSectoralPosting,2020-02-11,US,United States,install,Installation & Maintenance,TOTAL,100.38
HiringLabSectoralPosting,2020-02-11,US,United States,legal,Legal,TOTAL,99.81
HiringLabSectoralPosting,2020-02-11,US,United States,management,Management,TOTAL,102.09
HiringLabSectoralPosting,2020-02-11,US,United States,marketing,Marketing,TOTAL,100.62
HiringLabSectoralPosting,2020-02-11,US,United States,transport,Logistic Support,TOTAL,98.76
HiringLabSectoralPosting,2020-02-11,US,United States,warehouse,Loading & Stocking,TOTAL,99.22
HiringLabSectoralPosting,2020-02-12,US,United States,engid,Industrial Engineering,TOTAL,100.46
HiringLabSectoralPosting,2020-02-12,US,United States,install,Installation & Maintenance,TOTAL,100.31
HiringLabSectoralPosting,2020-02-12,US,United States,legal,Legal,TOTAL,99.82
HiringLabSectoralPosting,2020-02-12,US,United States,management,Management,TOTAL,102.21
HiringLabSectoralPosting,2020-02-12,US,United States,marketing,Marketing,TOTAL,100.74
HiringLabSectoralPosting,2020-02-12,US,United States,transport,Logistic Support,TOTAL,98.6
HiringLabSectoralPosting,2020-02-12,US,United States,warehouse,Loading & Stocking,TOTAL,99.16
HiringLabSectoralPosting,2020-02-13,US,United States,engid,Industrial Engineering,TOTAL,100.49
HiringLabSectoralPosting,2020-02-13,US,United States,install,Installation & Maintenance,TOTAL,100.22
HiringLabSectoralPosting,2020-02-13,US,United States,legal,Legal,TOTAL,99.88
HiringLabSectoralPosting,2020-02-13,US,United States,management,Management,TOTAL,102.34
HiringLabSectoralPosting,2020-02-13,US,United States,marketing,Marketing,TOTAL,100.86
HiringLabSectoralPosting,2020-02-13,US,United States,transport,Logistic Support,TOTAL,98.49
HiringLabSectoralPosting,2020-02-13,US,United States,warehouse,Loading & Stocking,TOTAL,99.12
HiringLabSectoralPosting,2020-02-14,US,United States,engid,Industrial Engineering,TOTAL,100.48
HiringLabSectoralPosting,2020-02-14,US,United States,install,Installation & Maintenance,TOTAL,100.17
