__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,care,Personal Care & Home Health,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,meddr,Physicians & Surgeons,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,media,Media & Communications,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,medinfo,Medical Information,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,mednurse,Nursing,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,medtech,Medical Technician,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,pharmacy,Pharmacy,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,care,Personal Care & Home Health,TOTAL,99.99
HiringLabSectoralPosting,2020-02-02,US,United States,meddr,Physicians & Surgeons,TOTAL,100.15
HiringLabSectoralPosting,2020-02-02,US,United States,media,Media & Communications,TOTAL,100.02
HiringLabSectoralPosting,2020-02-02,US,United States,medinfo,Medical Information,TOTAL,100.03
HiringLabSectoralPosting,2020-02-02,US,United States,mednurse,Nursing,TOTAL,99.86
HiringLabSectoralPosting,2020-02-02,US,United States,medtech,Medical Technician,TOTAL,100.08
HiringLabSectoralPosting,2020-02-02,US,United States,pharmacy,Pharmacy,TOTAL,99.99
HiringLabSectoralPosting,2020-02-03,US,United States,care,Personal Care & Home Health,TOTAL,100.02
HiringLabSectoralPosting,2020-02-03,US,United States,meddr,Physicians & Surgeons,TOTAL,100.25
HiringLabSectoralPosting,2020-02-03,US,United States,media,Media & Communications,TOTAL,100.04
HiringLabSectoralPosting,2020-02-03,US,United States,medinfo,Medical Information,TOTAL,100.07
HiringLabSectoralPosting,2020-02-03,US,United States,mednurse,Nursing,TOTAL,99.77
HiringLabSectoralPosting,2020-02-03,US,United States,medtech,Medical Technician,TOTAL,100.2
HiringLabSectoralPosting,2020-02-03,US,United States,pharmacy,Pharmacy,TOTAL,96.53
HiringLabSectoralPosting,2020-02-04,US,United States,care,Personal Care & Home Health,TOTAL,100.15
HiringLabSectoralPosting,2020-02-04,US,United States,meddr,Physicians & Surgeons,TOTAL,100.21
HiringLabSectoralPosting,2020-02-04,US,United States,media,Media & Communications,TOTAL,99.81
HiringLabSectoralPosting,2020-02-04,US,United States,medinfo,Medical Information,TOTAL,100.07
HiringLabSectoralPosting,2020-02-04,US,United States,mednurse,Nursing,TOTAL,99.68
HiringLabSectoralPosting,2020-02-04,US,United States,medtech,Medical Technician,TOTAL,100.34
HiringLabSectoralPosting,2020-02-04,US,United States,pharmacy,Pharmacy,TOTAL,96.33
HiringLabSectoralPosting,2020-02-05,US,United States,care,Personal Care & Home Health,TOTAL,100.25
HiringLabSectoralPosting,2020-02-05,US,United States,meddr,Physicians & Surgeons,TOTAL,100.28
HiringLabSectoralPosting,2020-02-05,US,United States,media,Media & Communications,TOTAL,99.87
HiringLabSectoralPosting,2020-02-05,US,United States,medinfo,Medical Information,TOTAL,100.09
HiringLabSectoralPosting,2020-02-05,US,United States,mednurse,Nursing,TOTAL,99.63
HiringLabSectoralPosting,2020-02-05,US,United States,medtech,Medical Technician,TOTAL,100.35
HiringLabSectoralPosting,2020-02-05,US,United States,pharmacy,Pharmacy,TOTAL,96.3
HiringLabSectoralPosting,2020-02-06,US,United States,care,Personal Care & Home Health,TOTAL,100.31
HiringLabSectoralPosting,2020-02-06,US,United States,meddr,Physicians & Surgeons,TOTAL,100.4
HiringLabSectoralPosting,2020-02-06,US,United States,media,Media & Communications,TOTAL,100.13
HiringLabSectoralPosting,2020-02-06,US,United States,medinfo,Medical Information,TOTAL,100.13
HiringLabSectoralPosting,2020-02-06,US,United States,mednurse,Nursing,TOTAL,99.66
HiringLabSectoralPosting,2020-02-06,US,United States,medtech,Medical Technician,TOTAL,100.44
HiringLabSectoralPosting,2020-02-06,US,United States,pharmacy,Pharmacy,TOTAL,96.33
HiringLabSectoralPosting,2020-02-07,US,United States,care,Personal Care & Home Health,TOTAL,100.54
HiringLabSectoralPosting,2020-02-07,US,United States,meddr,Physicians & Surgeons,TOTAL,100.49
HiringLabSectoralPosting,2020-02-07,US,United States,media,Media & Communications,TOTAL,100.31
HiringLabSectoralPosting,2020-02-07,US,United States,medinfo,Medical Information,TOTAL,100.15
HiringLabSectoralPosting,2020-02-07,US,United States,mednurse,Nursing,TOTAL,99.62
HiringLabSectoralPosting,2020-02-07,US,United States,medtech,Medical Technician,TOTAL,100.44
HiringLabSectoralPosting,2020-02-07,US,United States,pharmacy,Pharmacy,TOTAL,96.45
HiringLabSectoralPosting,2020-02-08,US,United States,care,Personal Care & Home Health,TOTAL,100.73
HiringLabSectoralPosting,2020-02-08,US,United States,meddr,Physicians & Surgeons,TOTAL,100.45
HiringLabSectoralPosting,2020-02-08,US,United States,media,Media & Communications,TOTAL,100.5
HiringLabSectoralPosting,2020-02-08,US,United States,medinfo,Medical Information,TOTAL,100.2
HiringLabSectoralPosting,2020-02-08,US,United States,mednurse,Nursing,TOTAL,99.55
HiringLabSectoralPosting,2020-02-08,US,United States,medtech,Medical Technician,TOTAL,100.38
HiringLabSectoralPosting,2020-02-08,US,United States,pharmacy,Pharmacy,TOTAL,96.75
HiringLabSectoralPosting,2020-02-09,US,United States,care,Personal Care & Home Health,TOTAL,100.95
HiringLabSectoralPosting,2020-02-09,US,United States,meddr,Physicians & Surgeons,TOTAL,100.43
HiringLabSectoralPosting,2020-02-09,US,United States,media,Media & Communications,TOTAL,100.74
HiringLabSectoralPosting,2020-02-09,US,United States,medinfo,Medical Information,TOTAL,100.23
HiringLabSectoralPosting,2020-02-09,US,United States,mednurse,Nursing,TOTAL,99.5
HiringLabSectoralPosting,2020-02-09,US,United States,medtech,Medical Technician,TOTAL,100.33
HiringLabSectoralPosting,2020-02-09,US,United States,pharmacy,Pharmacy,TOTAL,96.83
HiringLabSectoralPosting,2020-02-10,US,United States,care,Personal Care & Home Health,TOTAL,101.19
HiringLabSectoralPosting,2020-02-10,US,United States,meddr,Physicians & Surgeons,TOTAL,100.45
HiringLabSectoralPosting,2020-02-10,US,United States,media,Media & Communications,TOTAL,101.08
HiringLabSectoralPosting,2020-02-10,US,United States,medinfo,Medical Information,TOTAL,100.28
HiringLabSectoralPosting,2020-02-10,US,United States,mednurse,Nursing,TOTAL,99.5
HiringLabSectoralPosting,2020-02-10,US,United States,medtech,Medical Technician,TOTAL,100.3
HiringLabSectoralPosting,2020-02-10,US,United States,pharmacy,Pharmacy,TOTAL,100.28
HiringLabSectoralPosting,2020-02-11,US,United States,care,Personal Care & Home Health,TOTAL,101.35
HiringLabSectoralPosting,2020-02-11,US,United States,meddr,Physicians & Surgeons,TOTAL,100.54
HiringLabSectoralPosting,2020-02-11,US,United States,media,Media & Communications,TOTAL,101.72
HiringLabSectoralPosting,2020-02-11,US,United States,medinfo,Medical Information,TOTAL,100.33
HiringLabSectoralPosting,2020-02-11,US,United States,mednurse,Nursing,TOTAL,99.5
HiringLabSectoralPosting,2020-02-11,US,United States,medtech,Medical Technician,TOTAL,100.23
HiringLabSectoralPosting,2020-02-11,US,United States,pharmacy,Pharmacy,TOTAL,100.48
HiringLabSectoralPosting,2020-02-12,US,United States,care,Personal Care & Home Health,TOTAL,101.48
HiringLabSectoralPosting,2020-02-12,US,United States,meddr,Physicians & Surgeons,TOTAL,100.51
HiringLabSectoralPosting,2020-02-12,US,United States,media,Media & Communications,TOTAL,102.02
HiringLabSectoralPosting,2020-02-12,US,United States,medinfo,Medical Information,TOTAL,100.6
