__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,sports,Sports,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,therapy,Therapy,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,veterinary,Veterinary,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,sports,Sports,TOTAL,99.94
HiringLabSectoralPosting,2020-02-02,US,United States,therapy,Therapy,TOTAL,100.06
HiringLabSectoralPosting,2020-02-02,US,United States,veterinary,Veterinary,TOTAL,99.89
HiringLabSectoralPosting,2020-02-03,US,United States,sports,Sports,TOTAL,99.74
HiringLabSectoralPosting,2020-02-03,US,United States,therapy,Therapy,TOTAL,99.99
HiringLabSectoralPosting,2020-02-03,US,United States,veterinary,Veterinary,TOTAL,99.94
HiringLabSectoralPosting,2020-02-04,US,United States,sports,Sports,TOTAL,99.47
HiringLabSectoralPosting,2020-02-04,US,United States,therapy,Therapy,TOTAL,99.73
HiringLabSectoralPosting,2020-02-04,US,United States,veterinary,Veterinary,TOTAL,99.8
HiringLabSectoralPosting,2020-02-05,US,United States,sports,Sports,TOTAL,99.55
HiringLabSectoralPosting,2020-02-05,US,United States,therapy,Therapy,TOTAL,99.49
HiringLabSectoralPosting,2020-02-05,US,United States,veterinary,Veterinary,TOTAL,99.97
HiringLabSectoralPosting,2020-02-06,US,United States,sports,Sports,TOTAL,99.53
HiringLabSectoralPosting,2020-02-06,US,United States,therapy,Therapy,TOTAL,99.57
HiringLabSectoralPosting,2020-02-06,US,United States,veterinary,Veterinary,TOTAL,100.6
HiringLabSectoralPosting,2020-02-07,US,United States,sports,Sports,TOTAL,99.38
HiringLabSectoralPosting,2020-02-07,US,United States,therapy,Therapy,TOTAL,99.58
HiringLabSectoralPosting,2020-02-07,US,United States,veterinary,Veterinary,TOTAL,101.05
HiringLabSectoralPosting,2020-02-08,US,United States,sports,Sports,TOTAL,99.33
HiringLabSectoralPosting,2020-02-08,US,United States,therapy,Therapy,TOTAL,99.53
HiringLabSectoralPosting,2020-02-08,US,United States,veterinary,Veterinary,TOTAL,101.19
HiringLabSectoralPosting,2020-02-09,US,United States,sports,Sports,TOTAL,99.36
HiringLabSectoralPosting,2020-02-09,US,United States,therapy,Therapy,TOTAL,99.44
HiringLabSectoralPosting,2020-02-09,US,United States,veterinary,Veterinary,TOTAL,101.33
