__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,construction,Construction,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,customer,Customer Service,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,driver,Driving,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,math,Data & Analytics,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,meddental,Dental,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,sanitation,Cleaning & Sanitation,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,service,Community & Social Service,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,construction,Construction,TOTAL,99.95
HiringLabSectoralPosting,2020-02-02,US,United States,customer,Customer Service,TOTAL,100.08
HiringLabSectoralPosting,2020-02-02,US,United States,driver,Driving,TOTAL,99.88
HiringLabSectoralPosting,2020-02-02,US,United States,math,Data & Analytics,TOTAL,100.09
HiringLabSectoralPosting,2020-02-02,US,United States,meddental,Dental,TOTAL,100.34
HiringLabSectoralPosting,2020-02-02,US,United States,sanitation,Cleaning & Sanitation,TOTAL,99.93
HiringLabSectoralPosting,2020-02-02,US,United States,service,Community & Social Service,TOTAL,100.26
HiringLabSectoralPosting,2020-02-03,US,United States,construction,Construction,TOTAL,99.96
HiringLabSectoralPosting,2020-02-03,US,United States,customer,Customer Service,TOTAL,100.2
HiringLabSectoralPosting,2020-02-03,US,United States,driver,Driving,TOTAL,99.88
HiringLabSectoralPosting,2020-02-03,US,United States,math,Data & Analytics,TOTAL,100.06
HiringLabSectoralPosting,2020-02-03,US,United States,meddental,Dental,TOTAL,100.61
HiringLabSectoralPosting,2020-02-03,US,United States,sanitation,Cleaning & Sanitation,TOTAL,99.92
HiringLabSectoralPosting,2020-02-03,US,United States,service,Community & Social Service,TOTAL,100.52
HiringLabSectoralPosting,2020-02-04,US,United States,construction,Construction,TOTAL,99.9
HiringLabSectoralPosting,2020-02-04,US,United States,customer,Customer Service,TOTAL,100.28
HiringLabSectoralPosting,2020-02-04,US,United States,driver,Driving,TOTAL,100.26
HiringLabSectoralPosting,2020-02-04,US,United States,math,Data & Analytics,TOTAL,100.07
HiringLabSectoralPosting,2020-02-04,US,United States,meddental,Dental,TOTAL,100.88
HiringLabSectoralPosting,2020-02-04,US,United States,sanitation,Cleaning & Sanitation,TOTAL,99.72
HiringLabSectoralPosting,2020-02-04,US,United States,service,Community & Social Service,TOTAL,100.73
HiringLabSectoralPosting,2020-02-05,US,United States,construction,Construction,TOTAL,100.1
HiringLabSectoralPosting,2020-02-05,US,United States,customer,Customer Service,TOTAL,100.38
HiringLabSectoralPosting,2020-02-05,US,United States,driver,Driving,TOTAL,100.07
HiringLabSectoralPosting,2020-02-05,US,United States,math,Data & Analytics,TOTAL,100.13
HiringLabSectoralPosting,2020-02-05,US,United States,meddental,Dental,TOTAL,101.11
HiringLabSectoralPosting,2020-02-05,US,United States,sanitation,Cleaning & Sanitation,TOTAL,99.48
HiringLabSectoralPosting,2020-02-05,US,United States,service,Community & Social Service,TOTAL,100.85
HiringLabSectoralPosting,2020-02-06,US,United States,construction,Construction,TOTAL,100.25
HiringLabSectoralPosting,2020-02-06,US,United States,customer,Customer Service,TOTAL,100.53
HiringLabSectoralPosting,2020-02-06,US,United States,driver,Driving,TOTAL,99.91
HiringLabSectoralPosting,2020-02-06,US,United States,math,Data & Analytics,TOTAL,100.13
HiringLabSectoralPosting,2020-02-06,US,United States,meddental,Dental,TOTAL,101.32
HiringLabSectoralPosting,2020-02-06,US,United States,sanitation,Cleaning & Sanitation,TOTAL,99.24
HiringLabSectoralPosting,2020-02-06,US,United States,service,Community & Social Service,TOTAL,101.02
HiringLabSectoralPosting,2020-02-07,US,United States,construction,Construction,TOTAL,100.4
HiringLabSectoralPosting,2020-02-07,US,United States,customer,Customer Service,TOTAL,100.42
HiringLabSectoralPosting,2020-02-07,US,United States,driver,Driving,TOTAL,99.86
HiringLabSectoralPosting,2020-02-07,US,United States,math,Data & Analytics,TOTAL,100.22
HiringLabSectoralPosting,2020-02-07,US,United States,meddental,Dental,TOTAL,101.37
HiringLabSectoralPosting,2020-02-07,US,United States,sanitation,Cleaning & Sanitation,TOTAL,99
HiringLabSectoralPosting,2020-02-07,US,United States,service,Community & Social Service,TOTAL,101.2
HiringLabSectoralPosting,2020-02-08,US,United States,construction,Construction,TOTAL,100.62
HiringLabSectoralPosting,2020-02-08,US,United States,customer,Customer Service,TOTAL,100.5
HiringLabSectoralPosting,2020-02-08,US,United States,driver,Driving,TOTAL,99.42
HiringLabSectoralPosting,2020-02-08,US,United States,math,Data & Analytics,TOTAL,100.48
HiringLabSectoralPosting,2020-02-08,US,United States,meddental,Dental,TOTAL,101.4
HiringLabSectoralPosting,2020-02-08,US,United States,sanitation,Cleaning & Sanitation,TOTAL,98.77
HiringLabSectoralPosting,2020-02-08,US,United States,service,Community & Social Service,TOTAL,101.39
HiringLabSectoralPosting,2020-02-09,US,United States,construction,Construction,TOTAL,100.83
HiringLabSectoralPosting,2020-02-09,US,United States,customer,Customer Service,TOTAL,100.44
HiringLabSectoralPosting,2020-02-09,US,United States,driver,Driving,TOTAL,99.43
HiringLabSectoralPosting,2020-02-09,US,United States,math,Data & Analytics,TOTAL,100.7
HiringLabSectoralPosting,2020-02-09,US,United States,meddental,Dental,TOTAL,101.2
HiringLabSectoralPosting,2020-02-09,US,United States,sanitation,Cleaning & Sanitation,TOTAL,98.56
HiringLabSectoralPosting,2020-02-09,US,United States,service,Community & Social Service,TOTAL,101.43
HiringLabSectoralPosting,2020-02-10,US,United States,construction,Construction,TOTAL,100.9
HiringLabSectoralPosting,2020-02-10,US,United States,customer,Customer Service,TOTAL,100.45
HiringLabSectoralPosting,2020-02-10,US,United States,driver,Driving,TOTAL,99.39
HiringLabSectoralPosting,2020-02-10,US,United States,math,Data & Analytics,TOTAL,101.11
HiringLabSectoralPosting,2020-02-10,US,United States,meddental,Dental,TOTAL,101.05
HiringLabSectoralPosting,2020-02-10,US,United States,sanitation,Cleaning & Sanitation,TOTAL,98.33
HiringLabSectoralPosting,2020-02-10,US,United States,service,Community & Social Service,TOTAL,101.54
HiringLabSectoralPosting,2020-02-11,US,United States,construction,Construction,TOTAL,100.95
HiringLabSectoralPosting,2020-02-11,US,United States,customer,Customer Service,TOTAL,100.47
HiringLabSectoralPosting,2020-02-11,US,United States,driver,Driving,TOTAL,99.48
HiringLabSectoralPosting,2020-02-11,US,United States,math,Data & Analytics,TOTAL,101.4
HiringLabSectoralPosting,2020-02-11,US,United States,meddental,Dental,TOTAL,100.85
HiringLabSectoralPosting,2020-02-11,US,United States,sanitation,Cleaning & Sanitation,TOTAL,98.32
HiringLabSectoralPosting,2020-02-11,US,United States,service,Community & Social Service,TOTAL,101.63
HiringLabSectoralPosting,2020-02-12,US,United States,construction,Construction,TOTAL,101.02
HiringLabSectoralPosting,2020-02-12,US,United States,customer,Customer Service,TOTAL,100.49
HiringLabSectoralPosting,2020-02-12,US,United States,driver,Driving,TOTAL,99.71
HiringLabSectoralPosting,2020-02-12,US,United States,math,Data & Analytics,TOTAL,101.6
HiringLabSectoralPosting,2020-02-12,US,United States,meddental,Dental,TOTAL,100.6
