__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,education,Education & Instruction,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,engelectric,Electrical Engineering,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,food,Food Preparation & Service,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,hospitality,Hospitality & Tourism,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,hr,Human Resources,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,techinfo,IT Systems & Solutions,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,education,Education & Instruction,TOTAL,100.27
HiringLabSectoralPosting,2020-02-02,US,United States,engelectric,Electrical Engineering,TOTAL,100.04
HiringLabSectoralPosting,2020-02-02,US,United States,food,Food Preparation & Service,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,hospitality,Hospitality & Tourism,TOTAL,100.1
HiringLabSectoralPosting,2020-02-02,US,United States,hr,Human Resources,TOTAL,99.73
HiringLabSectoralPosting,2020-02-02,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.9
HiringLabSectoralPosting,2020-02-02,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.64
HiringLabSectoralPosting,2020-02-03,US,United States,education,Education & Instruction,TOTAL,100.43
HiringLabSectoralPosting,2020-02-03,US,United States,engelectric,Electrical Engineering,TOTAL,100.03
HiringLabSectoralPosting,2020-02-03,US,United States,food,Food Preparation & Service,TOTAL,100.03
HiringLabSectoralPosting,2020-02-03,US,United States,hospitality,Hospitality & Tourism,TOTAL,100.23
HiringLabSectoralPosting,2020-02-03,US,United States,hr,Human Resources,TOTAL,99.74
HiringLabSectoralPosting,2020-02-03,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.82
HiringLabSectoralPosting,2020-02-03,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.55
