__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,engid,Industrial Engineering,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,install,Installation & Maintenance,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,legal,Legal,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,management,Management,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,marketing,Marketing,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,transport,Logistic Support,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,warehouse,Loading & Stocking,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,engid,Industrial Engineering,TOTAL,100.02
HiringLabSectoralPosting,2020-02-02,US,United States,install,Installation & Maintenance,TOTAL,100.09
HiringLabSectoralPosting,2020-02-02,US,United States,legal,Legal,TOTAL,100.12
HiringLabSectoralPosting,2020-02-02,US,United States,management,Management,TOTAL,100.47
HiringLabSectoralPosting,2020-02-02,US,United States,marketing,Marketing,TOTAL,100.14
HiringLabSectoralPosting,2020-02-02,US,United States,transport,Logistic Support,TOTAL,99.85
HiringLabSectoralPosting,2020-02-02,US,United States,warehouse,Loading & Stocking,TOTAL,99.77
HiringLabSectoralPosting,2020-02-03,US,United States,engid,Industrial Engineering,TOTAL,100.03
HiringLabSectoralPosting,2020-02-03,US,United States,install,Installation & Maintenance,TOTAL,100.27
HiringLabSectoralPosting,2020-02-03,US,United States,legal,Legal,TOTAL,100.25
HiringLabSectoralPosting,2020-02-03,US,United States,management,Management,TOTAL,100.93
HiringLabSectoralPosting,2020-02-03,US,United States,marketing,Marketing,TOTAL,100.28
HiringLabSectoralPosting,2020-02-03,US,United States,transport,Logistic Support,TOTAL,99.66
HiringLabSectoralPosting,2020-02-03,US,United States,warehouse,Loading & Stocking,TOTAL,99.61
HiringLabSectoralPosting,2020-02-04,US,United States,engid,Industrial Engineering,TOTAL,99.95
HiringLabSectoralPosting,2020-02-04,US,United States,install,Installation & Maintenance,TOTAL,100.46
HiringLabSectoralPosting,2020-02-04,US,United States,legal,Legal,TOTAL,100.41
HiringLabSectoralPosting,2020-02-04,US,United States,management,Management,TOTAL,101.38
HiringLabSectoralPosting,2020-02-04,US,United States,marketing,Marketing,TOTAL,100.4
HiringLabSectoralPosting,2020-02-04,US,United States,transport,Logistic Support,TOTAL,99.39
HiringLabSectoralPosting,2020-02-04,US,United States,warehouse,Loading & Stocking,TOTAL,99.53
HiringLabSectoralPosting,2020-02-05,US,United States,engid,Industrial Engineering,TOTAL,100.02
HiringLabSectoralPosting,2020-02-05,US,United States,install,Installation & Maintenance,TOTAL,100.72
HiringLabSectoralPosting,2020-02-05,US,United States,legal,Legal,TOTAL,100.45
HiringLabSectoralPosting,2020-02-05,US,United States,management,Management,TOTAL,101.93
HiringLabSectoralPosting,2020-02-05,US,United States,marketing,Marketing,TOTAL,100.55
HiringLabSectoralPosting,2020-02-05,US,United States,transport,Logistic Support,TOTAL,99.41
HiringLabSectoralPosting,2020-02-05,US,United States,warehouse,Loading & Stocking,TOTAL,99.48
HiringLabSectoralPosting,2020-02-06,US,United States,engid,Industrial Engineering,TOTAL,100.1
HiringLabSectoralPosting,2020-02-06,US,United States,install,Installation & Maintenance,TOTAL,100.97
HiringLabSectoralPosting,2020-02-06,US,United States,legal,Legal,TOTAL,100.47
HiringLabSectoralPosting,2020-02-06,US,United States,management,Management,TOTAL,102.54
HiringLabSectoralPosting,2020-02-06,US,United States,marketing,Marketing,TOTAL,100.69
HiringLabSectoralPosting,2020-02-06,US,United States,transport,Logistic Support,TOTAL,99.43
HiringLabSectoralPosting,2020-02-06,US,United States,warehouse,Loading & Stocking,TOTAL,99.49
HiringLabSectoralPosting,2020-02-07,US,United States,engid,Industrial Engineering,TOTAL,100.21
HiringLabSectoralPosting,2020-02-07,US,United States,install,Installation & Maintenance,TOTAL,100.84
HiringLabSectoralPosting,2020-02-07,US,United States,legal,Legal,TOTAL,100.58
HiringLabSectoralPosting,2020-02-07,US,United States,management,Management,TOTAL,102.53
HiringLabSectoralPosting,2020-02-07,US,United States,marketing,Marketing,TOTAL,100.86
HiringLabSectoralPosting,2020-02-07,US,United States,transport,Logistic Support,TOTAL,99.4
HiringLabSectoralPosting,2020-02-07,US,United States,warehouse,Loading & Stocking,TOTAL,99.51
HiringLabSectoralPosting,2020-02-08,US,United States,engid,Industrial Engineering,TOTAL,100.5
HiringLabSectoralPosting,2020-02-08,US,United States,install,Installation & Maintenance,TOTAL,100.92
HiringLabSectoralPosting,2020-02-08,US,United States,legal,Legal,TOTAL,100.8
HiringLabSectoralPosting,2020-02-08,US,United States,management,Management,TOTAL,102.72
HiringLabSectoralPosting,2020-02-08,US,United States,marketing,Marketing,TOTAL,101.13
HiringLabSectoralPosting,2020-02-08,US,United States,transport,Logistic Support,TOTAL,99.48
HiringLabSectoralPosting,2020-02-08,US,United States,warehouse,Loading & Stocking,TOTAL,99.6
HiringLabSectoralPosting,2020-02-09,US,United States,engid,Industrial Engineering,TOTAL,100.76
HiringLabSectoralPosting,2020-02-09,US,United States,install,Installation & Maintenance,TOTAL,101.01
HiringLabSectoralPosting,2020-02-09,US,United States,legal,Legal,TOTAL,100.99
HiringLabSectoralPosting,2020-02-09,US,United States,management,Management,TOTAL,102.86
HiringLabSectoralPosting,2020-02-09,US,United States,marketing,Marketing,TOTAL,101.38
HiringLabSectoralPosting,2020-02-09,US,United States,transport,Logistic Support,TOTAL,99.41
HiringLabSectoralPosting,2020-02-09,US,United States,warehouse,Loading & Stocking,TOTAL,99.68
HiringLabSectoralPosting,2020-02-10,US,United States,engid,Industrial Engineering,TOTAL,101.05
HiringLabSectoralPosting,2020-02-10,US,United States,install,Installation & Maintenance,TOTAL,101.05
HiringLabSectoralPosting,2020-02-10,US,United States,legal,Legal,TOTAL,101.19
HiringLabSectoralPosting,2020-02-10,US,United States,management,Management,TOTAL,103.06
HiringLabSectoralPosting,2020-02-10,US,United States,marketing,Marketing,TOTAL,101.79
HiringLabSectoralPosting,2020-02-10,US,United States,transport,Logistic Support,TOTAL,99.36
HiringLabSectoralPosting,2020-02-10,US,United States,warehouse,Loading & Stocking,TOTAL,99.78
HiringLabSectoralPosting,2020-02-11,US,United States,engid,Industrial Engineering,TOTAL,101.27
HiringLabSectoralPosting,2020-02-11,US,United States,install,Installation & Maintenance,TOTAL,101.06
HiringLabSectoralPosting,2020-02-11,US,United States,legal,Legal,TOTAL,101.31
HiringLabSectoralPosting,2020-02-11,US,United States,management,Management,TOTAL,103.25
HiringLabSectoralPosting,2020-02-11,US,United States,marketing,Marketing,TOTAL,102.15
HiringLabSectoralPosting,2020-02-11,US,United States,transport,Logistic Support,TOTAL,99.43
HiringLabSectoralPosting,2020-02-11,US,United States,warehouse,Loading & Stocking,TOTAL,99.84
HiringLabSectoralPosting,2020-02-12,US,United States,engid,Industrial Engineering,TOTAL,101.46
HiringLabSectoralPosting,2020-02-12,US,United States,install,Installation & Maintenance,TOTAL,101.08
HiringLabSectoralPosting,2020-02-12,US,United States,legal,Legal,TOTAL,101.5
HiringLabSectoralPosting,2020-02-12,US,United States,management,Management,TOTAL,103.36
HiringLabSectoralPosting,2020-02-12,US,United States,marketing,Marketing,TOTAL,102.49
HiringLabSectoralPosting,2020-02-12,US,United States,transport,Logistic Support,TOTAL,99.38
HiringLabSectoralPosting,2020-02-12,US,United States,warehouse,Loading & Stocking,TOTAL,99.91
HiringLabSectoralPosting,2020-02-13,US,United States,engid,Industrial Engineering,TOTAL,101.62
HiringLabSectoralPosting,2020-02-13,US,United States,install,Installation & Maintenance,TOTAL,101.09
HiringLabSectoralPosting,2020-02-13,US,United States,legal,Legal,TOTAL,101.77
HiringLabSectoralPosting,2020-02-13,US,United States,management,Management,TOTAL,103.46
HiringLabSectoralPosting,2020-02-13,US,United States,marketing,Marketing,TOTAL,102.88
HiringLabSectoralPosting,2020-02-13,US,United States,transport,Logistic Support,TOTAL,99.32
HiringLabSectoralPosting,2020-02-13,US,United States,warehouse,Loading & Stocking,TOTAL,99.95
HiringLabSectoralPosting,2020-02-14,US,United States,engid,Industrial Engineering,TOTAL,101.72
HiringLabSectoralPosting,2020-02-14,US,United States,install,Installation & Maintenance,TOTAL,101.15
