__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,care,Personal Care & Home Health,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,meddr,Physicians & Surgeons,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,media,Media & Communications,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,medinfo,Medical Information,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,mednurse,Nursing,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,medtech,Medical Technician,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,pharmacy,Pharmacy,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,care,Personal Care & Home Health,TOTAL,100.02
HiringLabSectoralPosting,2020-02-02,US,United States,meddr,Physicians & Surgeons,TOTAL,100.26
HiringLabSectoralPosting,2020-02-02,US,United States,media,Media & Communications,TOTAL,100.21
HiringLabSectoralPosting,2020-02-02,US,United States,medinfo,Medical Information,TOTAL,100.04
HiringLabSectoralPosting,2020-02-02,US,United States,mednurse,Nursing,TOTAL,99.87
HiringLabSectoralPosting,2020-02-02,US,United States,medtech,Medical Technician,TOTAL,100.01
HiringLabSectoralPosting,2020-02-02,US,United States,pharmacy,Pharmacy,TOTAL,100.19
HiringLabSectoralPosting,2020-02-03,US,United States,care,Personal Care & Home Health,TOTAL,100.05
HiringLabSectoralPosting,2020-02-03,US,United States,meddr,Physicians & Surgeons,TOTAL,100.39
HiringLabSectoralPosting,2020-02-03,US,United States,media,Media & Communications,TOTAL,100.35
HiringLabSectoralPosting,2020-02-03,US,United States,medinfo,Medical Information,TOTAL,100.08
HiringLabSectoralPosting,2020-02-03,US,United States,mednurse,Nursing,TOTAL,99.74
HiringLabSectoralPosting,2020-02-03,US,United States,medtech,Medical Technician,TOTAL,100.05
HiringLabSectoralPosting,2020-02-03,US,United States,pharmacy,Pharmacy,TOTAL,97.02
HiringLabSectoralPosting,2020-02-04,US,United States,care,Personal Care & Home Health,TOTAL,100.17
HiringLabSectoralPosting,2020-02-04,US,United States,meddr,Physicians & Surgeons,TOTAL,100.33
HiringLabSectoralPosting,2020-02-04,US,United States,media,Media & Communications,TOTAL,100.33
HiringLabSectoralPosting,2020-02-04,US,United States,medinfo,Medical Information,TOTAL,100.07
HiringLabSectoralPosting,2020-02-04,US,United States,mednurse,Nursing,TOTAL,99.65
HiringLabSectoralPosting,2020-02-04,US,United States,medtech,Medical Technician,TOTAL,100.06
HiringLabSectoralPosting,2020-02-04,US,United States,pharmacy,Pharmacy,TOTAL,96.93
HiringLabSectoralPosting,2020-02-05,US,United States,care,Personal Care & Home Health,TOTAL,100.26
HiringLabSectoralPosting,2020-02-05,US,United States,meddr,Physicians & Surgeons,TOTAL,100.46
HiringLabSectoralPosting,2020-02-05,US,United States,media,Media & Communications,TOTAL,100.51
HiringLabSectoralPosting,2020-02-05,US,United States,medinfo,Medical Information,TOTAL,100.03
HiringLabSectoralPosting,2020-02-05,US,United States,mednurse,Nursing,TOTAL,99.56
HiringLabSectoralPosting,2020-02-05,US,United States,medtech,Medical Technician,TOTAL,99.99
HiringLabSectoralPosting,2020-02-05,US,United States,pharmacy,Pharmacy,TOTAL,96.83
HiringLabSectoralPosting,2020-02-06,US,United States,care,Personal Care & Home Health,TOTAL,100.37
HiringLabSectoralPosting,2020-02-06,US,United States,meddr,Physicians & Surgeons,TOTAL,100.57
HiringLabSectoralPosting,2020-02-06,US,United States,media,Media & Communications,TOTAL,100.8
HiringLabSectoralPosting,2020-02-06,US,United States,medinfo,Medical Information,TOTAL,100.03
HiringLabSectoralPosting,2020-02-06,US,United States,mednurse,Nursing,TOTAL,99.59
HiringLabSectoralPosting,2020-02-06,US,United States,medtech,Medical Technician,TOTAL,100.01
HiringLabSectoralPosting,2020-02-06,US,United States,pharmacy,Pharmacy,TOTAL,96.81
HiringLabSectoralPosting,2020-02-07,US,United States,care,Personal Care & Home Health,TOTAL,100.71
HiringLabSectoralPosting,2020-02-07,US,United States,meddr,Physicians & Surgeons,TOTAL,100.64
HiringLabSectoralPosting,2020-02-07,US,United States,media,Media & Communications,TOTAL,101.07
HiringLabSectoralPosting,2020-02-07,US,United States,medinfo,Medical Information,TOTAL,100.04
HiringLabSectoralPosting,2020-02-07,US,United States,mednurse,Nursing,TOTAL,99.55
HiringLabSectoralPosting,2020-02-07,US,United States,medtech,Medical Technician,TOTAL,100
HiringLabSectoralPosting,2020-02-07,US,United States,pharmacy,Pharmacy,TOTAL,96.66
HiringLabSectoralPosting,2020-02-08,US,United States,care,Personal Care & Home Health,TOTAL,101.01
HiringLabSectoralPosting,2020-02-08,US,United States,meddr,Physicians & Surgeons,TOTAL,100.69
HiringLabSectoralPosting,2020-02-08,US,United States,media,Media & Communications,TOTAL,101.43
HiringLabSectoralPosting,2020-02-08,US,United States,medinfo,Medical Information,TOTAL,100.09
HiringLabSectoralPosting,2020-02-08,US,United States,mednurse,Nursing,TOTAL,99.56
HiringLabSectoralPosting,2020-02-08,US,United States,medtech,Medical Technician,TOTAL,100.03
HiringLabSectoralPosting,2020-02-08,US,United States,pharmacy,Pharmacy,TOTAL,96.58
HiringLabSectoralPosting,2020-02-09,US,United States,care,Personal Care & Home Health,TOTAL,101.23
HiringLabSectoralPosting,2020-02-09,US,United States,meddr,Physicians & Surgeons,TOTAL,100.69
HiringLabSectoralPosting,2020-02-09,US,United States,media,Media & Communications,TOTAL,101.78
HiringLabSectoralPosting,2020-02-09,US,United States,medinfo,Medical Information,TOTAL,100.09
HiringLabSectoralPosting,2020-02-09,US,United States,mednurse,Nursing,TOTAL,99.53
HiringLabSectoralPosting,2020-02-09,US,United States,medtech,Medical Technician,TOTAL,100.07
HiringLabSectoralPosting,2020-02-09,US,United States,pharmacy,Pharmacy,TOTAL,96.31
HiringLabSectoralPosting,2020-02-10,US,United States,care,Personal Care & Home Health,TOTAL,101.5
HiringLabSectoralPosting,2020-02-10,US,United States,meddr,Physicians & Surgeons,TOTAL,100.76
HiringLabSectoralPosting,2020-02-10,US,United States,media,Media & Communications,TOTAL,102.22
HiringLabSectoralPosting,2020-02-10,US,United States,medinfo,Medical Information,TOTAL,100.11
HiringLabSectoralPosting,2020-02-10,US,United States,mednurse,Nursing,TOTAL,99.55
HiringLabSectoralPosting,2020-02-10,US,United States,medtech,Medical Technician,TOTAL,100.12
HiringLabSectoralPosting,2020-02-10,US,United States,pharmacy,Pharmacy,TOTAL,99.43
HiringLabSectoralPosting,2020-02-11,US,United States,care,Personal Care & Home Health,TOTAL,101.79
HiringLabSectoralPosting,2020-02-11,US,United States,meddr,Physicians & Surgeons,TOTAL,100.94
HiringLabSectoralPosting,2020-02-11,US,United States,media,Media & Communications,TOTAL,102.86
HiringLabSectoralPosting,2020-02-11,US,United States,medinfo,Medical Information,TOTAL,100.15
HiringLabSectoralPosting,2020-02-11,US,United States,mednurse,Nursing,TOTAL,99.58
HiringLabSectoralPosting,2020-02-11,US,United States,medtech,Medical Technician,TOTAL,100.12
HiringLabSectoralPosting,2020-02-11,US,United States,pharmacy,Pharmacy,TOTAL,99.45
HiringLabSectoralPosting,2020-02-12,US,United States,care,Personal Care & Home Health,TOTAL,102.07
HiringLabSectoralPosting,2020-02-12,US,United States,meddr,Physicians & Surgeons,TOTAL,100.89
HiringLabSectoralPosting,2020-02-12,US,United States,media,Media & Communications,TOTAL,103.21
HiringLabSectoralPosting,2020-02-12,US,United States,medinfo,Medical Information,TOTAL,100.48
