__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,manufacturing,Production & Manufacturing,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,project,Project Management,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,protective,Security & Public Safety,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,retail,Retail,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,sales,Sales,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,science,Scientific Research & Development,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,techsoftware,Software Development,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,manufacturing,Production & Manufacturing,TOTAL,99.9
HiringLabSectoralPosting,2020-02-02,US,United States,project,Project Management,TOTAL,100.12
HiringLabSectoralPosting,2020-02-02,US,United States,protective,Security & Public Safety,TOTAL,100.08
HiringLabSectoralPosting,2020-02-02,US,United States,retail,Retail,TOTAL,99.67
HiringLabSectoralPosting,2020-02-02,US,United States,sales,Sales,TOTAL,99.85
HiringLabSectoralPosting,2020-02-02,US,United States,science,Scientific Research & Development,TOTAL,100.04
HiringLabSectoralPosting,2020-02-02,US,United States,techsoftware,Software Development,TOTAL,99.92
HiringLabSectoralPosting,2020-02-03,US,United States,manufacturing,Production & Manufacturing,TOTAL,99.82
HiringLabSectoralPosting,2020-02-03,US,United States,project,Project Management,TOTAL,100.23
HiringLabSectoralPosting,2020-02-03,US,United States,protective,Security & Public Safety,TOTAL,100.14
HiringLabSectoralPosting,2020-02-03,US,United States,retail,Retail,TOTAL,99.09
HiringLabSectoralPosting,2020-02-03,US,United States,sales,Sales,TOTAL,99.74
HiringLabSectoralPosting,2020-02-03,US,United States,science,Scientific Research & Development,TOTAL,100.02
HiringLabSectoralPosting,2020-02-03,US,United States,techsoftware,Software Development,TOTAL,99.88
HiringLabSectoralPosting,2020-02-04,US,United States,manufacturing,Production & Manufacturing,TOTAL,99.75
HiringLabSectoralPosting,2020-02-04,US,United States,project,Project Management,TOTAL,100.28
HiringLabSectoralPosting,2020-02-04,US,United States,protective,Security & Public Safety,TOTAL,100.29
HiringLabSectoralPosting,2020-02-04,US,United States,retail,Retail,TOTAL,98.85
HiringLabSectoralPosting,2020-02-04,US,United States,sales,Sales,TOTAL,99.65
HiringLabSectoralPosting,2020-02-04,US,United States,science,Scientific Research & Development,TOTAL,100
HiringLabSectoralPosting,2020-02-04,US,United States,techsoftware,Software Development,TOTAL,99.79
HiringLabSectoralPosting,2020-02-05,US,United States,manufacturing,Production & Manufacturing,TOTAL,99.71
HiringLabSectoralPosting,2020-02-05,US,United States,project,Project Management,TOTAL,100.37
HiringLabSectoralPosting,2020-02-05,US,United States,protective,Security & Public Safety,TOTAL,100.47
HiringLabSectoralPosting,2020-02-05,US,United States,retail,Retail,TOTAL,98.7
HiringLabSectoralPosting,2020-02-05,US,United States,sales,Sales,TOTAL,99.63
HiringLabSectoralPosting,2020-02-05,US,United States,science,Scientific Research & Development,TOTAL,99.96
HiringLabSectoralPosting,2020-02-05,US,United States,techsoftware,Software Development,TOTAL,99.86
HiringLabSectoralPosting,2020-02-06,US,United States,manufacturing,Production & Manufacturing,TOTAL,99.65
HiringLabSectoralPosting,2020-02-06,US,United States,project,Project Management,TOTAL,100.5
HiringLabSectoralPosting,2020-02-06,US,United States,protective,Security & Public Safety,TOTAL,100.54
HiringLabSectoralPosting,2020-02-06,US,United States,retail,Retail,TOTAL,98.42
HiringLabSectoralPosting,2020-02-06,US,United States,sales,Sales,TOTAL,99.59
HiringLabSectoralPosting,2020-02-06,US,United States,science,Scientific Research & Development,TOTAL,99.94
HiringLabSectoralPosting,2020-02-06,US,United States,techsoftware,Software Development,TOTAL,99.93
HiringLabSectoralPosting,2020-02-07,US,United States,manufacturing,Production & Manufacturing,TOTAL,99.67
HiringLabSectoralPosting,2020-02-07,US,United States,project,Project Management,TOTAL,100.58
HiringLabSectoralPosting,2020-02-07,US,United States,protective,Security & Public Safety,TOTAL,100.59
HiringLabSectoralPosting,2020-02-07,US,United States,retail,Retail,TOTAL,98.12
HiringLabSectoralPosting,2020-02-07,US,United States,sales,Sales,TOTAL,99.56
HiringLabSectoralPosting,2020-02-07,US,United States,science,Scientific Research & Development,TOTAL,100.03
HiringLabSectoralPosting,2020-02-07,US,United States,techsoftware,Software Development,TOTAL,100.03
HiringLabSectoralPosting,2020-02-08,US,United States,manufacturing,Production & Manufacturing,TOTAL,99.72
HiringLabSectoralPosting,2020-02-08,US,United States,project,Project Management,TOTAL,100.76
HiringLabSectoralPosting,2020-02-08,US,United States,protective,Security & Public Safety,TOTAL,100.83
HiringLabSectoralPosting,2020-02-08,US,United States,retail,Retail,TOTAL,98.09
HiringLabSectoralPosting,2020-02-08,US,United States,sales,Sales,TOTAL,99.66
HiringLabSectoralPosting,2020-02-08,US,United States,science,Scientific Research & Development,TOTAL,100.14
HiringLabSectoralPosting,2020-02-08,US,United States,techsoftware,Software Development,TOTAL,100.3
HiringLabSectoralPosting,2020-02-09,US,United States,manufacturing,Production & Manufacturing,TOTAL,99.74
HiringLabSectoralPosting,2020-02-09,US,United States,project,Project Management,TOTAL,100.88
HiringLabSectoralPosting,2020-02-09,US,United States,protective,Security & Public Safety,TOTAL,100.93
HiringLabSectoralPosting,2020-02-09,US,United States,retail,Retail,TOTAL,98.03
HiringLabSectoralPosting,2020-02-09,US,United States,sales,Sales,TOTAL,99.8
HiringLabSectoralPosting,2020-02-09,US,United States,science,Scientific Research & Development,TOTAL,100.27
HiringLabSectoralPosting,2020-02-09,US,United States,techsoftware,Software Development,TOTAL,100.56
HiringLabSectoralPosting,2020-02-10,US,United States,manufacturing,Production & Manufacturing,TOTAL,99.76
HiringLabSectoralPosting,2020-02-10,US,United States,project,Project Management,TOTAL,101.07
HiringLabSectoralPosting,2020-02-10,US,United States,protective,Security & Public Safety,TOTAL,101.14
HiringLabSectoralPosting,2020-02-10,US,United States,retail,Retail,TOTAL,98.28
HiringLabSectoralPosting,2020-02-10,US,United States,sales,Sales,TOTAL,99.91
HiringLabSectoralPosting,2020-02-10,US,United States,science,Scientific Research & Development,TOTAL,100.39
HiringLabSectoralPosting,2020-02-10,US,United States,techsoftware,Software Development,TOTAL,100.85
HiringLabSectoralPosting,2020-02-11,US,United States,manufacturing,Production & Manufacturing,TOTAL,99.79
HiringLabSectoralPosting,2020-02-11,US,United States,project,Project Management,TOTAL,101.16
HiringLabSectoralPosting,2020-02-11,US,United States,protective,Security & Public Safety,TOTAL,101.23
HiringLabSectoralPosting,2020-02-11,US,United States,retail,Retail,TOTAL,98.26
HiringLabSectoralPosting,2020-02-11,US,United States,sales,Sales,TOTAL,100.04
HiringLabSectoralPosting,2020-02-11,US,United States,science,Scientific Research & Development,TOTAL,100.49
HiringLabSectoralPosting,2020-02-11,US,United States,techsoftware,Software Development,TOTAL,101.09
HiringLabSectoralPosting,2020-02-12,US,United States,manufacturing,Production & Manufacturing,TOTAL,99.82
HiringLabSectoralPosting,2020-02-12,US,United States,project,Project Management,TOTAL,101.18
HiringLabSectoralPosting,2020-02-12,US,United States,protective,Security & Public Safety,TOTAL,101.36
HiringLabSectoralPosting,2020-02-12,US,United States,retail,Retail,TOTAL,98.2
HiringLabSectoralPosting,2020-02-12,US,United States,sales,Sales,TOTAL,100.07
HiringLabSectoralPosting,2020-02-12,US,United States,science,Scientific Research & Development,TOTAL,100.6
HiringLabSectoralPosting,2020-02-12,US,United States,techsoftware,Software Development,TOTAL,101.24
HiringLabSectoralPosting,2020-02-13,US,United States,manufacturing,Production & Manufacturing,TOTAL,99.92
HiringLabSectoralPosting,2020-02-13,US,United States,project,Project Management,TOTAL,101.24
HiringLabSectoralPosting,2020-02-13,US,United States,protective,Security & Public Safety,TOTAL,101.52
HiringLabSectoralPosting,2020-02-13,US,United States,retail,Retail,TOTAL,98.23
HiringLabSectoralPosting,2020-02-13,US,United States,sales,Sales,TOTAL,100.04
HiringLabSectoralPosting,2020-02-13,US,United States,science,Scientific Research & Development,TOTAL,100.73
HiringLabSectoralPosting,2020-02-13,US,United States,techsoftware,Software Development,TOTAL,101.35
HiringLabSectoralPosting,2020-02-14,US,United States,manufacturing,Production & Manufacturing,TOTAL,100.04
HiringLabSectoralPosting,2020-02-14,US,United States,project,Project Management,TOTAL,101.34
HiringLabSectoralPosting,2020-02-14,US,United States,protective,Security & Public Safety,TOTAL,101.7
HiringLabSectoralPosting,2020-02-14,US,United States,retail,Retail,TOTAL,98.19
HiringLabSectoralPosting,2020-02-14,US,United States,sales,Sales,TOTAL,100
HiringLabSectoralPosting,2020-02-14,US,United States,science,Scientific Research & Development,TOTAL,100.99
HiringLabSectoralPosting,2020-02-14,US,United States,techsoftware,Software Development,TOTAL,101.51
HiringLabSectoralPosting,2020-02-15,US,United States,manufacturing,Production & Manufacturing,TOTAL,100.12
HiringLabSectoralPosting,2020-02-15,US,United States,project,Project Management,TOTAL,101.39
HiringLabSectoralPosting,2020-02-15,US,United States,protective,Security & Public Safety,TOTAL,101.81
HiringLabSectoralPosting,2020-02-15,US,United States,retail,Retail,TOTAL,98.32
HiringLabSectoralPosting,2020-02-15,US,United States,sales,Sales,TOTAL,99.85
HiringLabSectoralPosting,2020-02-15,US,United States,science,Scientific Research & Development,TOTAL,101.01
HiringLabSectoralPosting,2020-02-15,US,United States,techsoftware,Software Development,TOTAL,101.56
HiringLabSectoralPosting,2020-02-16,US,United States,manufacturing,Production & Manufacturing,TOTAL,100.32
HiringLabSectoralPosting,2020-02-16,US,United States,project,Project Management,TOTAL,101.55
HiringLabSectoralPosting,2020-02-16,US,United States,protective,Security & Public Safety,TOTAL,102
HiringLabSectoralPosting,2020-02-16,US,United States,retail,Retail,TOTAL,98.48
HiringLabSectoralPosting,2020-02-16,US,United States,sales,Sales,TOTAL,99.7
HiringLabSectoralPosting,2020-02-16,US,United States,science,Scientific Research & Development,TOTAL,101.24
HiringLabSectoralPosting,2020-02-16,US,United States,techsoftware,Software Development,TOTAL,101.67
HiringLabSectoralPosting,2020-02-17,US,United States,manufacturing,Production & Manufacturing,TOTAL,100.47
HiringLabSectoralPosting,2020-02-17,US,United States,project,Project Management,TOTAL,101.65
HiringLabSectoralPosting,2020-02-17,US,United States,protective,Security & Public Safety,TOTAL,102.34
HiringLabSectoralPosting,2020-02-17,US,United States,retail,Retail,TOTAL,98.52
HiringLabSectoralPosting,2020-02-17,US,United States,sales,Sales,TOTAL,99.46
HiringLabSectoralPosting,2020-02-17,US,United States,science,Scientific Research & Development,TOTAL,101.5
HiringLabSectoralPosting,2020-02-17,US,United States,techsoftware,Software Development,TOTAL,101.7
HiringLabSectoralPosting,2020-02-18,US,United States,manufacturing,Production & Manufacturing,TOTAL,100.64
HiringLabSectoralPosting,2020-02-18,US,United States,project,Project Management,TOTAL,101.8
HiringLabSectoralPosting,2020-02-18,US,United States,protective,Security & Public Safety,TOTAL,102.84
HiringLabSectoralPosting,2020-02-18,US,United States,retail,Retail,TOTAL,98.66
HiringLabSectoralPosting,2020-02-18,US,United States,sales,Sales,TOTAL,99.32
HiringLabSectoralPosting,2020-02-18,US,United States,science,Scientific Research & Development,TOTAL,101.75
HiringLabSectoralPosting,2020-02-18,US,United States,techsoftware,Software Development,TOTAL,101.78
HiringLabSectoralPosting,2020-02-19,US,United States,manufacturing,Production & Manufacturing,TOTAL,100.8
HiringLabSectoralPosting,2020-02-19,US,United States,project,Project Management,TOTAL,101.9
HiringLabSectoralPosting,2020-02-19,US,United States,protective,Security & Public Safety,TOTAL,102.98
HiringLabSectoralPosting,2020-02-19,US,United States,retail,Retail,TOTAL,98.86
HiringLabSectoralPosting,2020-02-19,US,United States,sales,Sales,TOTAL,99.19
HiringLabSectoralPosting,2020-02-19,US,United States,science,Scientific Research & Development,TOTAL,101.96
HiringLabSectoralPosting,2020-02-19,US,United States,techsoftware,Software Development,TOTAL,101.81
HiringLabSectoralPosting,2020-02-20,US,United States,manufacturing,Production & Manufacturing,TOTAL,100.93
HiringLabSectoralPosting,2020-02-20,US,United States,project,Project Management,TOTAL,102.02
HiringLabSectoralPosting,2020-02-20,US,United States,protective,Security & Public Safety,TOTAL,103.22
HiringLabSectoralPosting,2020-02-20,US,United States,retail,Retail,TOTAL,99.04
HiringLabSectoralPosting,2020-02-20,US,United States,sales,Sales,TOTAL,99.22
HiringLabSectoralPosting,2020-02-20,US,United States,science,Scientific Research & Development,TOTAL,102.12
HiringLabSectoralPosting,2020-02-20,US,United States,techsoftware,Software Development,TOTAL,101.86
HiringLabSectoralPosting,2020-02-21,US,United States,manufacturing,Production & Manufacturing,TOTAL,101.11
HiringLabSectoralPosting,2020-02-21,US,United States,project,Project Management,TOTAL,102.1
HiringLabSectoralPosting,2020-02-21,US,United States,protective,Security & Public Safety,TOTAL,103.49
