__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,sports,Sports,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,therapy,Therapy,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,veterinary,Veterinary,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,sports,Sports,TOTAL,99.96
HiringLabSectoralPosting,2020-02-02,US,United States,therapy,Therapy,TOTAL,100.25
HiringLabSectoralPosting,2020-02-02,US,United States,veterinary,Veterinary,TOTAL,99.9
HiringLabSectoralPosting,2020-02-03,US,United States,sports,Sports,TOTAL,99.88
HiringLabSectoralPosting,2020-02-03,US,United States,therapy,Therapy,TOTAL,100.45
HiringLabSectoralPosting,2020-02-03,US,United States,veterinary,Veterinary,TOTAL,99.83
HiringLabSectoralPosting,2020-02-04,US,United States,sports,Sports,TOTAL,99.77
HiringLabSectoralPosting,2020-02-04,US,United States,therapy,Therapy,TOTAL,100.49
HiringLabSectoralPosting,2020-02-04,US,United States,veterinary,Veterinary,TOTAL,99.65
HiringLabSectoralPosting,2020-02-05,US,United States,sports,Sports,TOTAL,99.9
HiringLabSectoralPosting,2020-02-05,US,United States,therapy,Therapy,TOTAL,100.34
HiringLabSectoralPosting,2020-02-05,US,United States,veterinary,Veterinary,TOTAL,99.76
HiringLabSectoralPosting,2020-02-06,US,United States,sports,Sports,TOTAL,99.98
HiringLabSectoralPosting,2020-02-06,US,United States,therapy,Therapy,TOTAL,100.51
HiringLabSectoralPosting,2020-02-06,US,United States,veterinary,Veterinary,TOTAL,100.42
HiringLabSectoralPosting,2020-02-07,US,United States,sports,Sports,TOTAL,100.05
HiringLabSectoralPosting,2020-02-07,US,United States,therapy,Therapy,TOTAL,100.62
HiringLabSectoralPosting,2020-02-07,US,United States,veterinary,Veterinary,TOTAL,101.04
HiringLabSectoralPosting,2020-02-08,US,United States,sports,Sports,TOTAL,100.12
HiringLabSectoralPosting,2020-02-08,US,United States,therapy,Therapy,TOTAL,100.63
HiringLabSectoralPosting,2020-02-08,US,United States,veterinary,Veterinary,TOTAL,101.37
HiringLabSectoralPosting,2020-02-09,US,United States,sports,Sports,TOTAL,100.22
HiringLabSectoralPosting,2020-02-09,US,United States,therapy,Therapy,TOTAL,100.59
HiringLabSectoralPosting,2020-02-09,US,United States,veterinary,Veterinary,TOTAL,101.68
