__typename,dateString,countryCode,countryName,postingType,value
HiringLabNationalPosting,2020-02-01,US,United States,TOTAL,100
HiringLabNationalPosting,2020-02-02,US,United States,TOTAL,100.06
HiringLabNationalPosting,2020-02-03,US,United States,TOTAL,100.09
HiringLabNationalPosting,2020-02-04,US,United States,TOTAL,100.18
HiringLabNationalPosting,2020-02-05,US,United States,TOTAL,100.29
HiringLabNationalPosting,2020-02-06,US,United States,TOTAL,100.44
HiringLabNationalPosting,2020-02-07,US,United States,TOTAL,100.44
HiringLabNationalPosting,2020-02-08,US,United States,TOTAL,100.54
HiringLabNationalPosting,2020-02-09,US,United States,TOTAL,100.61
HiringLabNationalPosting,2020-02-10,US,United States,TOTAL,100.76
HiringLabNationalPosting,2020-02-11,US,United States,TOTAL,100.85
HiringLabNationalPosting,2020-02-12,US,United States,TOTAL,100.94
HiringLabNationalPosting,2020-02-13,US,United States,TOTAL,100.99
HiringLabNationalPosting,2020-02-14,US,United States,TOTAL,101.07
HiringLabNationalPosting,2020-02-15,US,United States,TOTAL,100.87
HiringLabNationalPosting,2020-02-16,US,United States,TOTAL,100.78
HiringLabNationalPosting,2020-02-17,US,United States,TOTAL,100.64
HiringLabNationalPosting,2020-02-18,US,United States,TOTAL,100.56
HiringLabNationalPosting,2020-02-19,US,United States,TOTAL,100.45
HiringLabNationalPosting,2020-02-20,US,United States,TOTAL,100.37
HiringLabNationalPosting,2020-02-21,US,United States,TOTAL,100.32
HiringLabNationalPosting,2020-02-22,US,United States,TOTAL,100.4
HiringLabNationalPosting,2020-02-23,US,United States,TOTAL,100.51
HiringLabNationalPosting,2020-02-24,US,United States,TOTAL,100.62
HiringLabNationalPosting,2020-02-25,US,United States,TOTAL,100.76
HiringLabNationalPosting,2020-02-26,US,United States,TOTAL,100.92
HiringLabNationalPosting,2020-02-27,US,United States,TOTAL,101.09
HiringLabNationalPosting,2020-02-28,US,United States,TOTAL,101.27
HiringLabNationalPosting,2020-02-29,US,United States,TOTAL,101.53
HiringLabNationalPosting,2020-03-01,US,United States,TOTAL,101.67
HiringLabNationalPosting,2020-03-02,US,United States,TOTAL,101.81
HiringLabNationalPosting,2020-03-03,US,United States,TOTAL,101.86
HiringLabNationalPosting,2020-03-04,US,United States,TOTAL,101.85
HiringLabNationalPosting,2020-03-05,US,United States,TOTAL,101.83
HiringLabNationalPosting,2020-03-06,US,United States,TOTAL,101.78
HiringLabNationalPosting,2020-03-07,US,United States,TOTAL,101.75
HiringLabNationalPosting,2020-03-08,US,United States,TOTAL,101.74
HiringLabNationalPosting,2020-03-09,US,United States,TOTAL,101.64
HiringLabNationalPosting,2020-03-10,US,United States,TOTAL,101.66
HiringLabNationalPosting,2020-03-11,US,United States,TOTAL,101.68
HiringLabNationalPosting,2020-03-12,US,United States,TOTAL,101.63
HiringLabNationalPosting,2020-03-13,US,United States,TOTAL,101.49
HiringLabNationalPosting,2020-03-14,US,United States,TOTAL,101.31
HiringLabNationalPosting,2020-03-15,US,United States,TOTAL,101.08
HiringLabNationalPosting,2020-03-16,US,United States,TOTAL,100.92
HiringLabNationalPosting,2020-03-17,US,United States,TOTAL,100.41
HiringLabNationalPosting,2020-03-18,US,United States,TOTAL,99.76
HiringLabNationalPosting,2020-03-19,US,United States,TOTAL,98.97
HiringLabNationalPosting,2020-03-20,US,United States,TOTAL,97.99
HiringLabNationalPosting,2020-03-21,US,United States,TOTAL,96.62
HiringLabNationalPosting,2020-03-22,US,United States,TOTAL,95.4
HiringLabNationalPosting,2020-03-23,US,United States,TOTAL,94.07
HiringLabNationalPosting,2020-03-24,US,United States,TOTAL,92.86
HiringLabNationalPosting,2020-03-25,US,United States,TOTAL,91.6
HiringLabNationalPosting,2020-03-26,US,United States,TOTAL,90.29
HiringLabNationalPosting,2020-03-27,US,United States,TOTAL,88.83
HiringLabNationalPosting,2020-03-28,US,United States,TOTAL,87.66
HiringLabNationalPosting,2020-03-29,US,United States,TOTAL,86.34
HiringLabNationalPosting,2020-03-30,US,United States,TOTAL,85.09
HiringLabNationalPosting,2020-03-31,US,United States,TOTAL,83.81
HiringLabNationalPosting,2020-04-01,US,United States,TOTAL,82.49
HiringLabNationalPosting,2020-04-02,US,United States,TOTAL,81.18
HiringLabNationalPosting,2020-04-03,US,United States,TOTAL,80.2
HiringLabNationalPosting,2020-04-04,US,United States,TOTAL,78.95
HiringLabNationalPosting,2020-04-05,US,United States,TOTAL,77.66
HiringLabNationalPosting,2020-04-06,US,United States,TOTAL,76.54
HiringLabNationalPosting,2020-04-07,US,United States,TOTAL,75.4
HiringLabNationalPosting,2020-04-08,US,United States,TOTAL,74.6
HiringLabNationalPosting,2020-04-09,US,United States,TOTAL,73.81
HiringLabNationalPosting,2020-04-10,US,United States,TOTAL,72.97
HiringLabNationalPosting,2020-04-11,US,United States,TOTAL,72.46
HiringLabNationalPosting,2020-04-12,US,United States,TOTAL,71.96
HiringLabNationalPosting,2020-04-13,US,United States,TOTAL,71.36
HiringLabNationalPosting,2020-04-14,US,United States,TOTAL,70.89
HiringLabNationalPosting,2020-04-15,US,United States,TOTAL,70.29
HiringLabNationalPosting,2020-04-16,US,United States,TOTAL,69.76
HiringLabNationalPosting,2020-04-17,US,United States,TOTAL,69.27
HiringLabNationalPosting,2020-04-18,US,United States,TOTAL,68.87
HiringLabNationalPosting,2020-04-19,US,United States,TOTAL,68.46
HiringLabNationalPosting,2020-04-20,US,United States,TOTAL,68.15
HiringLabNationalPosting,2020-04-21,US,United States,TOTAL,67.83
HiringLabNationalPosting,2020-04-22,US,United States,TOTAL,67.54
HiringLabNationalPosting,2020-04-23,US,United States,TOTAL,67.27
HiringLabNationalPosting,2020-04-24,US,United States,TOTAL,67.05
HiringLabNationalPosting,2020-04-25,US,United States,TOTAL,66.89
HiringLabNationalPosting,2020-04-26,US,United States,TOTAL,66.75
HiringLabNationalPosting,2020-04-27,US,United States,TOTAL,66.54
HiringLabNationalPosting,2020-04-28,US,United States,TOTAL,66.34
HiringLabNationalPosting,2020-04-29,US,United States,TOTAL,66.19
HiringLabNationalPosting,2020-04-30,US,United States,TOTAL,66.09
HiringLabNationalPosting,2020-05-01,US,United States,TOTAL,66.03
HiringLabNationalPosting,2020-05-02,US,United States,TOTAL,65.89
HiringLabNationalPosting,2020-05-03,US,United States,TOTAL,65.72
