__typename,dateString,countryCode,countryName,postingType,value
HiringLabNationalPosting,2020-02-01,US,United States,TOTAL,100
HiringLabNationalPosting,2020-02-02,US,United States,TOTAL,100.02
HiringLabNationalPosting,2020-02-03,US,United States,TOTAL,100.03
HiringLabNationalPosting,2020-02-04,US,United States,TOTAL,100.06
HiringLabNationalPosting,2020-02-05,US,United States,TOTAL,100.13
HiringLabNationalPosting,2020-02-06,US,United States,TOTAL,100.26
HiringLabNationalPosting,2020-02-07,US,United States,TOTAL,100.27
HiringLabNationalPosting,2020-02-08,US,United States,TOTAL,100.31
HiringLabNationalPosting,2020-02-09,US,United States,TOTAL,100.29
HiringLabNationalPosting,2020-02-10,US,United States,TOTAL,100.37
HiringLabNationalPosting,2020-02-11,US,United States,TOTAL,100.42
HiringLabNationalPosting,2020-02-12,US,United States,TOTAL,100.48
HiringLabNationalPosting,2020-02-13,US,United States,TOTAL,100.5
HiringLabNationalPosting,2020-02-14,US,United States,TOTAL,100.52
HiringLabNationalPosting,2020-02-15,US,United States,TOTAL,100.33
HiringLabNationalPosting,2020-02-16,US,United States,TOTAL,100.28
HiringLabNationalPosting,2020-02-17,US,United States,TOTAL,100.19
HiringLabNationalPosting,2020-02-18,US,United States,TOTAL,100.04
HiringLabNationalPosting,2020-02-19,US,United States,TOTAL,99.89
HiringLabNationalPosting,2020-02-20,US,United States,TOTAL,99.75
HiringLabNationalPosting,2020-02-21,US,United States,TOTAL,99.64
HiringLabNationalPosting,2020-02-22,US,United States,TOTAL,99.62
HiringLabNationalPosting,2020-02-23,US,United States,TOTAL,99.59
HiringLabNationalPosting,2020-02-24,US,United States,TOTAL,99.57
HiringLabNationalPosting,2020-02-25,US,United States,TOTAL,99.63
HiringLabNationalPosting,2020-02-26,US,United States,TOTAL,99.69
HiringLabNationalPosting,2020-02-27,US,United States,TOTAL,99.73
HiringLabNationalPosting,2020-02-28,US,United States,TOTAL,99.78
HiringLabNationalPosting,2020-02-29,US,United States,TOTAL,99.9
HiringLabNationalPosting,2020-03-01,US,United States,TOTAL,99.95
HiringLabNationalPosting,2020-03-02,US,United States,TOTAL,100.01
HiringLabNationalPosting,2020-03-03,US,United States,TOTAL,99.99
HiringLabNationalPosting,2020-03-04,US,United States,TOTAL,99.93
HiringLabNationalPosting,2020-03-05,US,United States,TOTAL,99.87
HiringLabNationalPosting,2020-03-06,US,United States,TOTAL,99.83
HiringLabNationalPosting,2020-03-07,US,United States,TOTAL,99.76
HiringLabNationalPosting,2020-03-08,US,United States,TOTAL,99.65
HiringLabNationalPosting,2020-03-09,US,United States,TOTAL,99.44
HiringLabNationalPosting,2020-03-10,US,United States,TOTAL,99.35
HiringLabNationalPosting,2020-03-11,US,United States,TOTAL,99.24
HiringLabNationalPosting,2020-03-12,US,United States,TOTAL,99.13
HiringLabNationalPosting,2020-03-13,US,United States,TOTAL,98.9
