,"Job Openings: Total nonfarm - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1 to 9 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (10 to 49 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (50 to 249 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (250 to 999 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1,000 to 4,999 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (5,000 or more employees)","Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Trade, transportation, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Wholesale trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Transportation, warehousing, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: State and local government, excluding education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)"
0,3.7,3.9,3.7,3.6,4.0,3.9,5.0,3.6,1.3,3.3,2.4,2.7,1.9,2.9,2.9,3.2,2.1,4.2,3.4,3.5,3.2,4.9,5.6,2.2,6.2,4.5,2.3,4.9,5.4,2.6,2.4,2.6,1.8,3.4
1,3.8,4.1,4.9,3.4,4.3,3.9,4.6,3.7,1.9,3.4,2.5,2.7,2.2,3.5,4.1,3.4,3.3,4.3,3.0,3.2,2.3,5.0,5.1,1.6,5.8,5.2,3.1,5.5,5.6,2.3,2.4,2.2,1.5,3.0
2,3.7,4.0,4.1,3.5,4.2,4.0,4.2,4.0,1.3,3.6,2.4,2.5,2.2,3.5,3.7,3.7,3.0,3.8,3.2,3.6,2.1,5.8,4.9,2.3,5.4,4.8,2.3,5.2,2.3,2.2,2.2,2.2,1.7,2.9
3,3.5,3.7,3.9,3.4,3.8,3.8,4.0,4.1,2.8,2.7,2.5,2.3,2.9,2.6,2.2,2.7,2.4,3.4,3.7,3.6,4.0,5.1,5.0,2.2,5.5,5.5,6.6,5.3,2.7,2.1,2.1,2.1,1.6,2.6
4,3.4,3.6,2.8,3.5,3.8,3.5,4.2,3.8,2.8,3.2,2.1,2.2,1.9,3.2,3.5,3.2,2.6,4.4,2.7,3.1,1.6,4.8,4.3,2.5,4.7,4.6,2.6,5.0,3.0,2.3,2.3,2.3,1.5,3.2
5,3.2,3.4,3.3,3.4,3.4,3.1,4.2,4.0,2.4,3.2,1.9,2.0,1.7,2.7,2.1,3.1,2.1,2.9,3.2,3.5,2.5,4.3,4.9,2.8,5.3,4.2,3.0,4.4,3.5,2.3,2.4,2.2,1.3,3.2
6,3.2,3.3,3.5,3.3,3.3,2.9,4.1,3.9,1.6,2.5,1.9,1.9,1.9,2.7,2.2,2.9,2.4,3.0,3.3,3.7,2.1,4.4,4.6,1.9,5.1,3.6,3.3,3.6,4.5,2.5,2.2,2.5,1.5,3.5
7,3.3,3.4,3.4,3.1,3.4,3.5,4.5,3.6,2.0,2.5,1.8,1.8,1.9,2.5,2.1,2.6,2.8,3.1,3.1,3.3,2.7,4.4,4.8,2.1,5.3,4.6,4.1,4.7,4.4,2.3,1.8,2.4,1.3,3.6
8,3.0,3.1,3.7,2.8,3.0,2.9,3.7,3.3,2.2,1.8,1.6,1.5,1.9,2.2,1.8,2.2,2.5,3.2,3.0,3.1,2.8,3.5,5.1,2.2,5.6,4.3,3.2,4.5,3.7,2.2,1.9,2.3,1.4,3.3
9,3.0,3.2,3.9,3.1,3.0,2.9,3.7,3.3,1.8,2.4,2.1,2.1,1.9,2.3,1.7,2.5,2.4,1.8,3.2,3.5,2.4,3.8,4.6,2.1,5.1,4.3,4.0,4.3,4.2,2.0,1.9,2.0,1.9,2.1
