Hires: Total nonfarm in Midwest region,Other separations: Total nonfarm in Midwest region,Hires: Total nonfarm in Northeast region,Job Openings: Total nonfarm in Northeast region,Layoffs and Discharges: Total nonfarm in Northeast region,Other separations: Total nonfarm in Northeast region,Quits: Total nonfarm in Northeast region,Other separations: Total nonfarm in South region,Hires: Total nonfarm in West region,Other separations: Total nonfarm in West region
920.0,61.0,629.0,785.0,395.0,54.0,355.0,109.0,1114.0,90.0
1413.0,118.0,852.0,1085.0,498.0,98.0,483.0,216.0,1373.0,116.0
988.0,60.0,710.0,925.0,245.0,37.0,398.0,112.0,1144.0,55.0
1180.0,92.0,799.0,926.0,350.0,60.0,407.0,113.0,1194.0,55.0
1409.0,80.0,1068.0,1118.0,372.0,62.0,523.0,141.0,1201.0,88.0
1508.0,105.0,990.0,966.0,249.0,76.0,430.0,123.0,1318.0,48.0
1377.0,97.0,1167.0,834.0,312.0,54.0,449.0,135.0,1214.0,87.0
1361.0,139.0,1006.0,883.0,441.0,85.0,580.0,154.0,1363.0,87.0
1379.0,101.0,822.0,796.0,434.0,81.0,567.0,136.0,1207.0,122.0
1343.0,84.0,944.0,754.0,423.0,69.0,533.0,124.0,1127.0,100.0
1241.0,72.0,1011.0,714.0,492.0,68.0,551.0,125.0,1194.0,75.0
939.0,51.0,728.0,624.0,439.0,59.0,351.0,90.0,999.0,56.0
802.0,83.0,580.0,600.0,404.0,66.0,347.0,122.0,818.0,69.0
1041.0,110.0,832.0,769.0,470.0,79.0,504.0,166.0,1126.0,155.0
854.0,72.0,579.0,575.0,269.0,62.0,317.0,105.0,877.0,74.0
947.0,75.0,701.0,589.0,259.0,76.0,314.0,104.0,982.0,72.0
1401.0,88.0,871.0,694.0,321.0,78.0,416.0,139.0,1231.0,91.0
1273.0,85.0,947.0,623.0,254.0,61.0,399.0,111.0,1124.0,63.0
1308.0,83.0,975.0,617.0,405.0,69.0,419.0,108.0,1217.0,100.0
1218.0,101.0,933.0,700.0,406.0,87.0,475.0,153.0,1265.0,124.0
1292.0,92.0,802.0,665.0,437.0,58.0,501.0,153.0,1179.0,74.0
1170.0,90.0,810.0,618.0,454.0,75.0,445.0,132.0,1256.0,88.0
1180.0,80.0,832.0,746.0,382.0,67.0,448.0,134.0,1169.0,77.0
927.0,48.0,692.0,619.0,386.0,58.0,302.0,135.0,1012.0,73.0
790.0,76.0,611.0,454.0,429.0,79.0,265.0,143.0,852.0,90.0
1132.0,127.0,775.0,708.0,536.0,128.0,382.0,199.0,1174.0,121.0
766.0,62.0,605.0,530.0,271.0,54.0,295.0,130.0,920.0,54.0
896.0,81.0,650.0,525.0,239.0,69.0,281.0,127.0,948.0,73.0
1291.0,78.0,780.0,626.0,321.0,73.0,323.0,150.0,1171.0,72.0
1160.0,77.0,891.0,625.0,320.0,69.0,330.0,118.0,1164.0,82.0
1145.0,65.0,974.0,601.0,366.0,79.0,353.0,120.0,1292.0,81.0
1088.0,78.0,922.0,617.0,424.0,72.0,412.0,141.0,1233.0,95.0
1090.0,69.0,812.0,608.0,445.0,57.0,446.0,137.0,1202.0,74.0
1114.0,78.0,944.0,557.0,466.0,71.0,427.0,121.0,1161.0,90.0
1099.0,65.0,876.0,655.0,438.0,63.0,378.0,141.0,1295.0,80.0
904.0,63.0,733.0,570.0,355.0,53.0,295.0,94.0,966.0,59.0
732.0,76.0,681.0,523.0,464.0,62.0,273.0,107.0,896.0,64.0
1016.0,106.0,819.0,590.0,522.0,83.0,350.0,165.0,1061.0,96.0
811.0,58.0,617.0,592.0,305.0,51.0,289.0,99.0,851.0,52.0
1069.0,58.0,761.0,660.0,309.0,46.0,300.0,115.0,1094.0,75.0
1315.0,62.0,1005.0,727.0,420.0,65.0,394.0,123.0,1344.0,67.0
1246.0,71.0,934.0,648.0,228.0,75.0,357.0,104.0,1195.0,93.0
1259.0,87.0,1047.0,563.0,368.0,82.0,433.0,135.0,1304.0,78.0
1159.0,79.0,976.0,708.0,347.0,82.0,501.0,129.0,1197.0,97.0
1214.0,73.0,891.0,681.0,431.0,78.0,514.0,126.0,1209.0,85.0
1156.0,58.0,1056.0,714.0,503.0,73.0,455.0,126.0,1194.0,68.0
1178.0,49.0,1011.0,803.0,414.0,72.0,416.0,119.0,1231.0,72.0
978.0,55.0,812.0,570.0,416.0,55.0,358.0,73.0,1027.0,64.0
783.0,47.0,698.0,613.0,491.0,61.0,354.0,106.0,891.0,81.0
1151.0,93.0,829.0,662.0,503.0,72.0,478.0,131.0,1110.0,108.0
912.0,59.0,647.0,649.0,285.0,57.0,314.0,108.0,1012.0,69.0
1025.0,54.0,818.0,647.0,336.0,52.0,370.0,99.0,1121.0,58.0
1346.0,63.0,1035.0,784.0,377.0,63.0,443.0,111.0,1368.0,65.0
1396.0,73.0,974.0,675.0,258.0,62.0,432.0,109.0,1305.0,81.0
1327.0,72.0,1113.0,700.0,407.0,91.0,416.0,123.0,1454.0,81.0
1234.0,97.0,1014.0,780.0,306.0,56.0,519.0,123.0,1417.0,84.0
1239.0,80.0,916.0,743.0,388.0,63.0,582.0,123.0,1414.0,92.0
1223.0,94.0,1088.0,799.0,450.0,40.0,525.0,103.0,1374.0,84.0
1125.0,74.0,875.0,828.0,366.0,52.0,446.0,90.0,1340.0,82.0
1008.0,65.0,756.0,707.0,294.0,50.0,343.0,84.0,1194.0,82.0
782.0,94.0,572.0,648.0,415.0,56.0,372.0,126.0,1015.0,99.0
1007.0,106.0,764.0,829.0,395.0,82.0,458.0,147.0,1260.0,87.0
912.0,78.0,658.0,724.0,265.0,51.0,340.0,109.0,1078.0,82.0
1174.0,61.0,809.0,752.0,204.0,70.0,376.0,110.0,1180.0,112.0
1241.0,74.0,972.0,901.0,277.0,75.0,414.0,181.0,1342.0,99.0
1398.0,86.0,1015.0,742.0,275.0,83.0,440.0,172.0,1326.0,84.0
1361.0,101.0,1002.0,767.0,316.0,95.0,435.0,161.0,1525.0,100.0
1294.0,131.0,1074.0,825.0,360.0,80.0,561.0,173.0,1454.0,102.0
1261.0,83.0,891.0,889.0,286.0,55.0,636.0,140.0,1371.0,103.0
1129.0,99.0,956.0,867.0,367.0,69.0,524.0,117.0,1313.0,83.0
1208.0,69.0,881.0,944.0,459.0,76.0,441.0,176.0,1354.0,79.0
1050.0,67.0,745.0,811.0,250.0,75.0,381.0,103.0,1257.0,70.0
808.0,78.0,620.0,741.0,378.0,53.0,343.0,136.0,961.0,72.0
1123.0,94.0,816.0,832.0,490.0,89.0,418.0,169.0,1125.0,123.0
993.0,64.0,570.0,791.0,284.0,58.0,294.0,106.0,982.0,83.0
1175.0,71.0,749.0,817.0,222.0,59.0,359.0,128.0,1196.0,71.0
1285.0,84.0,937.0,833.0,335.0,67.0,399.0,125.0,1318.0,85.0
1462.0,79.0,925.0,781.0,249.0,52.0,436.0,106.0,1340.0,77.0
1371.0,109.0,931.0,836.0,244.0,68.0,451.0,130.0,1401.0,101.0
1165.0,108.0,1016.0,845.0,291.0,83.0,463.0,146.0,1340.0,96.0
1289.0,80.0,929.0,832.0,461.0,63.0,545.0,124.0,1407.0,89.0
