label,lag,mae,rmse,model_path
"Layoffs and Discharges: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.6783517179800079,0.8045299242273184,models_arima/layoffs/arima_Layoffs_and_Discharges_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.6830669594019835,0.8093926075383459,models_arima/layoffs/arima_Layoffs_and_Discharges_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.6804577173055119,0.8066987728454547,models_arima/layoffs/arima_Layoffs_and_Discharges_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.7009812337556318,0.8280089729145428,models_arima/layoffs/arima_Layoffs_and_Discharges_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.40760457477170825,0.48530869636921997,models_arima/layoffs/arima_Layoffs_and_Discharges_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.4083797549728649,0.4862165201991761,models_arima/layoffs/arima_Layoffs_and_Discharges_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.3984895333353095,0.4746589200010719,models_arima/layoffs/arima_Layoffs_and_Discharges_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.4007291331836631,0.4772264175060227,models_arima/layoffs/arima_Layoffs_and_Discharges_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.22513109333220335,0.29870079084678997,models_arima/layoffs/arima_Layoffs_and_Discharges_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.22513009220376756,0.2986993036375281,models_arima/layoffs/arima_Layoffs_and_Discharges_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.2397199446386705,0.3008140821475954,models_arima/layoffs/arima_Layoffs_and_Discharges_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.2251274703137288,0.2987179153351288,models_arima/layoffs/arima_Layoffs_and_Discharges_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
