label,lag,mae,rmse,order,model_path
"Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.8866484618885652,1.0483390415725693,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.8949478693292217,1.0575156585596035,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.891784299885949,1.053986863317597,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.8919396525217297,1.0541850196747824,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.7624302601011919,0.8991911956134189,"(0, 1, 2)",models_arima/openings/arima_Job_Openings_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.7654762455894589,0.9001260325787789,"(0, 1, 2)",models_arima/openings/arima_Job_Openings_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.764933386100029,0.8999537703198087,"(0, 1, 2)",models_arima/openings/arima_Job_Openings_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.7671474630696923,0.900623783412276,"(0, 1, 2)",models_arima/openings/arima_Job_Openings_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.268858847759318,0.3596356347270919,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.27525333905078647,0.3672614016959405,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.27416706097241716,0.3661276358212697,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.39243268051808716,0.4497893424921001,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.486172131173979,0.5564640864722374,"(1, 1, 0)",models_arima/openings/arima_Job_Openings_Durable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.4859995599664968,0.5563196828394146,"(1, 1, 0)",models_arima/openings/arima_Job_Openings_Durable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.48531604174071585,0.5557481959310829,"(1, 1, 0)",models_arima/openings/arima_Job_Openings_Durable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.4850183723357168,0.5554995489861292,"(1, 1, 0)",models_arima/openings/arima_Job_Openings_Durable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.3713298243949277,0.5227189802562319,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Federal__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.371503587665127,0.522882485543704,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Federal__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.37167259994790164,0.5230415958868776,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Federal__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.37170903353774104,0.5230759046957874,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Federal__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.4641959719793404,0.5628871957808301,"(2, 1, 3)",models_arima/openings/arima_Job_Openings_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.4645700744540995,0.5633987101506699,"(2, 1, 3)",models_arima/openings/arima_Job_Openings_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.46435038323629313,0.5636096602205171,"(2, 1, 3)",models_arima/openings/arima_Job_Openings_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.4642769540461303,0.5633954191516594,"(2, 1, 3)",models_arima/openings/arima_Job_Openings_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.47033169563312555,0.5362166004975354,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.47035650474325336,0.5362320116559326,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.4701763711081968,0.536120339313529,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.4701365154198119,0.5360957015669383,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
