,label,lag,mae,rmse,model_path
0,"Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,2.0451839922839063,2.121475824468756,models_prophet/openings/prophet_Job_Openings_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
1,"Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,2.0221300088246927,2.0991718680974607,models_prophet/openings/prophet_Job_Openings_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
2,"Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,2.003509989298239,2.081162817842609,models_prophet/openings/prophet_Job_Openings_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
3,"Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.9941271269675986,2.072111387553725,models_prophet/openings/prophet_Job_Openings_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
4,"Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,2.3276310222256007,2.4844318537097503,models_prophet/openings/prophet_Job_Openings_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
5,"Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,2.3486917162193346,2.5042131333281668,models_prophet/openings/prophet_Job_Openings_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
6,"Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,2.3261879738784415,2.483081435075032,models_prophet/openings/prophet_Job_Openings_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
7,"Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,2.3568698881982346,2.5119250064325653,models_prophet/openings/prophet_Job_Openings_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
8,"Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.6038963198774348,1.640412522161881,models_prophet/openings/prophet_Job_Openings_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
9,"Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.6601305271679108,1.6952673231997,models_prophet/openings/prophet_Job_Openings_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
