label,lag,mae,rmse,model_path
"Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.2579579830169678,1.4138098035806514,models_xgb/openings/xgb_Job_Openings_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.0919729550679527,1.248818033975691,models_xgb/openings/xgb_Job_Openings_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.1454991976420086,1.2874327994979875,models_xgb/openings/xgb_Job_Openings_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.412531344095866,1.5387820592562405,models_xgb/openings/xgb_Job_Openings_Accommodation_and_food_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.783763567606608,0.9977081828249655,models_xgb/openings/xgb_Job_Openings_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.9174229303995768,1.2018785792500637,models_xgb/openings/xgb_Job_Openings_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.1493903795878093,1.427288022999216,models_xgb/openings/xgb_Job_Openings_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.9683250268300375,1.212463422858543,models_xgb/openings/xgb_Job_Openings_Arts_entertainment_and_recreation__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.9161307334899901,1.0240891900575926,models_xgb/openings/xgb_Job_Openings_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.9365973790486652,1.0608464848656263,models_xgb/openings/xgb_Job_Openings_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.9739235560099283,1.1092600818364349,models_xgb/openings/xgb_Job_Openings_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.911830178896586,1.0475300391080618,models_xgb/openings/xgb_Job_Openings_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.4089141050974529,0.4508226085098245,models_xgb/openings/xgb_Job_Openings_Durable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.4292463620503744,0.46307460105276677,models_xgb/openings/xgb_Job_Openings_Durable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.4061993916829428,0.43091780597413576,models_xgb/openings/xgb_Job_Openings_Durable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.4876992066701254,0.4877216893903763,models_xgb/openings/xgb_Job_Openings_Durable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.8189951101938884,1.0091874315985194,models_xgb/openings/xgb_Job_Openings_Federal__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.8956954797108968,1.1113928653530565,models_xgb/openings/xgb_Job_Openings_Federal__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.0326427618662517,1.1856728442387312,models_xgb/openings/xgb_Job_Openings_Federal__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.1204822858174643,1.3336464015075413,models_xgb/openings/xgb_Job_Openings_Federal__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
